date,stock_id,stock_name,call_warrant_count,put_warrant_count,call_turnover,put_turnover,total_warrant_turnover,call_volume,put_volume,total_warrant_volume,call_put_turnover_ratio,candidate_category,candidate_category_zh,sector,sub_theme,tdcc_status,tdcc_status_zh,warrant_flow_signal,warrant_flow_signal_zh,data_quality_note
20260901,5269,祥碩,139,0,23398580.0,0.0,23398580.0,29886000.0,0.0,29886000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,3706,神達,83,0,22739020.0,0.0,22739020.0,22088000.0,0.0,22088000.0,,"pullback_rebound,revenue_pullback,true_breakout",回檔後短線轉強、營收成長股價回檔、嚴格突破,,,,,call_strong_inflow,認購明確偏多,
20260901,1519,華城,173,0,21732230.0,0.0,21732230.0,27886000.0,0.0,27886000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2049,上銀,156,0,21241060.0,0.0,21241060.0,17080000.0,0.0,17080000.0,,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,6197,佳必琪,123,0,21133250.0,0.0,21133250.0,17207000.0,0.0,17207000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2356,英業達,112,0,20055380.0,0.0,20055380.0,14597000.0,0.0,14597000.0,,"revenue_breakout_low_response,revenue_pullback",營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,3016,嘉晶,65,0,19207180.0,0.0,19207180.0,18460000.0,0.0,18460000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,3019,亞光,87,0,17730580.0,0.0,17730580.0,23555000.0,0.0,23555000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,6209,今國光,67,0,17708060.0,0.0,17708060.0,15165000.0,0.0,15165000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,8150,南茂,183,0,17467010.0,0.0,17467010.0,16561000.0,0.0,16561000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,4576,大銀微系統,70,0,16991180.0,0.0,16991180.0,16745000.0,0.0,16745000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,1560,中砂,126,0,15934570.0,0.0,15934570.0,13236000.0,0.0,13236000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2887,台新新光金,29,0,15823480.0,0.0,15823480.0,8213000.0,0.0,8213000.0,,true_breakout,嚴格突破,,,,,call_strong_inflow,認購明確偏多,
