model_id,ranking_model_version,signal_date,stock_id,stock_name,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_high_pair_effective_streak_weeks,theme,theme_mainstream_status,tdcc_four_threshold_weekly_increase_sum,tdcc_effective_increase_count,tdcc_weighted_weekly_increase_score,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_streak_bonus,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_list_type,tdcc_rank,tdcc_ranking_score,d5_close,d5_return_pct,d5_mfe_pct,d5_mae_pct,d5_mature,d10_close,d10_return_pct,d10_mfe_pct,d10_mae_pct,d10_mature,d20_close,d20_return_pct,d20_mfe_pct,d20_mae_pct,d20_mature,approved_for_daily,theme_context_note,generated_at
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251219,1319,東陽,0.46000000000000796,0.6800000000000068,0.23999999999999488,0.23999999999999488,0,汽車工業,non_mainstream_latest_taxonomy,1.6200000000000045,1,3.5,0.0,0.0,3408.8759,0.0,0.0,3.5,3.5,weekly_increase,1,3.5,98.0,3.484688489968324,4.223864836325242,-0.7391763463569179,True,95.1,0.42238648363250864,4.751847940865894,-0.7391763463569179,True,108.0,14.044350580781417,20.38014783526927,-1.055966209081305,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251219,1760,寶齡富錦,0.04999999999999716,0.01999999999999602,0.9099999999999966,0.0,0,生技醫療業,non_mainstream_latest_taxonomy,0.9799999999999898,1,2.82,0.0,0.0,76904.1,0.0,0.0,2.82,2.82,weekly_increase,2,2.82,63.5,-0.78125,1.5625,-1.7187500000000022,True,62.8,-1.8750000000000044,1.5625,-3.281250000000002,True,63.7,-0.46874999999999556,3.750000000000009,-3.281250000000002,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251219,3038,全台,0.46000000000000085,0.4799999999999969,0.46999999999999886,1.0599999999999987,0,光電業_待細分,mainstream_latest_taxonomy,2.4699999999999953,1,7.07,0.0,5.0,497.8977,10.0,0.0,2.07,2.07,weekly_increase,3,2.07,23.5,2.3965141612200425,5.446623093681913,0.0,True,23.7,3.267973856209161,5.446623093681913,0.0,True,24.1,5.010893246187376,7.843137254901955,0.0,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251219,1474,弘裕,-0.03999999999999915,-0.5,0.5700000000000003,0.01999999999999602,0,紡織纖維,non_mainstream_latest_taxonomy,0.5899999999999963,1,0.75,0.0,0.0,57018.3,0.0,0.0,0.75,0.75,weekly_increase,4,0.75,10.75,-3.58744394618834,0.8968609865470878,-4.035874439461895,True,10.55,-5.3811659192825045,0.8968609865470878,-8.520179372197322,True,10.45,-6.278026905829604,0.8968609865470878,-10.313901345291487,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251219,6180,橘子,0.21000000000000085,0.22999999999999687,0.6200000000000045,0.6200000000000045,1,文化創意業,non_mainstream_latest_taxonomy,1.6800000000000068,2,5.01,5.0,0.0,247.6,10.0,0.0,0.01,0.01,weekly_increase,5,0.01,52.3,-0.3809523809523818,0.7619047619047636,-1.904761904761909,True,51.3,-2.285714285714291,3.4285714285714253,-2.857142857142858,True,53.1,1.1428571428571566,3.4285714285714253,-5.1428571428571495,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251219,1586,和勤,-0.5300000000000011,0.8299999999999983,0.2600000000000051,0.2600000000000051,0,機器人自動化_電機機械待細分,mainstream_latest_taxonomy,1.3500000000000085,1,2.95,0.0,5.0,453.65,10.0,0.0,-2.05,-2.05,weekly_increase,6,-2.05,24.8,-7.116104868913853,0.7490636704119868,-7.116104868913853,True,25.3,-5.243445692883886,0.7490636704119868,-8.614232209737827,True,27.95,4.681647940074907,16.666666666666675,-8.614232209737827,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251219,1733,五鼎,0.11000000000000654,-0.5599999999999952,0.8399999999999999,0.0,0,生技醫療業,non_mainstream_latest_taxonomy,0.9500000000000064,1,1.51,0.0,0.0,140.14055,10.0,0.0,-8.49,-8.49,weekly_increase,7,-8.49,31.3,0.3205128205128194,1.6025641025640969,-1.602564102564108,True,29.65,-4.9679487179487225,1.6025641025640969,-4.9679487179487225,True,29.55,-5.288461538461531,1.6025641025640969,-6.25,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251226,5511,德昌,0.36999999999999744,0.8299999999999983,0.8299999999999983,0.00999999999999801,0,建材營造,non_mainstream_latest_taxonomy,2.039999999999992,2,4.56,5.0,0.0,74550.0,0.0,0.0,9.56,9.56,weekly_increase,1,9.56,64.9,-1.21765601217656,0.45662100456620447,-1.21765601217656,True,68.3,3.957382039573809,5.022831050228316,-3.95738203957382,True,68.6,4.4140030441400135,7.91476407914764,-3.95738203957382,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251226,2414,精技,0.12999999999999545,0.7700000000000031,-0.00999999999999801,0.0,0,電子通路業_待細分,mainstream_latest_taxonomy,0.8999999999999986,1,1.64,0.0,5.0,83938.25,0.0,0.0,6.64,6.64,weekly_increase,2,6.64,40.45,-1.5815085158150777,0.0,-3.1630170316301776,True,40.9,-0.48661800486619056,0.36496350364962904,-3.1630170316301776,True,40.85,-0.6082725060827299,0.9732360097323589,-3.1630170316301776,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251226,2606,裕民,0.36999999999999034,0.3200000000000074,0.6400000000000006,0.18999999999999773,0,航運業,non_mainstream_latest_taxonomy,1.519999999999996,1,3.69,0.0,0.0,12987.43065,0.0,0.0,3.69,3.69,weekly_increase,3,3.69,58.7,-5.32258064516129,0.1612903225806539,-5.483870967741932,True,61.9,-0.1612903225806428,1.4516129032257963,-5.483870967741932,True,63.2,1.9354838709677358,4.193548387096757,-5.483870967741932,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251226,3227,原相,0.3500000000000014,0.03999999999999915,0.5500000000000007,-0.019999999999999574,0,半導體業_待細分,mainstream_latest_taxonomy,0.9400000000000013,1,2.0,0.0,5.0,766.7,10.0,0.0,-3.0,-3.0,weekly_increase,4,-3.0,205.0,2.244389027431426,4.738154613466339,-0.24937655860348684,True,209.5,4.488778054862852,6.483790523690769,-0.24937655860348684,True,215.5,7.4812967581047385,9.476309226932678,-0.24937655860348684,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
