date,stock_id,stock_name,market,open,high,low,close,volume,volume_ma20_prev,start_day_volume_ratio_vs_prev20,prev_day_volume_ratio_vs_prev20,future_5d_high,future_5d_high_day_offset,future_5d_high_from_start_low_pct,next_open,signal_close_to_next_open_gap_pct,next_open_to_d5_high_return_pct,next_open_to_d10_high_return_pct,next_open_to_d20_high_return_pct,signal_day_close_return_pct,signal_day_high_from_low_pct
20251009,2248,華勝-KY,listed,43.0,43.2,42.7,43.2,64000.0,21674.45,2.9527854224674672,0.8088666996126733,52.0,2,21.779859484777518,43.0,-0.462962962962965,20.93023255813953,20.93023255813953,21.86046511627906,0.46511627906977715,1.1709601873536313
20251013,2248,華勝-KY,listed,43.0,47.5,43.0,47.5,134148.0,22374.1,5.995682507899759,2.9527854224674672,52.0,1,20.93023255813953,51.6,8.631578947368435,0.7751937984496138,0.7751937984496138,1.5503875968992276,10.465116279069765,10.465116279069765
20250715,2250,IKKA-KY,listed,86.8,86.8,85.3,85.7,156835.0,160149.0,0.9793067705699068,0.6656608345038431,103.5,5,21.33645955451349,86.0,0.3500583430571691,20.348837209302317,20.348837209302317,20.348837209302317,-1.2672811059907807,1.7584994138335253
20250716,2250,IKKA-KY,listed,86.0,88.1,86.0,87.5,96225.0,161878.25,0.5944282199739619,0.9793067705699068,103.5,4,20.348837209302317,88.3,0.9142857142857119,17.214043035107586,17.214043035107586,17.780294450736122,1.744186046511631,2.4418604651162745
20260625,2250,IKKA-KY,TWSE,61.6,64.9,61.6,62.2,261873.0,109284.75,2.3962446727471125,0.2255999050324566,75.4,5,22.4025974025974,64.1,3.0546623794212024,17.62870514820594,19.656786271450866,19.656786271450866,0.9740259740259827,5.35714285714286
20260626,2250,IKKA-KY,TWSE,64.1,64.5,60.8,60.8,190002.0,116418.75,1.6320566918988566,2.3962446727471125,76.7,5,26.151315789473696,61.0,0.328947368421062,25.7377049180328,25.7377049180328,25.7377049180328,-5.148205928237126,6.085526315789469
20260629,2250,IKKA-KY,TWSE,61.0,62.0,60.6,60.7,103333.0,119451.55,0.865062027240333,1.6320566918988566,76.7,4,26.56765676567656,61.5,1.317957166392092,24.71544715447156,24.71544715447156,24.71544715447156,-0.4918032786885185,2.310231023102305
20260630,2250,IKKA-KY,TWSE,61.5,62.5,61.3,62.4,134000.0,108872.2,1.230800883972217,0.865062027240333,76.7,3,25.122349102773267,62.4,0.0,22.916666666666675,22.916666666666675,22.916666666666675,1.4634146341463428,1.9575856443719397
20260701,2250,IKKA-KY,TWSE,62.4,68.6,61.6,68.6,372000.0,108467.05,3.429612956192687,1.230800883972217,76.7,2,24.512987012987008,74.0,7.871720116618075,3.6486486486486447,3.6486486486486447,3.6486486486486447,9.935897435897424,11.363636363636353
20260211,2254,巨鎧精密-創,TWSE,59.5,60.0,58.3,58.6,436200.0,105744.65,4.1250313845665,5.12821705498472,70.0,5,20.068610634648376,59.1,0.8532423208191142,18.443316412859566,27.07275803722502,27.07275803722502,-1.5126050420168013,2.9159519725557415
