signal_date,stock_id,stock_name,theme_name,theme_final_status,theme_status_group,candidate_source_type,candidate_line_group,candidate_line,two_line_overlap_flag,decision_priority,decision_score,tdcc_status,warrant_flow_signal,volume_ratio,return_20d,repeat_appear_label,volume_breakout_type,volume_breakout_priority,selection_status,volume_attack_bucket,theme_volume_attack_status,is_volume_attack_selected,is_volume_attack_watch,is_volume_attack_failed,created_at,source_files
20260527,3653,健策,電子零組件業,mainstream_overheated,mainstream_overheated,risk_downgraded_candidate,risk,降級 / 鈍化 / 風險清單,False,D_risk_downgrade,48.4,distribution_warning,call_put_bullish,1.98,,first_seen,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260527,3661,世芯-KY,半導體業,mainstream_overheated,mainstream_overheated,latent_watch_candidate,individual_tdcc_latent_watch,TDCC 潛伏觀察股,False,C_watch_only,58.0,mild_accumulation,mixed_flow,1.09,,continued_2_3d,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260527,3663,鑫科,其他電子業,mainstream_overheated,mainstream_overheated,risk_downgraded_candidate,risk,降級 / 鈍化 / 風險清單,False,D_risk_downgrade,38.6,distribution_warning,,,,stale_signal,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260527,3673,TPK-KY,光電業,mainstream_overheated,mainstream_overheated,risk_downgraded_candidate,risk,降級 / 鈍化 / 風險清單,False,D_risk_downgrade,25.8,distribution_warning,call_strong_inflow,2.19,46.2562,continued_overheated,volume_expansion_watch,D_risk_downgrade,selected_as_strict_breakout,right_side_or_volume_attack,overheated_volume_theme,False,True,True,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv;volume_attack:output/latest/volume_attack_theme_stocks_latest.csv
20260527,3680,家登,半導體業,mainstream_overheated,mainstream_overheated,latent_watch_candidate,individual_tdcc_latent_watch,TDCC 潛伏觀察股,False,C_watch_only,65.0,strong_accumulation,,,,repeated_but_no_breakout,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260527,3689,湧德,電子零組件業,mainstream_overheated,mainstream_overheated,risk_downgraded_candidate,risk,降級 / 鈍化 / 風險清單,False,D_risk_downgrade,39.0,distribution_warning,,,,stale_signal,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260527,3702,大聯大,電子通路業,mainstream_overheated,mainstream_overheated,latent_watch_candidate,individual_tdcc_latent_watch,TDCC 潛伏觀察股,False,C_watch_only,60.0,mild_accumulation,no_signal,0.62,,stale_signal,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260527,3715,定穎投控,電子零組件業,mainstream_overheated,mainstream_overheated,latent_watch_candidate,individual_tdcc_latent_watch,TDCC 潛伏觀察股,False,C_watch_only,60.0,mild_accumulation,no_signal,1.05,,repeated_but_no_breakout,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260527,4142,國光生,生技醫療業,mainstream_overheated,mainstream_overheated,latent_watch_candidate,individual_tdcc_latent_watch,TDCC 潛伏觀察股,False,C_watch_only,63.0,mild_accumulation,no_signal,1.35,,stale_signal,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260527,4166,友霖,生技醫療業,mainstream_overheated,mainstream_overheated,risk_downgraded_candidate,risk,降級 / 鈍化 / 風險清單,False,D_risk_downgrade,39.0,distribution_warning,,,,repeated_but_no_breakout,,,,,,,,,2026-05-28 12:52:03 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
