date,taiwan_vix,taiwan_vix_252d_high,taiwan_vix_252d_low,taiwan_vix_252d_percentile,taiwan_vix_504d_high,taiwan_vix_504d_low,taiwan_vix_504d_percentile,taiwan_vix_zscore_252d,taiwan_vix_rank_label,vix_context_label,vix_return_5d,vix_return_10d,vix_return_20d,retail_mtx_net_oi_proxy,retail_mtx_proxy_method,retail_mtx_proxy_252d_high,retail_mtx_proxy_252d_low,retail_mtx_proxy_252d_percentile,retail_mtx_proxy_504d_high,retail_mtx_proxy_504d_low,retail_mtx_proxy_504d_percentile,retail_mtx_proxy_zscore_252d,retail_mtx_rank_label,retail_mtx_context_label,foreign_tx_futures_net_oi,dealer_tx_futures_net_oi,trust_tx_futures_net_oi,foreign_futures_net_oi,put_call_oi_ratio_pct,foreign_txo_call_net_oi,foreign_txo_put_net_oi,foreign_txo_synthetic_net_oi,twse_close,tpex_close,twse_distance_to_20d_high,twse_distance_to_60d_high,twse_distance_to_252d_high,twse_distance_to_20d_low,twse_distance_to_60d_low,twse_distance_to_252d_low,tpex_distance_to_20d_high,tpex_distance_to_60d_high,tpex_distance_to_252d_high,tpex_distance_to_20d_low,tpex_distance_to_60d_low,tpex_distance_to_252d_low,twse_above_ma20,twse_above_ma60,tpex_above_ma20,tpex_above_ma60,market_regime,risk_level,sample_status,vix_index_interpretation,retail_mtx_index_interpretation,combined_sentiment_interpretation,sentiment_warning_level,data_quality_note
20260626,44.01,44.01,25.68,100.0,,,,2.0626,top_decile,extreme_fear_or_hedging,16.3055,0.9867,21.3065,7062.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-76391.0,4641.0,61247.0,-568592.0,128.74,-1022.0,4512.0,-5534.0,44571.76,415.26,-6.6394,-6.6394,-6.6394,3.2962,40.503,105.0972,-8.4322,-8.4322,-8.4322,2.3035,34.943,83.4674,False,True,False,True,correction,very_high_risk,insufficient_history,possible_panic_contrarian_signal,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260629,39.98,44.01,25.68,91.4894,,,,1.1417,top_decile,extreme_fear_or_hedging,5.6833,-4.7188,11.458,1266.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-76627.0,2415.0,62962.0,-533450.0,123.92,9.0,4220.0,-4211.0,44999.9,412.93,-5.7426,-5.7426,-5.7426,4.2884,38.1533,107.0673,-8.946,-8.946,-8.946,1.7294,29.893,82.4379,False,True,False,True,correction,very_high_risk,insufficient_history,possible_panic_contrarian_signal,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260630,38.54,44.01,25.68,80.0,,,,0.8111,upper_quartile,elevated_hedging,-1.9837,-3.6018,5.5312,2849.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-83063.0,1571.0,66623.0,-552599.0,134.93,1406.0,5759.0,-4353.0,46125.91,426.97,-3.3841,-3.3841,-3.3841,6.898,41.6103,112.2486,-5.8501,-5.8501,-5.8501,5.1883,34.3095,88.641,True,True,False,True,correction,very_high_risk,insufficient_history,vix_context_neutral_observe,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260701,38.14,44.01,25.68,75.0,,,,0.7154,upper_quartile,elevated_hedging,-6.7937,-2.7537,4.2646,3513.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-84168.0,1592.0,67194.0,-576307.0,142.03,-507.0,4775.0,-5282.0,47018.99,431.23,-1.5134,-1.5134,-1.5134,8.9677,41.4964,116.3581,-4.9107,-4.9107,-4.9107,6.2378,32.4376,90.5231,True,True,True,True,mild_bull,high_risk,insufficient_history,index_strong_but_hedging_elevated,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260702,37.76,44.01,25.68,70.1031,,,,0.6252,middle_range,normal_range,-6.326,-0.0529,8.071,7577.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-84487.0,3683.0,66410.0,-601105.0,120.46,-661.0,5580.0,-6241.0,46744.16,439.51,-2.0891,-2.0891,-2.0891,8.3308,34.4715,115.0935,-3.0849,-3.0849,-3.0849,8.2777,28.813,94.1813,True,True,True,True,mild_bull,high_risk,insufficient_history,trend_supported_no_extreme_vix,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260703,36.58,44.01,25.68,59.1837,,,,0.3561,middle_range,normal_range,-16.8825,-3.3298,3.832,5309.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-81052.0,3071.0,67213.0,-601855.0,136.3,-641.0,6123.0,-6764.0,46780.62,445.38,-2.0127,-2.0127,-2.0127,8.4153,34.1912,115.2613,-1.7905,-1.7905,-1.7905,9.7238,30.0114,96.7748,True,True,True,True,mild_bull,high_risk,insufficient_history,trend_supported_no_extreme_vix,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260706,36.89,44.01,25.68,63.6364,,,,0.424,middle_range,normal_range,-7.7289,-2.4848,1.7094,5173.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-80087.0,2670.0,67254.0,-594361.0,122.22,194.0,7720.0,-7526.0,46556.39,439.8,-2.4824,-2.4824,-2.4824,7.8956,31.449,109.8197,-3.0209,-3.0209,-3.0209,8.3491,25.8369,92.7088,True,True,True,True,mild_bull,high_risk,insufficient_history,trend_supported_no_extreme_vix,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260707,38.25,44.01,25.68,77.0,,,,0.7288,upper_quartile,elevated_hedging,-0.7525,-2.7213,-9.5317,7195.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-80042.0,3793.0,68187.0,-563890.0,98.68,680.0,10193.0,-9513.0,45479.11,419.47,-4.7389,-4.7389,-4.7389,5.399,28.2645,104.3452,-7.5039,-7.5039,-7.5039,3.3406,19.0898,83.8007,False,True,False,True,correction,very_high_risk,insufficient_history,vix_context_neutral_observe,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260708,38.13,44.01,25.68,74.2574,,,,0.6962,middle_range,normal_range,-0.0262,-6.8182,-1.3454,8953.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-81268.0,3311.0,69987.0,-565577.0,129.81,599.0,6836.0,-6237.0,45734.41,421.39,-4.2041,-4.2041,-4.2041,5.9907,26.0036,105.4923,-7.0805,-7.0805,-7.0805,3.8137,18.368,84.642,False,True,False,True,correction,very_high_risk,insufficient_history,vix_context_neutral_observe,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260709,37.11,44.01,25.68,66.0194,,,,0.4581,middle_range,normal_range,-1.7214,-7.9385,-15.5055,1318.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-81066.0,1270.0,71794.0,-561082.0,124.42,1159.0,9703.0,-8544.0,45354.61,424.99,-4.9996,-4.9996,-4.9996,5.1105,23.5075,103.7858,-6.2867,-6.2867,-6.2867,4.3971,18.0987,86.2194,False,True,False,True,correction,very_high_risk,insufficient_history,vix_context_neutral_observe,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260713,36.62,44.01,25.68,57.2816,,,,0.3448,middle_range,normal_range,0.1093,-16.7916,-15.9706,1318.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-81066.0,1270.0,71794.0,-561082.0,124.42,1159.0,9703.0,-8544.0,45380.52,419.9,-4.9454,-4.9454,-4.9454,2.7428,23.3021,103.9022,-7.409,-7.409,-7.409,1.6879,14.7393,83.9891,False,True,False,True,correction,very_high_risk,insufficient_history,vix_context_neutral_observe,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
