date,foreign_futures_net_oi,foreign_tx_futures_net_oi,dealer_tx_futures_net_oi,trust_tx_futures_net_oi,foreign_txo_call_net_oi,foreign_txo_put_net_oi,foreign_txo_synthetic_net_oi,foreign_mtx_futures_net_oi,three_institution_mtx_net_oi,retail_mtx_net_oi_proxy,retail_mtx_proxy_method,put_call_oi_ratio_pct,taiwan_vix,vix_return_5d,vix_return_10d,vix_return_20d
20260415,,,,,,,,,,,,,28.12,-7.893874877169993,,
20260416,,,,,,,,,,,,,29.05,-1.0558583106267005,,
20260417,,,,,,,,,,,,,28.54,4.465592972181542,-18.106169296987098,
20260420,,,,,,,,,,,,,29.98,1.868841318382608,-17.75034293552813,
20260421,,,,,,,,,,,,,29.93,8.089563019140478,-10.97560975609756,
20260422,,,,,,,,,,,,139.67,29.52,4.97866287339972,-3.3082214215525707,
20260423,,,,,,,,,,,,111.11,32.48,11.807228915662638,10.626702997275196,
20260424,,,,,,,,,,,,175.80,36.07,26.38402242466713,32.027818448023424,
20260427,,,,,,,,,,,,136.86,36.46,21.614409606404262,23.88718994223582,
20260428,,,,,,,,,,,,120.50,35.88,19.879719345138657,29.5774647887324,
20260429,,,,,,,,,,,,171.12,32.49,10.060975609756095,15.540540540540547,
20260430,,,,,,,,,,,,158.96,35.16,8.251231527093594,21.032702237521494,
20260504,,,,,,,,,,,,169.91,35.59,,,
20260505,,,,,,,,,,,,154.64,36.73,,,
20260506,,,,,,,,,,,,177.59,38.31,,,
20260507,,,,,,,,,,,,174.13,37.8,,,
20260508,,,,,,,,,,,,181.36,37.41,,,
20260511,,,,,,,,,,,,162.33,35.37,-0.6181511660579009,,
20260512,,,,,,,,,,,,161.65,37.58,2.31418459025321,,
20260513,,,,,,,,,,,,169.31,38.28,-0.0783085356303892,,
20260514,,,,,,,,,,,,162.46,39.38,4.179894179894195,,
20260515,,,,,,,,,,,,162.43,38.62,3.234429296979413,,
20260518,,,,,,,,,,,,140.86,39.07,10.460842521911239,9.778027535824663,
20260519,,,,,,,,,,,,122.41,39.51,5.135710484300149,7.568744895181045,
20260520,,,,,,,,,,,,130.94,36.91,-3.5788923719958343,-3.6543983294179183,
20260521,,,,,,,,,,,,140.20,34.36,-12.747587607922807,-9.100529100529098,
20260522,,,,,,,,2792.0,-4129.0,4129.0,negative_sum_of_three_institution_mtx_net_oi,156.25,33.09,-14.319005696530285,-11.547714514835583,
20260525,,,,,,,,510.0,-7875.0,7875.0,negative_sum_of_three_institution_mtx_net_oi,148.71,33.91,-13.207064243665222,-4.12779191405146,
20260526,,,,,,,,-2807.0,-13753.0,13753.0,negative_sum_of_three_institution_mtx_net_oi,125.76,32.91,-16.704631738800312,-12.426822778073443,
20260527,,,,,,,,1340.0,-8525.0,8525.0,negative_sum_of_three_institution_mtx_net_oi,184.57,34.51,-6.502302898943368,-9.848484848484851,
20260528,,,,,,,,-360.0,-10776.0,10776.0,negative_sum_of_three_institution_mtx_net_oi,127.81,36.28,5.587892898719438,-7.872016251904523,
20260529,,,,,,,,322.0,-9000.0,9000.0,negative_sum_of_three_institution_mtx_net_oi,222.36,35.87,8.40132970686005,-7.1206628689797995,
20260601,,,,,,,,-2249.0,-12784.0,12784.0,negative_sum_of_three_institution_mtx_net_oi,171.12,36.52,,,
20260602,,,,,,,,-3310.0,-14604.0,14604.0,negative_sum_of_three_institution_mtx_net_oi,142.84,36.58,,,
20260603,,,,,,,,-427.0,-11026.0,11026.0,negative_sum_of_three_institution_mtx_net_oi,217.69,34.94,,,
20260604,,,,,,,,-3562.0,-15922.0,15922.0,negative_sum_of_three_institution_mtx_net_oi,140.41,35.23,,,
20260605,,,,,,,,-1051.0,-15615.0,15615.0,negative_sum_of_three_institution_mtx_net_oi,189.66,36.27,,,
20260608,,,,,,,,,,,,126.75,42.28,15.772179627601313,,
20260609,,,,,,,,,,,,133.64,38.65,5.658829961727729,,
20260610,,,,,,,,6698.0,-6935.0,6935.0,negative_sum_of_three_institution_mtx_net_oi,166.01,43.92,25.701202060675456,,
20260611,,,,,,,,4930.0,-10290.0,10290.0,negative_sum_of_three_institution_mtx_net_oi,133.33,43.58,23.701390860062443,,
20260612,,,,,,,,5734.0,-9801.0,9801.0,negative_sum_of_three_institution_mtx_net_oi,168.35,41.96,15.687896333057605,,
20260615,,,,,,,,2919.0,-13498.0,13498.0,negative_sum_of_three_institution_mtx_net_oi,172.00,39.98,-5.439924314096512,9.474260679079949,
20260616,,,,,,,,933.0,-16227.0,16227.0,negative_sum_of_three_institution_mtx_net_oi,164.48,39.22,1.4747736093143615,7.217058501913609,
20260617,,,,,,,,-2345.0,-10412.0,10412.0,negative_sum_of_three_institution_mtx_net_oi,133.15,37.78,-13.979963570127508,8.128219805380654,
20260618,,,,,,,,2185.0,-5672.0,5672.0,negative_sum_of_three_institution_mtx_net_oi,114.67,37.84,-13.171179440110127,7.408458699971643,
20260622,,,,,,,,3381.0,-3096.0,3096.0,negative_sum_of_three_institution_mtx_net_oi,147.65,37.83,-9.84270734032412,4.3010752688172005,
20260623,,,,,,,,-3553.0,-11535.0,11535.0,negative_sum_of_three_institution_mtx_net_oi,98.99,39.32,-1.650825412706347,-7.000946073793757,
20260624,,,,,,,,882.0,-8469.0,8469.0,negative_sum_of_three_institution_mtx_net_oi,134.59,40.92,4.334523202447738,5.873221216041413,
20260625,,,,,,,,1615.0,-6464.0,6464.0,negative_sum_of_three_institution_mtx_net_oi,114.57,40.31,6.696664902064597,-8.219489981785067,
20260626,,,,,,,,-268.0,-7062.0,7062.0,negative_sum_of_three_institution_mtx_net_oi,128.74,44.01,16.30549682875262,0.9866911427260261,
20260629,,,,,,,,4532.0,-1266.0,1266.0,negative_sum_of_three_institution_mtx_net_oi,123.92,39.98,5.683320116309809,-4.718779790276462,
20260630,,,,,,,,2785.0,-2849.0,2849.0,negative_sum_of_three_institution_mtx_net_oi,134.93,38.54,-1.983723296032558,-3.601800900450225,5.53121577217961
20260701,,,,,,,,3132.0,-3513.0,3513.0,negative_sum_of_three_institution_mtx_net_oi,142.03,38.14,-6.793743890518089,-2.753697093319729,4.2646254784035165
20260702,,,,,,,,418.0,-7577.0,7577.0,negative_sum_of_three_institution_mtx_net_oi,120.46,37.76,-6.325973703795595,-0.0529380624669229,8.070978820835716
20260703,,,,,,,,2566.0,-5309.0,5309.0,negative_sum_of_three_institution_mtx_net_oi,136.30,36.58,-16.88252669847762,-3.3298097251585723,3.8319613965370536
20260706,,,,,,,,1903.0,-5173.0,5173.0,negative_sum_of_three_institution_mtx_net_oi,122.22,36.89,-7.728864432216098,-2.484800422944744,1.7094017094017033
20260707,,,,,,,,1630.0,-7195.0,7195.0,negative_sum_of_three_institution_mtx_net_oi,98.68,38.25,-0.7524649714582221,-2.7212614445574768,-9.53169347209083
20260708,,,,,,,,-419.0,-8953.0,8953.0,negative_sum_of_three_institution_mtx_net_oi,129.81,38.13,-0.02621919244886195,-6.818181818181812,-1.3454075032341417
20260709,,,,,,,,4280.0,-4571.0,4571.0,negative_sum_of_three_institution_mtx_net_oi,118.81,37.11,-1.7213983050847426,-7.938476804763095,-15.50546448087432
20260713,,,,,,,,7030.0,-1318.0,1318.0,negative_sum_of_three_institution_mtx_net_oi,124.42,36.62,0.10934937124111865,-16.791638264030905,-15.970628728774672
20260714,,,,,,,,5038.0,-6888.0,6888.0,negative_sum_of_three_institution_mtx_net_oi,99.31,36.61,-0.7590132827324458,-8.429214607303647,-12.750238322211638
20260715,,,,,,,,561.0,-7809.0,7809.0,negative_sum_of_three_institution_mtx_net_oi,103.58,34.43,-9.986928104575165,-10.664244940321744,-13.88194097048524
20260716,,,,,,,,-1501.0,-10948.0,10948.0,negative_sum_of_three_institution_mtx_net_oi,93.37,34.81,-8.707054812483605,-8.73099108547456,-11.244263131055575
20260717,,,,,,,,-2233.0,-11776.0,11776.0,negative_sum_of_three_institution_mtx_net_oi,92.94,38.81,4.580975478307736,2.780720338983067,2.7263102170460574
20260720,,,,,,,,-1107.0,-10452.0,10452.0,negative_sum_of_three_institution_mtx_net_oi,82.72,39.49,7.837247405789194,7.9551667577911545,4.360465116279055
20260721,,,,,,,,3154.0,-5490.0,5490.0,negative_sum_of_three_institution_mtx_net_oi,106.32,36.55,-0.16388964763726088,-0.9216589861751223,-3.3835580227332795
20260722,,,,,,,,423.0,-7512.0,7512.0,negative_sum_of_three_institution_mtx_net_oi,118.24,36.14,4.966598896311369,-5.5163398692810395,-8.087487283825023
20260723,,,,,,,,853.0,-7648.0,7648.0,negative_sum_of_three_institution_mtx_net_oi,119.11,35.74,2.671646078713019,-6.268030422239712,-12.658846529814271
20260724,,,,,,,,-3225.0,-12450.0,12450.0,negative_sum_of_three_institution_mtx_net_oi,112.70,38.19,-1.597526410718897,2.9102667744543176,-5.259240883155558
20260727,,,,,,,,-1176.0,-10621.0,10621.0,negative_sum_of_three_institution_mtx_net_oi,109.84,37.26,-5.64699924031401,1.7476788640087504,-15.337423312883436
20260728,,,,,,,,-3100.0,-11556.0,11556.0,negative_sum_of_three_institution_mtx_net_oi,89.37,40.46,10.697674418604652,10.516252390057357,1.2006003001500787
20260729,,,,,,,,-731.0,-6994.0,6994.0,negative_sum_of_three_institution_mtx_net_oi,84.29,42.17,16.68511344770338,22.48039500435668,9.418785677218477
20260730,,,,,,,,2063.0,-4096.0,4096.0,negative_sum_of_three_institution_mtx_net_oi,79.43,44.33,24.034695019585882,27.348463085320308,16.22968012585211
20260731,,,,,,,,-1178.0,-7387.0,7387.0,negative_sum_of_three_institution_mtx_net_oi,107.27,40.6,6.310552500654643,4.612213347075489,7.521186440677985
20260803,,,,,,,,-961.0,-6761.0,6761.0,negative_sum_of_three_institution_mtx_net_oi,97.66,39.47,5.931293612453037,-0.050645733096998935,7.900492072170584
20260804,,,,,,,,926.0,-3995.0,3995.0,negative_sum_of_three_institution_mtx_net_oi,102.56,38.91,-3.8309441423628354,6.456908344733248,5.475738682569786
20260805,,,,,,,,-1023.0,-6284.0,6284.0,negative_sum_of_three_institution_mtx_net_oi,111.87,35.37,-16.12520749347879,-2.130603209739912,-7.529411764705884
20260806,,,,,,,,-6249.0,-10784.0,10784.0,negative_sum_of_three_institution_mtx_net_oi,109.77,36.07,-18.632979923302496,0.9233351986569716,-5.4025701547338105
20260807,,,,,,,,-2804.0,-8721.0,8721.0,negative_sum_of_three_institution_mtx_net_oi,106.42,35.47,-12.635467980295568,-7.122283320240896,-4.419293990838047
20260810,,,,,,,,-3456.0,-9771.0,9771.0,negative_sum_of_three_institution_mtx_net_oi,117.38,35.18,-10.869014441347858,-5.582393988191081,-3.9322774440196606
20260811,,,,,,,,-3835.0,-9790.0,9790.0,negative_sum_of_three_institution_mtx_net_oi,123.58,33.55,-13.77537907992804,-17.078596144340096,-8.358372029500138
20260812,,,,,,,,-1353.0,-7085.0,7085.0,negative_sum_of_three_institution_mtx_net_oi,106.06,31.88,-9.867119027424366,-24.40123310410245,-7.406331687481849
20260813,,,,,,,,-2186.0,-7909.0,7909.0,negative_sum_of_three_institution_mtx_net_oi,112.03,31.08,-13.834211255891326,-29.889465373336343,-10.715311692042528
20260814,,,,,,,,-735.0,-6980.0,6980.0,negative_sum_of_three_institution_mtx_net_oi,115.00,30.23,-14.773047645897941,-25.54187192118227,-22.107704199948476
20260817,,,,,,,,-155.0,-7116.0,7116.0,negative_sum_of_three_institution_mtx_net_oi,117.16,29.08,-17.339397384877774,-26.323790220420573,-26.361104076981523
20260818,,,,,,,,-632.0,-9496.0,9496.0,negative_sum_of_three_institution_mtx_net_oi,104.64,30.46,-9.210134128166903,-21.716782318170125,-16.662106703146364
20260819,,,,,,,,-1144.0,-8964.0,8964.0,negative_sum_of_three_institution_mtx_net_oi,102.27,30.83,-3.293601003764113,-12.83573649985864,-14.692861095738795
20260820,,,,,,,,-1081.0,-9158.0,9158.0,negative_sum_of_three_institution_mtx_net_oi,99.37,30.02,-3.4105534105534074,-16.772941502633763,-16.004476776720765
20260821,,,,,,,,,,,,103.78,29.23,-3.3079722130334055,-17.592331547786856,-23.461639172558257
20260824,,,,,,,,,,,,95.81,29.86,2.6822558459422385,-15.122228538942583,-19.860440150295222
20260825,,,,,,,,1058.0,-5690.0,5690.0,negative_sum_of_three_institution_mtx_net_oi,101.99,29.5,-3.151674326986209,-12.071535022354684,-27.088482451804254
20260826,,,,,,,,5638.0,-944.0,944.0,negative_sum_of_three_institution_mtx_net_oi,103.04,28.68,-6.973726889393439,-10.037641154328735,-31.989566042210104
20260827,,,,,,,,1763.0,-4400.0,4400.0,negative_sum_of_three_institution_mtx_net_oi,105.81,27.1,-9.726848767488338,-12.805662805662799,-38.86758402887435
20260828,,,,,,,,3282.0,-2630.0,2630.0,negative_sum_of_three_institution_mtx_net_oi,101.44,25.0,-14.471433458775229,-17.300694674164742,-38.42364532019704
20260831,,,,,,,,246.0,-4988.0,4988.0,negative_sum_of_three_institution_mtx_net_oi,96.12,24.46,-18.08439383791024,-15.887207702888572,-38.02888269571826
20260901,,,,,,,,5006.0,1332.0,-1332.0,negative_sum_of_three_institution_mtx_net_oi,110.04,24.92,-15.525423728813559,-18.187787261982923,-35.95476741197634
20260902,,,,,,,,-192.0,-3882.0,3882.0,negative_sum_of_three_institution_mtx_net_oi,83.90,26.09,-9.030683403068341,-15.374635095686017,-26.2369239468476
20260903,,,,,,,,2822.0,-387.0,387.0,negative_sum_of_three_institution_mtx_net_oi,77.16,25.66,-5.3136531365313715,-14.523650899400398,-28.86054893263099
20260904,-486659.0,-82389.0,-697.0,76174.0,-3398.0,-560.0,-2838.0,6255.0,3246.0,-3246.0,negative_sum_of_three_institution_mtx_net_oi,99.8,24.0,-4.0000000000000036,-17.89257612042422,-32.33718635466592
