date,stock_id,stock_name,market,institutional_net_lots
20260521,4722,國精化,TWSE,368.234
20260521,8104,錸寶,TWSE,362.056
20260521,1708,東鹼,TWSE,354.334
20260521,2399,映泰,TWSE,352.858
20260521,6757,台灣虎航,TWSE,352.225
20260521,00921,兆豐龍頭等權重,TWSE,350.093
20260521,8011,台通,TWSE,350.0
20260521,4746,台耀,TWSE,347.189
20260521,00990,主動元大AI新經濟,TWSE,344.081
20260521,2345,智邦,TWSE,343.984
20260521,6579,研揚,TWSE,343.953
20260521,3588,通嘉,TWSE,343.02
20260521,1308,亞聚,TWSE,338.837
20260521,00944,野村趨勢動能高息,TWSE,332.387
20260521,009803,玉山市值動能50,TWSE,331.984
20260521,4968,立積,TWSE,326.022
20260521,00893,國泰智能電動車,TWSE,325.074
20260521,2031,新光鋼,TWSE,317.651
20260521,00651,復華香港反1,TWSE,315.0
20260521,3008,大立光,TWSE,313.182
20260521,6117,迎廣,TWSE,313.181
20260521,4934,太極,TWSE,313.0
20260521,00952,凱基台灣AI50,TWSE,308.573
20260521,3058,立德,TWSE,303.0
20260521,8046,南電,TWSE,302.505
20260521,9919,康那香,TWSE,300.0
20260521,00897,富邦基因免疫生技,TWSE,297.579
20260521,7795,長廣,TWSE,296.582
20260521,2478,大毅,TWSE,295.631
20260521,2461,光群雷,TWSE,290.0
20260521,2342,茂矽,TWSE,289.319
20260521,00892,富邦台灣半導體,TWSE,288.668
20260521,009812,野村日本東證,TWSE,288.442
20260521,6776,展碁國際,TWSE,288.0
20260521,00730,富邦臺灣優質高息,TWSE,287.515
20260521,3406,玉晶光,TWSE,287.329
20260521,6668,中揚光,TWSE,286.0
20260521,5234,達興材料,TWSE,282.992
20260521,3356,奇偶,TWSE,281.302
20260521,2440,太空梭,TWSE,279.074
20260521,2104,國際中橡,TWSE,275.417
20260521,1102,亞泥,TWSE,273.29
20260521,8213,志超,TWSE,272.995
20260521,9958,世紀鋼,TWSE,266.22
20260521,6269,台郡,TWSE,264.662
20260521,2630,亞航,TWSE,264.177
20260521,2889,國票金,TWSE,263.925
20260521,2453,凌群,TWSE,260.0
20260521,8033,雷虎,TWSE,258.3
20260521,9921,巨大,TWSE,258.272
20260521,1444,力麗,TWSE,257.339
20260521,009809,富邦淨零ESG50,TWSE,256.95
20260521,6438,迅得,TWSE,256.789
20260521,2395,研華,TWSE,256.658
20260521,2243,宏旭-KY,TWSE,254.0
20260521,6944,兆聯實業,TWSE,252.868
20260521,2467,志聖,TWSE,247.676
20260521,2030,彰源,TWSE,247.0
20260521,00924,復華S&P500成長,TWSE,246.137
20260521,8222,寶一,TWSE,245.972
20260521,1436,華友聯,TWSE,245.306
20260521,2537,聯上發,TWSE,245.0
20260521,2387,精元,TWSE,244.5
20260521,4555,氣立,TWSE,242.168
20260521,6446,藥華藥,TWSE,241.046
20260521,2483,百容,TWSE,237.0
20260521,6192,巨路,TWSE,236.541
20260521,2106,建大,TWSE,236.0
20260521,1735,日勝化,TWSE,233.068
20260521,6108,競國,TWSE,231.626
20260521,6862,三集瑞-KY,TWSE,230.751
20260521,00938,凱基優選30,TWSE,230.721
20260521,6854,錼創科技-KY創,TWSE,229.498
20260521,3031,佰鴻,TWSE,227.204
20260521,00983,主動富邦複合收益,TWSE,227.0
20260521,1522,堤維西,TWSE,226.651
20260521,6189,豐藝,TWSE,226.07
20260521,1709,和益,TWSE,222.0
20260521,00666,富邦恒生國企反1,TWSE,218.0
20260521,2425,承啟,TWSE,215.998
20260521,6416,瑞祺電通,TWSE,215.0
20260521,4952,凌通,TWSE,212.522
20260521,1611,中電,TWSE,212.384
20260521,1464,得力,TWSE,212.01
20260521,00898,國泰基因免疫革命,TWSE,211.53
20260521,2913,農林,TWSE,209.0
20260521,00943,兆豐電子高息等權,TWSE,206.363
20260521,1563,巧新,TWSE,203.644
20260521,3653,健策,TWSE,202.128
20260521,7749,意騰-KY,TWSE,201.631
20260521,3528,安馳,TWSE,200.0
20260521,4770,上品,TWSE,199.978
20260521,8464,億豐,TWSE,199.684
20260521,2347,聯強,TWSE,199.61
20260521,00675,富邦臺灣加權正2,TWSE,199.48
20260521,00926,凱基全球菁英55,TWSE,199.459
20260521,3701,大眾控,TWSE,199.31
20260521,2617,台航,TWSE,198.224
20260521,6695,芯鼎,TWSE,196.913
20260521,4532,瑞智,TWSE,193.636
20260521,1313,聯成,TWSE,193.472
20260521,00763,期街口道瓊銅,TWSE,191.694
20260521,8996,高力,TWSE,187.613
20260521,3530,晶相光,TWSE,187.0
20260521,3026,禾伸堂,TWSE,185.029
20260521,3138,耀登,TWSE,184.342
20260521,1519,華城,TWSE,184.275
20260521,2397,友通,TWSE,184.025
20260521,2417,圓剛,TWSE,182.555
20260521,9934,成霖,TWSE,182.0
20260521,00963,中信全球高股息,TWSE,181.15
20260521,1618,合機,TWSE,181.0
20260521,3515,華擎,TWSE,179.362
20260521,2439,美律,TWSE,178.246
20260521,1337,再生-KY,TWSE,176.0
20260521,3416,融程電,TWSE,175.131
20260521,00916,國泰全球品牌50,TWSE,174.631
20260521,00701,國泰股利精選30,TWSE,174.25
20260521,3518,柏騰,TWSE,173.0
20260521,2236,百達-KY,TWSE,172.848
20260521,3622,洋華,TWSE,172.395
20260521,2606,裕民,TWSE,171.995
20260521,1723,中碳,TWSE,171.134
20260521,00693,期街口S&P黃豆,TWSE,168.131
20260521,3338,泰碩,TWSE,166.0
20260521,00655,國泰中國A50正2,TWSE,165.137
20260521,6831,邁科,TWSE,163.961
20260521,8162,微矽電子-創,TWSE,162.827
20260521,5608,四維航,TWSE,162.227
20260521,3501,維熹,TWSE,161.888
20260521,2258,鴻華先進-創,TWSE,161.833
20260521,6272,驊陞,TWSE,161.0
20260521,00986,主動台新龍頭成長,TWSE,159.075
20260521,2460,建通,TWSE,159.0
20260521,1707,葡萄王,TWSE,158.136
20260521,00910,第一金太空衛星,TWSE,157.63
20260521,3716,中化控股,TWSE,156.204
20260521,1603,華電,TWSE,156.067
20260521,3607,谷崧,TWSE,155.0
20260521,00652,富邦印度,TWSE,154.998
20260521,3050,鈺德,TWSE,154.0
20260521,6781,AES-KY,TWSE,153.829
20260521,00917,中信特選金融,TWSE,153.672
20260521,6226,光鼎,TWSE,153.0
20260521,3038,全台,TWSE,150.04
20260521,4164,承業醫,TWSE,149.674
20260521,6873,泓德能源,TWSE,148.402
20260521,1789,神隆,TWSE,146.871
20260521,2022,聚亨,TWSE,146.103
20260521,1447,力鵬,TWSE,146.0
20260521,9941,裕融,TWSE,142.924
20260521,3092,鴻碩,TWSE,140.112
20260521,00902,中信電池及儲能,TWSE,139.609
20260521,6541,泰福-KY,TWSE,139.087
20260521,3346,麗清,TWSE,138.0
20260521,6937,天虹,TWSE,136.997
20260521,6477,安集,TWSE,136.0
20260521,00645,富邦日本,TWSE,135.207
20260521,00664,國泰臺灣加權反1,TWSE,134.274
20260521,6605,帝寶,TWSE,134.217
20260521,00962,台新AI優息動能,TWSE,132.194
20260521,3617,碩天,TWSE,132.068
20260521,5284,jpp-KY,TWSE,130.33
20260521,6164,華興,TWSE,129.0
20260521,9946,三發地產,TWSE,127.0
20260521,6994,富威電力,TWSE,124.125
20260521,2497,怡利電,TWSE,124.029
20260521,4536,拓凱,TWSE,121.586
20260521,5607,遠雄港,TWSE,121.007
20260521,1529,樂事綠能,TWSE,120.999
20260521,6128,上福,TWSE,120.87
20260521,6835,圓裕,TWSE,120.0
20260521,0061,元大寶滬深,TWSE,119.364
20260521,6799,來頡,TWSE,118.518
20260521,3504,揚明光,TWSE,117.914
