research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,model_id,source_event_key,stock_id,stock_name,signal_date,confirmation_date,entry_date,exit_date,return_pct,return_outcome,exit_reason,event_sequence_for_stock,all_events_overlap_pair_count_for_stock,first_event_per_stock_included,same_stock_non_overlap_included,same_stock_non_overlap_suppression_reason,suppressed_by_source_event_key,suppressed_by_entry_date,suppressed_by_exit_date,deep_low_120_le40,deep_low_240_le40,range60_le25,range120_le25,limit_up_like,consolidation_type,risk_type,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3624|20260617|20260618|next_day_break_signal_high_confirmed|20260622|20260703|171.5|155.0,3624,光頡,20260617,20260618,20260622,20260703,-9.621,loss,fixed_10d_close,5,4,False,False,same_stock_active_position_overlap,3624|20260615|20260616|next_day_break_signal_high_confirmed|20260617|20260701|141.0|154.5,20260617,20260701,False,False,False,False,False,non_consolidation,normal_risk,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3631|20260420|20260421|next_day_break_signal_high_confirmed|20260422|20260506|35.45|38.9,3631,晟楠,20260420,20260421,20260422,20260506,9.732,win,fixed_10d_close,1,0,True,True,,,,,False,False,False,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3645|20250801|20250804|next_day_break_signal_high_confirmed|20250805|20250818|72.4|74.6,3645,達邁,20250801,20250804,20250805,20250818,3.0387,win,fixed_10d_close,1,0,True,True,,,,,False,False,False,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3645|20260416|20260417|next_day_break_signal_high_confirmed|20260420|20260504|105.0|97.8,3645,達邁,20260416,20260417,20260420,20260504,-6.8571,loss,fixed_10d_close,2,0,False,True,,,,,False,False,False,False,False,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3673|20260407|20260408|next_day_break_signal_high_confirmed|20260409|20260422|52.0|66.0,3673,TPK-KY,20260407,20260408,20260409,20260422,26.9231,win,fixed_10d_close,1,0,True,True,,,,,True,False,False,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3675|20260312|20260313|next_day_break_signal_high_confirmed|20260316|20260323|219.5|196.0,3675,德微,20260312,20260313,20260316,20260323,-10.7062,loss,stop_signal_low,1,0,True,True,,,,,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3680|20260430|20260504|next_day_break_signal_high_confirmed|20260505|20260518|579.0|544.0,3680,家登,20260430,20260504,20260505,20260518,-6.0449,loss,fixed_10d_close,1,0,True,True,,,,,False,False,False,False,False,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3694|20250811|20250812|next_day_break_signal_high_confirmed|20250813|20250826|74.7|96.0,3694,海華,20250811,20250812,20250813,20250826,28.5141,win,fixed_10d_close,1,4,True,True,,,,,False,False,False,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3694|20250812|20250813|next_day_break_signal_high_confirmed|20250814|20250827|82.7|96.2,3694,海華,20250812,20250813,20250814,20250827,16.3241,win,fixed_10d_close,2,4,False,False,same_stock_active_position_overlap,3694|20250811|20250812|next_day_break_signal_high_confirmed|20250813|20250826|74.7|96.0,20250813,20250826,False,False,False,False,False,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3694|20250813|20250814|next_day_break_signal_high_confirmed|20250815|20250828|87.9|100.0,3694,海華,20250813,20250814,20250815,20250828,13.7656,win,fixed_10d_close,3,4,False,False,same_stock_active_position_overlap,3694|20250811|20250812|next_day_break_signal_high_confirmed|20250813|20250826|74.7|96.0,20250813,20250826,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
