research_id,artifact_version,source_research_id,source_artifact_version,semantic_source_research_id,semantic_source_artifact_version,advisory_status,model_id,row_type,slice_family,slice_id,slice_label,basis,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,min_return_pct,max_return_pct,trim_sample_size,trim_avg_return_pct,trim_median_return_pct,top20_count,bottom20_count,top20_share_pct,bottom20_share_pct,top_minus_bottom_share_pct,overall_share_pct,high_return_share_pct,low_return_share_pct,high_minus_low_share_pct,numeric_overall_median,numeric_top20_median,numeric_bottom20_median,numeric_top_minus_bottom_median,sample_status,decision_hint,value_a,value_b,value_c,note,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,limit_up,not_locked_limit_up,not locked limit-up like,not lock-limit,209,25.77,103.0,1.0,105.0,49.28,0.48,50.24,3.6293,-0.4515,-13.2945,22.2515,-24.6057,81.3953,203.0,3.0546,-0.4515,33.0,34.0,15.79,16.27,-0.48,,,,,,,,,thin_but_reviewable_sample,possible_risk_tag_or_deduct_candidate_research_only,,,,tests non-lock volume attacks,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,overheat,overheat_flag_true,overheat flag true,risk_type overheat/chase or volume>6 or signal return>=9.8,754,92.97,395.0,3.0,356.0,52.39,0.4,47.21,5.061,1.3482,-14.9531,30.7173,-29.3651,91.0714,738.0,4.5964,1.3482,156.0,161.0,20.69,21.35,-0.66,,,,,,,,,reviewable_sample,mixed_or_weak_difference_research_only,,,,diagnoses overheated breakout risk,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,overheat,overheat_flag_false,overheat flag false,not overheat by provisional proxy,57,7.03,30.0,1.0,26.0,52.63,1.75,45.61,3.6663,1.3265,-8.3915,19.8605,-18.2099,47.4227,55.0,3.2685,1.3265,7.0,2.0,12.28,3.51,8.77,,,,,,,,,thin_sample,mixed_or_weak_difference_research_only,,,,tests cleaner breakouts without overheat proxy,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,overheat,volume_ratio_2_to_6,volume ratio 2 to 6,controlled volume expansion,601,74.11,315.0,3.0,283.0,52.41,0.5,47.09,4.675,1.3265,-13.881,27.2873,-29.3651,91.0714,589.0,4.2285,1.3265,114.0,110.0,18.97,18.3,0.67,,,,,,,,,reviewable_sample,mixed_or_weak_difference_research_only,,,,tests whether controlled volume is better than weak or excessive volume,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,overheat,volume_ratio_gt6,volume ratio >6,excessive volume expansion,81,9.99,37.0,0.0,44.0,45.68,0.0,54.32,3.7009,-1.2214,-14.8818,27.3529,-22.3256,81.6143,79.0,3.0441,-1.2214,17.0,23.0,20.99,28.4,-7.41,,,,,,,,,thin_sample,mixed_or_weak_difference_research_only,,,,diagnoses volume overheat,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,overheat,signal_return_ge9_8,signal day return >=9.8%,limit-up like daily return,503,62.02,263.0,3.0,237.0,52.29,0.6,47.12,4.9559,1.3605,-15.7036,31.5077,-26.6419,91.0714,491.0,4.4637,1.3605,105.0,111.0,20.87,22.07,-1.2,,,,,,,,,reviewable_sample,mixed_or_weak_difference_research_only,,,,diagnoses locked/extended signal day,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,combined,low_base_loose_and_consolidated,loose low-base proxy and consolidated,"off60<=50, range60<=45, consolidated",254,31.32,115.0,2.0,137.0,45.28,0.79,53.94,2.3197,-1.6494,-13.0581,21.8918,-24.5464,68.1818,248.0,1.9191,-1.6494,39.0,41.0,15.35,16.14,-0.79,,,,,,,,,thin_but_reviewable_sample,possible_risk_tag_or_deduct_candidate_research_only,,,,tests hard-gate style low-base consolidation,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,combined,low_base_loose_not_overheat,loose low-base proxy and not overheat,"off60<=50, range60<=45, overheat=False",32,3.95,11.0,1.0,20.0,34.38,3.12,62.5,-1.3451,-2.5461,-8.0594,4.3578,-10.2564,22.084,30.0,-1.829,-2.5461,1.0,0.0,3.12,0.0,3.12,,,,,,,,,insufficient_sample,insufficient_sample_do_not_use_as_gate,,,,tests low-base plus risk cleanup,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,combined,low_base_loose_not_locked,loose low-base proxy and not locked,"off60<=50, range60<=45, locked=False",113,13.93,48.0,1.0,64.0,42.48,0.88,56.64,1.491,-2.0362,-10.9192,20.0447,-19.9839,58.0087,109.0,0.9624,-2.0362,14.0,13.0,12.39,11.5,0.89,,,,,,,,,thin_but_reviewable_sample,possible_risk_tag_or_deduct_candidate_research_only,,,,tests whether low-base works without lock-limit rows,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,combined,high_or_wide_overheat,extended/wide and overheat,(off60>75 or range60>60) and overheat,243,29.96,130.0,1.0,112.0,53.5,0.41,46.09,5.6462,2.0804,-17.3429,34.6574,-29.3651,81.8182,237.0,5.1235,2.0804,57.0,64.0,23.46,26.34,-2.88,,,,,,,,,thin_but_reviewable_sample,mixed_or_weak_difference_research_only,,,,candidate risk-tag cluster,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,combined,high_wide_non_consolidation,extended or wide and non-consolidation,(off60>75 or range60>60) and non-consolidation,258,31.81,141.0,1.0,116.0,54.65,0.39,44.96,5.9121,2.5711,-17.236,34.5243,-29.3651,81.8182,252.0,5.4268,2.5711,61.0,65.0,23.64,25.19,-1.55,,,,,,,,,thin_but_reviewable_sample,mixed_or_weak_difference_research_only,,,,candidate separate-model or avoid cluster,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,off_60d_low_bucket,off_60d_low_bucket=off60_35_50_low_mid_base,off60_35_50_low_mid_base,top20 return share vs bottom20 return share,195,24.04,106.0,1.0,88.0,54.36,0.51,45.13,4.4595,2.1064,-12.1059,24.9498,-22.956,62.5698,191.0,4.1971,2.1064,,,,,,24.04,19.02,17.79,1.23,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,off_60d_low_bucket,off_60d_low_bucket=off60_50_75_extended,off60_50_75_extended,top20 return share vs bottom20 return share,199,24.54,115.0,1.0,83.0,57.79,0.5,41.71,7.4764,2.9412,-13.3622,32.9911,-23.0769,91.0714,195.0,6.9709,2.9412,,,,,,24.54,28.83,23.31,5.52,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,off_60d_low_bucket,off_60d_low_bucket=off60_gt75_high_extended,off60_gt75_high_extended,top20 return share vs bottom20 return share,235,28.98,128.0,1.0,106.0,54.47,0.43,45.11,6.0216,2.1645,-17.3206,34.6042,-29.3651,81.8182,229.0,5.4904,2.1645,,,,,,28.98,34.36,36.81,-2.45,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,off_60d_low_bucket,off_60d_low_bucket=off60_le35_low_base,off60_le35_low_base,top20 return share vs bottom20 return share,182,22.44,76.0,1.0,105.0,41.76,0.55,57.69,1.3872,-2.6626,-13.6287,22.0674,-24.5464,68.1818,178.0,0.9682,-2.6626,,,,,,22.44,17.79,22.09,-4.29,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,range_width_60_bucket,range_width_60_bucket=range60_35_45_moderate,range60_35_45_moderate,top20 return share vs bottom20 return share,118,14.55,75.0,0.0,43.0,63.56,0.0,36.44,5.8368,3.9249,-13.024,27.5386,-23.0769,72.1053,114.0,5.3682,3.9249,,,,,,14.55,12.88,10.43,2.45,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,range_width_60_bucket,range_width_60_bucket=range60_45_60_wide,range60_45_60_wide,top20 return share vs bottom20 return share,141,17.39,83.0,1.0,57.0,58.87,0.71,40.43,7.9815,2.7915,-13.4194,32.7751,-21.1373,91.0714,137.0,7.2527,2.7915,,,,,,17.39,19.63,15.95,3.68,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,range_width_60_bucket,range_width_60_bucket=range60_gt60_very_wide,range60_gt60_very_wide,top20 return share vs bottom20 return share,256,31.57,139.0,1.0,116.0,54.3,0.39,45.31,5.9183,2.4188,-17.241,34.5776,-29.3651,81.8182,250.0,5.4293,2.4188,,,,,,31.57,37.42,39.88,-2.45,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,range_width_60_bucket,range_width_60_bucket=range60_le35_narrow,range60_le35_narrow,top20 return share vs bottom20 return share,296,36.5,128.0,2.0,166.0,43.24,0.68,56.08,2.3505,-2.0071,-13.2848,23.3978,-24.5464,68.1818,290.0,1.9802,-2.0071,,,,,,36.5,30.06,33.74,-3.68,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,range_width_20_bucket,range_width_20_bucket=range20_15_25_moderate,range20_15_25_moderate,top20 return share vs bottom20 return share,175,21.58,87.0,3.0,85.0,49.71,1.71,48.57,3.6098,0.0,-12.3935,22.9686,-22.3404,91.0714,171.0,3.0771,0.0,,,,,,21.58,15.95,16.56,-0.61,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,range_width_20_bucket,range_width_20_bucket=range20_gt25_wide,range20_gt25_wide,top20 return share vs bottom20 return share,509,62.76,283.0,1.0,225.0,55.6,0.2,44.2,6.2162,2.7419,-16.1445,33.3077,-29.3651,81.8182,497.0,5.7462,2.7419,,,,,,62.76,71.78,69.33,2.45,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_low_feature_share,range_width_20_bucket,range_width_20_bucket=range20_le15_tight,range20_le15_tight,top20 return share vs bottom20 return share,127,15.66,55.0,0.0,72.0,43.31,0.0,56.69,1.8046,-2.1739,-14.508,20.7064,-24.5464,73.1415,123.0,1.0889,-2.1739,,,,,,15.66,12.27,14.11,-1.84,,,,,,weak_or_mixed_feature_difference,top20_n=163,bottom20_n=163,,feature share comparison only; not a standalone gate,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
