generated_at,model_id,research_artifact_id,anomaly_exclusion_basis,decision_basis,stock_id,stock_name,market,_revenue_signal_date,_revenue_stock_sequence_index,benchmark_index,signal_market_regime,entry_rule_id,exit_rule_id,next_open,realized_return_pct,outcome_label,high_return_8_flag,loss_5_flag,same_stock_non_overlap_included,non_overlap_cooldown_days,revenue_or_price_anomaly_candidate_flag,feature_context_revenue_anomaly_candidate_flag,future_close_max_step_ratio,future_close_max_step_day,future_close_min_step_ratio,future_close_min_step_day,future_close_discontinuity_flag,future_close_discontinuity_reason,full_monthly_revenue_period,full_monthly_revenue_source_table_date,full_monthly_revenue_data_status,full_monthly_revenue_latest_yoy_pct,full_monthly_revenue_cumulative_yoy_pct,full_monthly_revenue_latest_yoy_delta_1m_pct_points,full_monthly_revenue_cumulative_yoy_delta_1m_pct_points,range_width_23d_pct,distance_to_range_high_23d_pct,close_position_120d_pct,return_5d_pct,return_20d_pct,volume_ratio_prev20,rsi14,macd_hist,k_value,d_value,kdj_j_value,bb_width_pct,ema23_slope_5d_pct,distance_to_ema23_pct,ma20,ma60,tdcc_consecutive_up_weeks,feature__revenue_latest30_and_cumulative20,feature__revenue_latest50_and_cumulative30,feature__revenue_latest_yoy_ge100,feature__revenue_latest_yoy_improving_2m,feature__revenue_cumulative_yoy_improving_2m,feature__revenue_latest_yoy_delta_ge20,feature__tdcc_high_thresholds_up,feature__tdcc_all_thresholds_up,feature__tdcc_four_thresholds_sync_up,feature__tdcc_consecutive_up_ge1,feature__tdcc_consecutive_up_ge2,feature__technical_macd_hist_gt0,feature__technical_rsi14_ge60,feature__technical_rsi14_40_70,feature__technical_kd_bullish_not_overheated,feature__technical_kdj_bullish_not_extreme,feature__technical_kdj_j_ge100,feature__technical_bb_width_not_extreme,feature__technical_close_above_ma20_ema23,feature__technical_ema23_slope_positive,feature__technical_obv_above_ma20,feature__technical_ma20_above_ma60,feature__shape_range23_width_le10,feature__shape_range23_width_le15,feature__shape_range23_width_le20,feature__shape_near_range23_high,feature__position120_low_le40,feature__position120_mid_40_75,feature__position120_high_gt75,feature__momentum_return20_0_25,feature__volume_ratio_le1_5,feature__volume_ratio_le2,feature__candle_bullish_attack,feature__candle_solid_red,feature__market_strong_bull,feature__market_mild_bull,feature__market_bull,feature__market_correction_or_high_risk,feature__market_range_bound,feature__market_unknown
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2022,聚亨,TWSE,20260223,186,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,9.16,2.2925764192139653,neutral,False,False,True,20,False,False,1.085082872928177,18,0.9429735234215885,19,False,none,202601,20260217,ready_asof_history_row,76.64,76.64,47.47,58.0,15.458937198067657,-4.184100418410042,82.75862068965516,4.446978335233753,0.43859649122808264,1.3119125265287117,59.24170616113744,-0.012478640823184783,50.430323034907374,31.7983970213724,87.69417506197735,8.689384661587766,0.19488715628279696,4.522914448135995,8.868,8.457666666666666,,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2022,聚亨,TWSE,20260325,207,TWSE,correction,signal_date_close_condition_next_open_entry,d20_close_no_stop,9.32,-12.875536480686712,failure,False,True,True,20,False,False,1.0212527964205818,8,0.9753231492361928,19,False,none,202602,20260317,ready_asof_history_row,47.66,61.5,-28.980000000000004,-15.14,17.47343565525381,-6.532663316582898,73.36065573770497,2.7624309392265234,1.6393442622950838,1.0193637440449974,58.13148788927336,0.0309915494216379,56.88606863988865,63.57080239715245,43.516601125361035,11.115039984021577,1.7183081505969922,2.43692823821382,9.0745,8.767333333333333,,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2022,聚亨,TWSE,20260427,228,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,8.05,-2.484472049689457,failure,False,False,True,20,False,False,1.080368906455863,19,0.9541062801932367,12,False,none,202603,20260417,ready_asof_history_row,52.49,58.16,4.830000000000005,-3.3400000000000034,19.454770755885995,-17.01244813278009,20.08196721311477,-7.834101382488479,-13.885898815931096,1.1499950412860667,16.42857142857146,-0.10814699796938669,7.050906217694545,7.17364099014671,6.805436672790215,15.523600458641965,-2.7633928992678136,-8.438604552500584,8.812,8.925833333333335,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2022,聚亨,TWSE,20260527,249,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,7.64,0.5235602094240788,neutral,False,False,True,20,False,False,1.0439276485788116,5,0.9788029925187032,8,False,none,202604,20260517,ready_asof_history_row,58.72,58.3,6.229999999999997,0.14000000000000057,14.839572192513351,-11.175785797438886,6.072874493927107,1.46276595744681,-5.802469135802468,1.2031449885514545,40.57377049180329,0.0227772429193554,32.539381885818344,30.700616212521815,36.2169132324114,13.753823084664068,-1.4687054334320604,-4.509762275079332,7.9174999999999995,8.587,3.0,True,True,False,True,False,False,True,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2025,千興,listed,20250609,20,TWSE,mild_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,14.45,-3.806228373702414,failure,False,False,True,20,False,False,1.0311418685121108,1,0.9735099337748344,4,False,none,202504,20250517,ready_asof_history_row,44.48,-20.25,79.07,14.39,21.7857142857143,-11.143695014662757,37.704918032786885,7.446808510638303,-9.281437125748493,0.2914790098954211,36.14457831325303,,55.063342839464475,43.309506277267154,78.57101596385913,17.136672363545646,,,15.307500000000001,,,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2025,千興,listed,20250917,88,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,11.1,-9.009009009009006,failure,False,True,True,20,False,False,1.018018018018018,8,0.9532710280373832,17,False,none,202508,20250917,ready_asof_history_row,112.78,-18.21,156.34,11.02,17.64705882352939,-14.615384615384619,0.8333333333333156,-2.6315789473684292,-7.883817427385898,0.41873124220455255,33.33333333333336,-0.026091020552904992,15.129958298802219,19.797299593125867,5.795275710154918,16.150754434855635,-1.6730205970152956,-4.39092752717637,11.690000000000001,12.338333333333333,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2025,千興,TWSE,20260223,186,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,12.1,-1.2396694214876103,failure,False,False,True,20,False,False,1.0995260663507107,18,0.9372549019607843,20,False,none,202601,20260217,ready_asof_history_row,174.18,174.18,199.0,196.81,28.888888888888896,-16.551724137931036,58.33333333333333,-0.4115226337448652,-9.363295880149813,0.25795717452011524,32.72727272727272,-0.20119098429905213,27.401116936505048,27.184277598176376,27.83479561316239,19.721318390891042,-0.7751291669692462,-1.3860997272246545,12.775,10.9915,,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2025,千興,TWSE,20260325,207,TWSE,correction,signal_date_close_condition_next_open_entry,d20_close_no_stop,11.65,-2.145922746781115,failure,False,False,True,20,False,False,1.0606060606060606,14,0.9576271186440678,4,False,none,202602,20260317,ready_asof_history_row,-16.09,78.48,-190.27,-95.7,29.951690821256037,-14.1263940520446,48.78472222222223,7.943925233644866,-4.545454545454541,0.45328328652195593,52.29357798165137,0.13549466737949262,53.76240199563213,51.762168609678156,57.762868767540084,22.57841716190153,1.1049352076897279,0.5502081933620895,11.315,11.637500000000001,,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2025,千興,TWSE,20260427,228,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,11.25,7.55555555555556,win,False,False,True,20,False,False,1.0963302752293578,7,0.9456066945606695,8,False,none,202603,20260417,ready_asof_history_row,127.24,96.54,143.32999999999998,18.060000000000002,22.272727272727266,-17.100371747211884,41.840277777777786,-8.606557377049173,-3.87931034482758,0.671761288876163,51.85185185185185,-0.04531905990745522,25.738756518095357,43.53961152950513,-9.862953504724189,12.476538508253624,-0.22603318242288006,-4.012085255357956,11.605,11.825833333333332,,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2025,千興,TWSE,20260527,249,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,12.1,10.330578512396693,win,True,False,True,20,False,False,1.098360655737705,7,0.9444444444444444,10,False,none,202604,20260517,ready_asof_history_row,112.02,101.64,-15.219999999999999,5.099999999999994,23.364485981308402,-8.333333333333325,58.33333333333333,3.862660944205998,6.140350877192979,0.6715750651092395,51.456310679611654,0.043127896424973305,44.003532104095754,43.754264986305024,44.5020663396772,18.39016774590195,1.4491588498581454,2.1234305647554574,11.747499999999999,11.535833333333333,0.0,True,True,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2027,大成鋼,TWSE,20260518,242,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,39.5,10.50632911392404,win,True,False,True,20,False,False,1.0441001191895112,5,0.9440639269406393,6,False,none,202604,20260517,ready_asof_history_row,37.67,24.25,12.560000000000002,4.629999999999999,14.76323119777161,-4.368932038834961,72.30769230769224,-1.3767209011264159,4.78723404255319,1.4107168086331665,66.48351648351647,0.14048839331002272,60.51070529936266,65.95266520364186,49.62678549080428,13.428549133063758,1.3117386251944474,2.400585218559259,38.165000000000006,37.54750000000001,2.0,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2028,威致,TWSE,20260223,186,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,19.0,-0.526315789473697,failure,False,False,True,20,False,False,1.084507042253521,18,0.9482288828337873,9,False,none,202601,20260217,ready_asof_history_row,47.59,47.59,44.75,64.09,24.079320113314438,-13.242009132420085,58.571428571428584,0.26385224274407815,-0.5235602094240899,0.3234728462960271,56.52173913043478,-0.11275590941581293,21.127182253437326,22.33998005582519,18.701586648661596,14.745429859705492,-0.15005713411230248,1.8717778746346392,18.827499999999997,17.57166666666667,,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2031,新光鋼,listed,20250609,20,TWSE,mild_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,43.15,-11.239860950173819,failure,False,True,True,20,False,False,1.0411686586985394,10,0.9149700598802396,8,False,none,202504,20250517,ready_asof_history_row,49.45,46.51,-1.5499999999999972,1.0899999999999963,7.92682926829269,-2.3728813559321993,67.69230769230778,4.7272727272727355,4.347826086956541,1.696865494325569,45.192307692307686,,52.86628770544573,38.63165470028338,81.33555371577043,8.193816600137644,,,42.730000000000004,,,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2031,新光鋼,listed,20250708,41,TWSE,mild_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,38.0,6.315789473684208,win,False,False,True,20,False,False,1.0382081686429512,4,0.9725536992840096,15,False,none,202505,20250617,ready_asof_history_row,1.14,37.16,-48.31,-9.350000000000001,18.673883626522315,-12.656784492588379,18.493150684931436,-2.7918781725888353,-9.026128266033261,0.6667346055007334,34.80176211453744,-0.07283311835149742,31.70952295470974,42.31576554339445,10.497037777340324,13.399425657585166,-1.3027239031330073,-4.330202923399296,39.902499999999996,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2031,新光鋼,listed,20250807,63,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,41.5,7.469879518072298,win,False,False,True,20,False,False,1.0349397590361447,1,0.9787234042553192,16,False,none,202506,20250717,ready_asof_history_row,24.81,35.15,23.669999999999998,-2.009999999999998,15.415549597855227,-3.600464576074325,62.328767123287655,2.091020910209096,10.3723404255319,2.3134893046587823,56.07476635514018,0.14538379289052056,60.4335147402832,55.871721627943,69.55710096496358,10.691068729417738,0.624080403433358,2.0562410412264143,40.5575,40.913333333333334,,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,2031,新光鋼,listed,20250905,84,TWSE,mild_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,43.35,-7.151095732410617,failure,False,True,True,20,False,False,1.0277442702050663,4,0.9662004662004663,3,False,none,202507,20250817,ready_asof_history_row,19.82,33.15,-4.989999999999998,-2.0,14.930991217063983,-4.148471615720517,78.53107344632768,0.4576659038901587,2.211874272409764,0.5783067773777528,42.39999999999998,-0.08612926070214533,62.85337120440288,60.64382311537719,67.27246738245427,6.345764698010331,0.9531294724793193,1.1338737692209833,43.809999999999995,41.315000000000005,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,True,True,False,False,False
