generated_at,feature_column,feature_family,feature_scope,allowed_use,model_specific_owner,point_in_time_rule
2026-07-01 20:13:41 Asia/Taipei,signal_return_1d_pct,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,volume_ratio_prev20,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,close_above_open,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,body_ratio,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,upper_shadow_ratio,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,close_location,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,close_return_20d_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_sessions,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_return_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_range_high,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_range_low,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_range_width_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_close_position_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_distance_to_high_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_drawdown_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre20_slope20_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,close_return_45d_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_sessions,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_return_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_range_high,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_range_low,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_range_width_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_close_position_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_distance_to_high_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_drawdown_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre45_slope20_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,close_return_90d_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_sessions,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_return_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_range_high,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_range_low,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_range_width_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_close_position_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_distance_to_high_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_drawdown_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,pre90_slope20_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,ma20,technical_price,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,ma60,technical_price,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,ema23,technical_price,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,distance_to_ma20_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,distance_to_ma60_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,distance_to_ema23_pct,price_context,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,ema23_slope_5d_pct,technical_price,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,macd_dif,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,macd_dea,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,macd_hist,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,rsi14,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,kd_k_value,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,kd_d_value,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,kd_k_minus_d,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,obv,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,obv_ma20,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,obv_slope_5d,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,bb_width_pct,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,bb_width_pct_rank_120d,technical_indicator,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_as_of_date,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_rows_as_of,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_future_rows_ignored,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_data_status,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_consecutive_up_weeks,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_400_ratio,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_400_change_1w,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_400_change_3w,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_600_ratio,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_600_change_1w,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_800_ratio,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_800_change_1w,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_1000_ratio,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_1000_change_1w,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tdcc_over_1000_change_3w,holder_flow,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_as_of_date,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_rows_as_of,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_future_rows_ignored,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_data_status,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_name,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_final_status,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_status_group,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_source_type,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_line_group,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_line,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_two_line_overlap,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_priority,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_tdcc_status,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_warrant_flow_signal,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_volume_ratio,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_return_20d_pct,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_repeat_label,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_volume_breakout_type,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_volume_bucket,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_volume_attack_status,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_volume_attack_selected,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_volume_attack_watch,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_volume_attack_failed,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,theme_context_source_artifact,theme_status_history,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,market_index_as_of_date,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,twse_close,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,twse_return_5d_pct,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,twse_return_20d_pct,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,twse_above_ma20,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,twse_above_ma60,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tpex_close,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tpex_return_5d_pct,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tpex_return_20d_pct,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tpex_above_ma20,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,tpex_above_ma60,market_index,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,monthly_revenue_point_in_time_panel,revenue,missing_shared_data_family,not_available_for_required_model_gate_until_panel_and_validator_exist,,must use revenue release date on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,price_pullback_23ema_operation_filter,model_specific_interpretation,model_specific_not_in_shared_panel,price_pullback_23ema_only_after_explicit_research_and_promotion,price_pullback_23ema,must consume shared objective columns without rewriting shared semantics
2026-07-01 20:13:41 Asia/Taipei,neckline_45d_non_bearish_filter,model_specific_interpretation,model_specific_not_in_shared_panel,neckline_volume_breakout_confirmation_only,neckline_volume_breakout_confirmation,must not be reused as a price_pullback_23ema gate
