generated_at,model_id,model_name_zh,research_artifact_id,artifact_version,row_type,anomaly_exclusion_basis,decision_basis,confirmation_variant_id,confirmation_variant_name_zh,pending_window_days,exit_clock_id,source_signal_count,source_known_anomaly_count,accepted_trade_count_before_path_exclusion,price_path_anomaly_count,metric_sample_count,max_realized_return_pct,max_return_stock_id,max_return_signal_date,min_realized_return_pct,min_return_stock_id,min_return_signal_date,return_abs_ge80_count,top1_abs_return_share_pct,top5_abs_return_share_pct,trimmed_1pct_avg_return_pct,potential_return_dominance_flag,interpretation_status,approved_for_daily,production_change
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,ma20_ema23_close_reclaim,均線站回確認型,5,confirmation_d20_close,81017,11445,3446,6,3446,251.5152,4414,20250609,-90.9451,4763,20250609,23,0.6327,2.0158,2.5204,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,ma20_ema23_close_reclaim,均線站回確認型,10,signal_d20_close,81017,11445,3833,6,3833,207.5758,4414,20250609,-90.967,4763,20250609,22,0.5131,1.739,2.0991,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,ma20_ema23_close_reclaim,均線站回確認型,10,confirmation_d20_close,81017,11445,3511,7,3511,251.5152,4414,20250609,-90.9451,4763,20250609,23,0.6229,1.9844,2.5203,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,control_baseline,excluding_known_revenue_and_price_anomalies,True,signal_close_control,訊號日直接進場對照組,0,signal_d20_close,69572,11445,4149,5,4144,152.5,8042,20260429,-48.7869,1589,20260223,26,0.3432,1.5396,2.7242,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,next_day_close_continuation,隔日續強確認型,1,signal_d20_close,69572,11445,3726,5,3721,182.7068,6861,20260407,-41.8405,4971,20260529,16,0.4729,1.7612,2.5071,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,next_day_close_continuation,隔日續強確認型,1,confirmation_d20_close,69572,11445,3567,5,3562,204.5113,6861,20260407,-42.0408,3664,20260305,20,0.5302,1.7858,2.7517,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,range23_highest_close_breakout,區間突破確認型,3,signal_d20_close,69572,11445,1575,1,1574,139.1048,6658,20260417,-39.1608,2540,20250901,10,0.7303,2.9596,3.2502,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,range23_highest_close_breakout,區間突破確認型,3,confirmation_d20_close,69572,11445,1531,1,1530,115.6923,2327,20260424,-40.676,2540,20250902,14,0.5878,2.6298,3.9477,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,range23_highest_close_breakout,區間突破確認型,5,signal_d20_close,69572,11445,1689,1,1688,139.1048,6658,20260417,-39.1608,2540,20250901,11,0.6837,2.8279,3.2456,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,range23_highest_close_breakout,區間突破確認型,5,confirmation_d20_close,69572,11445,1626,1,1625,220.603,5386,20260123,-40.676,2540,20250901,11,1.057,3.0612,3.6934,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,range23_highest_close_breakout,區間突破確認型,10,signal_d20_close,69572,11445,1808,2,1806,139.1048,6658,20260417,-39.1608,2540,20250901,8,0.6776,2.7137,2.6975,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,range23_highest_close_breakout,區間突破確認型,10,confirmation_d20_close,69572,11445,1689,2,1687,220.603,5386,20260122,-40.676,2540,20250902,14,1.0011,2.825,3.7266,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,ma20_ema23_close_reclaim,均線站回確認型,3,signal_d20_close,69572,11445,3154,5,3149,183.0565,6861,20260413,-41.8405,4971,20260529,14,0.5233,2.0029,2.8315,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,ma20_ema23_close_reclaim,均線站回確認型,3,confirmation_d20_close,69572,11445,3023,5,3018,179.0698,6861,20260413,-37.7358,3664,20260306,19,0.5115,1.843,2.9519,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,ma20_ema23_close_reclaim,均線站回確認型,5,signal_d20_close,69572,11445,3236,4,3232,149.8339,6861,20260409,-41.8405,4971,20260529,14,0.4302,1.8628,2.5998,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,ma20_ema23_close_reclaim,均線站回確認型,5,confirmation_d20_close,69572,11445,3064,5,3059,179.0698,6861,20260409,-42.0408,3664,20260305,18,0.5081,1.7941,2.758,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,ma20_ema23_close_reclaim,均線站回確認型,10,signal_d20_close,69572,11445,3384,4,3380,146.9586,6658,20260417,-41.8405,4971,20260529,17,0.4102,1.7294,2.4017,False,anomaly_check_pass,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,excluding_known_revenue_and_price_anomalies,True,ma20_ema23_close_reclaim,均線站回確認型,10,confirmation_d20_close,69572,11445,3118,5,3113,179.0698,6861,20260330,-42.0408,3664,20260223,18,0.4973,1.7921,2.8049,False,anomaly_check_pass,False,none
