research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,row_type,parent_model_id,model_id,model_zh,exit_policy_id,stratification_family,stratification_id,stratification_label,condition_expression,condition_role,baseline_sample_size,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,baseline_win_rate_pct,baseline_loss_rate_pct,baseline_avg_return_pct,baseline_median_return_pct,win_rate_delta_pct,loss_rate_delta_pct,avg_return_delta_pct,median_return_delta_pct,decision_hint,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,signal_shape,signal_non_consolidation,non-consolidation label,consolidation_type == non_consolidation,stratification_only_not_candidate_or_confirmation_gate,218,0,0.0,0,0,0,,,,,,,,45.87,52.75,4.0648,-1.3444,-45.87,-52.75,-4.0648,1.3444,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,tdcc,tdcc_weekly_increase_top20,TDCC weekly_increase rank <=20,tdcc_list_type == weekly_increase AND tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,218,6,2.75,3,1,2,50.0,16.67,33.33,2.8806,2.946,-8.4856,14.1813,45.87,52.75,4.0275,-1.3444,4.13,-19.42,-1.1469,4.2904,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,tdcc,tdcc_any_top20,TDCC any list rank <=20,tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,218,6,2.75,3,1,2,50.0,16.67,33.33,2.8806,2.946,-8.4856,14.1813,45.87,52.75,4.0275,-1.3444,4.13,-19.42,-1.1469,4.2904,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,technical_23ema,tech_close_gt_ema23,signal close > EMA23,hist_close > hist_ema23,stratification_only_not_candidate_or_confirmation_gate,218,218,100.0,100,3,115,45.87,1.38,52.75,4.0275,-1.3444,-15.3122,29.0875,45.87,52.75,4.0275,-1.3444,0.0,0.0,0.0,0.0,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,technical_23ema,tech_dist_ema23_0_to_15,0% <= distance to EMA23 <= 15%,0 <= dist_ema23_pct <= 15,stratification_only_not_candidate_or_confirmation_gate,218,134,61.47,54,2,78,40.3,1.49,58.21,2.022,-2.6132,-16.0564,24.0182,45.87,52.75,4.0275,-1.3444,-5.57,5.46,-2.0055,-1.2688,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,technical_23ema,tech_ret20_0_to_25,20d return 0% to 25%,0 <= hist_return_20d_pct <= 25,stratification_only_not_candidate_or_confirmation_gate,218,181,83.03,81,2,98,44.75,1.1,54.14,4.0266,-1.9211,-15.9375,31.4286,45.87,52.75,4.0275,-1.3444,-1.12,1.39,-0.0009,-0.5767,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,technical_23ema,tech_close_gt_ma20,signal close > MA20,close_gt_ma20 == True,stratification_only_not_candidate_or_confirmation_gate,218,218,100.0,100,3,115,45.87,1.38,52.75,4.0275,-1.3444,-15.3122,29.0875,45.87,52.75,4.0275,-1.3444,0.0,0.0,0.0,0.0,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,technical_ma,tech_ma20_gt_ma60,MA20 > MA60,ma20_gt_ma60 == True,stratification_only_not_candidate_or_confirmation_gate,218,168,77.06,81,2,85,48.21,1.19,50.6,4.4927,-0.388,-16.2752,29.0875,45.87,52.75,4.0275,-1.3444,2.34,-2.15,0.4652,0.9564,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,technical_ma,tech_ma60_gt_ma120,MA60 > MA120,ma60_gt_ma120 == True,stratification_only_not_candidate_or_confirmation_gate,218,123,56.42,71,2,50,57.72,1.63,40.65,6.7403,2.8758,-14.9824,33.135,45.87,52.75,4.0275,-1.3444,11.85,-12.1,2.7128,4.2202,positive_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,signal_quality,signal_volume_ratio_2_to_6,volume ratio 2..6,2 <= volume_ratio <= 6,stratification_only_not_candidate_or_confirmation_gate,218,169,77.52,81,3,85,47.93,1.78,50.3,4.3729,-0.1471,-14.6693,28.9214,45.87,52.75,4.0275,-1.3444,2.06,-2.45,0.3454,1.1973,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,signal_quality,signal_volume_ratio_gt6,volume ratio >6,volume_ratio > 6,stratification_only_not_candidate_or_confirmation_gate,218,38,17.43,12,0,26,31.58,0.0,68.42,0.2456,-4.8053,-17.6022,25.6596,45.87,52.75,4.0275,-1.3444,-14.29,15.67,-3.7819,-3.4609,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_with_23ema_close_stop,signal_shape,signal_non_consolidation,non-consolidation label,consolidation_type == non_consolidation,stratification_only_not_candidate_or_confirmation_gate,218,0,0.0,0,0,0,,,,,,,,45.87,52.75,4.0275,-1.3444,-45.87,-52.75,-4.0275,1.3444,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,tdcc,tdcc_weekly_increase_top20,TDCC weekly_increase rank <=20,tdcc_list_type == weekly_increase AND tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,324,8,2.47,6,0,2,75.0,0.0,25.0,31.6051,34.9126,-11.4796,70.4936,61.42,38.27,13.831,6.1762,13.58,-13.27,17.7741,28.7364,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,tdcc,tdcc_any_top20,TDCC any list rank <=20,tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,324,10,3.09,6,0,4,60.0,0.0,40.0,23.5013,9.4323,-13.7968,66.2839,61.42,38.27,13.831,6.1762,-1.42,1.73,9.6703,3.2561,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,technical_23ema,tech_close_gt_ema23,signal close > EMA23,hist_close > hist_ema23,stratification_only_not_candidate_or_confirmation_gate,324,324,100.0,199,1,124,61.42,0.31,38.27,13.831,6.1762,-16.5727,53.5308,61.42,38.27,13.831,6.1762,0.0,0.0,0.0,0.0,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,technical_23ema,tech_dist_ema23_0_to_15,0% <= distance to EMA23 <= 15%,0 <= dist_ema23_pct <= 15,stratification_only_not_candidate_or_confirmation_gate,324,17,5.25,14,0,3,82.35,0.0,17.65,14.6485,7.5472,-2.5091,40.5684,61.42,38.27,13.831,6.1762,20.93,-20.62,0.8175,1.371,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,technical_23ema,tech_ret20_0_to_25,20d return 0% to 25%,0 <= hist_return_20d_pct <= 25,stratification_only_not_candidate_or_confirmation_gate,324,74,22.84,49,0,25,66.22,0.0,33.78,17.615,10.7063,-11.3853,53.4832,61.42,38.27,13.831,6.1762,4.8,-4.49,3.784,4.5301,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,technical_23ema,tech_close_gt_ma20,signal close > MA20,close_gt_ma20 == True,stratification_only_not_candidate_or_confirmation_gate,324,324,100.0,199,1,124,61.42,0.31,38.27,13.831,6.1762,-16.5727,53.5308,61.42,38.27,13.831,6.1762,0.0,0.0,0.0,0.0,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,technical_ma,tech_ma20_gt_ma60,MA20 > MA60,ma20_gt_ma60 == True,stratification_only_not_candidate_or_confirmation_gate,324,306,94.44,191,1,114,62.42,0.33,37.25,14.2557,6.8213,-16.7047,53.3484,61.42,38.27,13.831,6.1762,1.0,-1.02,0.4247,0.6451,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,technical_ma,tech_ma60_gt_ma120,MA60 > MA120,ma60_gt_ma120 == True,stratification_only_not_candidate_or_confirmation_gate,324,261,80.56,168,1,92,64.37,0.38,35.25,14.7456,7.7908,-16.6667,53.8043,61.42,38.27,13.831,6.1762,2.95,-3.02,0.9146,1.6146,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,signal_quality,signal_volume_ratio_2_to_6,volume ratio 2..6,2 <= volume_ratio <= 6,stratification_only_not_candidate_or_confirmation_gate,324,254,78.4,155,1,98,61.02,0.39,38.58,13.761,6.1762,-16.5727,50.8153,61.42,38.27,13.831,6.1762,-0.4,0.31,-0.07,0.0,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,signal_quality,signal_volume_ratio_gt6,volume ratio >6,volume_ratio > 6,stratification_only_not_candidate_or_confirmation_gate,324,17,5.25,8,0,9,47.06,0.0,52.94,16.1734,-3.75,-13.2294,79.2994,61.42,38.27,13.831,6.1762,-14.36,14.67,2.3424,-9.9262,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_no_stop_reference,signal_shape,signal_non_consolidation,non-consolidation label,consolidation_type == non_consolidation,stratification_only_not_candidate_or_confirmation_gate,324,311,95.99,188,1,122,60.45,0.32,39.23,13.8095,6.078,-16.6667,53.8043,61.42,38.27,13.831,6.1762,-0.97,0.96,-0.0215,-0.0982,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_with_23ema_close_stop,tdcc,tdcc_weekly_increase_top20,TDCC weekly_increase rank <=20,tdcc_list_type == weekly_increase AND tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,324,8,2.47,6,0,2,75.0,0.0,25.0,31.6051,34.9126,-11.4796,70.4936,60.8,38.89,13.57,6.1762,14.2,-13.89,18.0351,28.7364,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_with_23ema_close_stop,tdcc,tdcc_any_top20,TDCC any list rank <=20,tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,324,10,3.09,6,0,4,60.0,0.0,40.0,23.5013,9.4323,-13.7968,66.2839,60.8,38.89,13.57,6.1762,-0.8,1.11,9.9313,3.2561,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_with_23ema_close_stop,technical_23ema,tech_close_gt_ema23,signal close > EMA23,hist_close > hist_ema23,stratification_only_not_candidate_or_confirmation_gate,324,324,100.0,197,1,126,60.8,0.31,38.89,13.57,6.1762,-16.8425,53.5308,60.8,38.89,13.57,6.1762,0.0,0.0,0.0,0.0,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_momentum_continuation,動能放量攻擊,fixed_d20_close_with_23ema_close_stop,technical_23ema,tech_dist_ema23_0_to_15,0% <= distance to EMA23 <= 15%,0 <= dist_ema23_pct <= 15,stratification_only_not_candidate_or_confirmation_gate,324,17,5.25,14,0,3,82.35,0.0,17.65,14.6485,7.5472,-2.5091,40.5684,60.8,38.89,13.57,6.1762,21.55,-21.24,1.0785,1.371,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
