date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20251204,15.9,16.0,15.85,16.0,16182472,15.88,15.6966,15.71,15.6667,15.6667,0.9464,0.6289,3.2258,1.2295,1.9332,1.846,0.0
20251205,15.95,16.05,15.95,16.05,9629820,15.92,15.726,15.73,15.682,15.682,0.3125,1.2618,2.5559,0.7649,2.0603,2.0343,0.0
20251208,16.1,16.2,16.05,16.05,10495660,15.97,15.753,15.7475,15.6962,15.6962,0.0,1.5823,2.2293,0.8399,1.8853,1.9209,-0.9259
20251209,16.0,16.1,16.0,16.1,7302083,16.01,15.7819,15.765,15.7111,15.7111,0.3115,1.2579,2.2222,0.605,2.0155,2.125,-0.6173
20251210,16.0,16.05,15.8,15.9,19285771,16.02,15.7918,15.7725,15.7179,15.7179,-1.2422,0.3155,0.9524,1.5652,0.6854,0.8084,-1.8519
20251211,15.85,15.9,15.75,15.85,12327987,15.99,15.7966,15.7775,15.7224,15.7224,-0.3145,-0.9375,0.6349,0.9924,0.338,0.4595,-2.1605
20251212,15.9,15.95,15.8,15.8,10423595,15.94,15.7969,15.7825,15.725,15.725,-0.3155,-1.5576,0.6369,0.8342,0.0197,0.1109,-2.4691
20251215,15.8,15.85,15.7,15.8,9970724,15.89,15.7972,15.79,15.7274,15.7274,0.0,-1.5576,0.9585,0.7974,0.018,0.0633,-2.4691
20251216,15.75,15.85,15.75,15.85,11295748,15.84,15.8016,15.8125,15.7312,15.7312,0.3165,-1.5528,2.9221,0.9218,0.3066,0.2372,-2.1605
20251217,15.85,16.15,15.85,16.05,20923172,15.87,15.8223,15.8475,15.7409,15.7409,1.2618,0.9434,4.5603,1.6449,1.4394,1.2778,-0.9259
20251218,16.0,16.1,15.9,16.0,12455702,15.9,15.8371,15.87,15.7485,15.7485,-0.3115,0.9464,2.8939,0.9622,1.0288,0.8192,-1.2346
20251219,15.95,16.2,15.95,16.15,20752399,15.97,15.8632,15.9025,15.76,15.76,0.9375,2.2152,4.1935,1.5593,1.8083,1.5564,-0.3086
20251222,16.25,16.35,16.2,16.3,20516253,16.07,15.8996,15.9275,15.775,15.775,0.9288,3.1646,3.1646,1.6245,2.5186,2.3387,-0.3058
20251223,16.3,16.3,16.1,16.2,9429548,16.14,15.9246,15.955,15.7865,15.7865,-0.6135,2.2082,3.5144,0.7456,1.7295,1.5356,-0.9174
20251224,16.2,16.25,16.05,16.15,10200527,16.16,15.9434,15.9775,15.7961,15.7961,-0.3086,0.6231,2.8662,0.7986,1.296,1.0796,-1.2232
20251226,16.15,16.15,16.05,16.05,13991763,16.17,15.9523,15.985,15.8026,15.8026,-0.6192,0.3125,0.9434,1.1124,0.6127,0.4066,-1.8349
20251229,16.1,16.15,16.0,16.15,10702608,16.17,15.9687,16.0,15.8112,15.8112,0.6231,0.0,1.8927,0.8503,1.1351,0.9375,-1.2232
20251230,16.15,16.15,16.0,16.1,6007996,16.13,15.9797,16.015,15.8183,15.8183,-0.3096,-1.227,1.8987,0.4833,0.753,0.5308,-1.5291
20251231,16.1,16.1,16.0,16.0,8730360,16.09,15.9814,16.02,15.8226,15.8226,-0.6211,-1.2346,0.6289,0.7082,0.1166,-0.1248,-2.1407
20260102,16.0,16.1,16.0,16.05,6221499,16.07,15.9871,16.03,15.8279,15.8279,0.3125,-0.6192,1.2618,0.5041,0.3935,0.1248,-1.8349
20260105,16.05,16.1,16.0,16.05,11364568,16.07,15.9923,16.0325,15.833,15.833,0.0,0.0,0.3125,0.9391,0.3606,0.1092,-1.8349
20260106,16.1,16.15,16.0,16.15,12931171,16.07,16.0055,16.0375,15.84,15.84,0.6231,0.0,0.6231,1.0542,0.903,0.7015,-1.2232
20260107,16.1,16.15,16.0,16.05,15300536,16.06,16.0092,16.0375,15.8446,15.8446,-0.6192,-0.3106,0.0,1.2234,0.255,0.0779,-1.8349
20260108,16.05,16.15,16.0,16.15,15713651,16.09,16.0209,16.04,15.8511,15.8511,0.6231,0.9375,0.3106,1.2155,0.8057,0.6858,-1.2232
20260109,16.15,16.2,16.05,16.15,13335116,16.11,16.0317,16.0525,15.8573,15.8573,0.0,0.6231,1.5723,1.0558,0.7381,0.6074,-1.2232
20260112,16.1,16.15,15.8,15.95,33165029,16.09,16.0249,16.0575,15.8592,15.8592,-1.2384,-0.6231,0.6309,2.4258,-0.4672,-0.6695,-2.4465
20260113,16.05,16.05,15.9,15.95,12110962,16.05,16.0186,16.065,15.861,15.861,0.0,-1.2384,0.9494,0.8804,-0.4284,-0.7158,-2.4465
20260114,16.05,16.1,15.8,15.9,30075346,16.02,16.0087,16.07,15.8618,15.8618,-0.3135,-0.9346,0.6329,2.0375,-0.6793,-1.0579,-2.7523
20260115,15.9,16.0,15.85,15.9,9900880,15.97,15.9997,16.0725,15.8625,15.8625,0.0,-1.548,0.3155,0.6739,-0.623,-1.0733,-2.7523
20260116,15.95,16.0,15.85,15.9,13255373,15.92,15.9914,16.065,15.8632,15.8632,0.0,-1.548,-0.9346,0.9264,-0.5714,-1.0271,-2.7523
20260119,15.9,16.1,15.85,15.9,21915213,15.91,15.9838,16.06,15.8639,15.8639,0.0,-0.3135,-0.625,1.4827,-0.524,-0.9963,-2.7523
20260120,15.9,15.95,15.8,15.85,17081586,15.89,15.9726,16.045,15.8636,15.8636,-0.3145,-0.627,-1.8576,1.1702,-0.7676,-1.2153,-3.0581
20260121,15.85,15.85,15.65,15.75,29823357,15.86,15.9541,16.0175,15.8616,15.8616,-0.6309,-0.9434,-3.3742,1.9799,-1.2791,-1.67,-3.6697
20260122,15.8,15.85,15.65,15.65,18636963,15.81,15.9287,15.99,15.8579,15.8579,-0.6349,-1.5723,-3.3951,1.2006,-1.7498,-2.1263,-4.2813
20260123,15.7,15.75,15.65,15.7,16192220,15.77,15.9097,15.9675,15.8552,15.8552,0.3195,-1.2579,-2.7864,1.0233,-1.3178,-1.6753,-3.9755
20260126,15.75,15.75,15.6,15.65,13219609,15.72,15.888,15.9475,15.8517,15.8517,-0.3185,-1.5723,-2.4922,0.8375,-1.4981,-1.8655,-4.2813
20260127,15.65,15.75,15.5,15.5,31020762,15.65,15.8557,15.915,15.8458,15.8458,-0.9585,-2.2082,-4.0248,1.8465,-2.2433,-2.6076,-5.1988
20260128,15.5,15.6,15.45,15.55,20417527,15.61,15.8302,15.8875,15.8483,15.841,0.3226,-1.2698,-3.4161,1.1653,-1.7701,-2.1243,-4.893
20260129,15.6,15.65,15.5,15.55,15924723,15.59,15.8069,15.865,15.8492,15.8363,0.0,-0.639,-2.8125,0.8906,-1.625,-1.9855,-4.893
