date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
20251211,25.15,25.3,25.1,25.15,59088,25.23,24.6325,24.8017,24.8017,24.8607,-0.789,1.2072,-0.9843,0.9075,2.1009,-4.5541
20251212,25.45,25.5,25.0,25.0,99784,25.21,24.6225,24.8083,24.8083,24.8724,-0.5964,-0.3984,-0.7937,1.4579,1.5332,-5.1233
20251215,24.9,25.2,24.9,25.05,74436,25.18,24.65,24.8161,24.8161,24.8872,0.2,-0.5952,2.2449,1.0728,1.6227,-4.9336
20251216,25.05,25.35,24.5,24.75,75472,25.06,24.6575,24.8141,24.8141,24.8757,-1.1976,-2.3669,0.6098,1.0623,0.3751,-6.0721
20251217,25.1,25.1,24.75,24.9,49031,24.97,24.69,24.8167,24.8167,24.8777,0.6061,-1.7751,2.6804,0.6859,0.8505,-5.5028
20251218,24.5,25.0,24.5,24.9,40600,24.92,24.73,24.8191,24.8191,24.8796,0.0,-0.994,3.3195,0.5637,0.6874,-5.5028
20251219,25.0,25.25,24.55,24.85,77126,24.89,24.7825,24.82,24.82,24.8771,-0.2008,-0.6,4.4118,1.0564,0.2724,-5.6926
20251222,24.65,24.9,24.5,24.75,68934,24.83,24.82,24.8181,24.8181,24.8665,-0.4024,-1.1976,3.125,0.9488,-0.282,-6.0721
20251223,24.75,25.35,24.75,25.2,87768,24.92,24.8775,24.8284,24.8284,24.8943,1.8182,1.8182,4.7817,1.19,1.2964,-4.3643
20251224,24.95,25.3,24.95,25.05,74536,24.95,24.9025,24.8342,24.8342,24.9073,-0.5952,0.6024,2.0367,1.0007,0.5923,-4.9336
20251226,25.3,25.3,25.0,25.05,42070,24.98,24.9325,24.8397,24.8397,24.9192,0.0,0.6024,2.454,0.5607,0.4713,-4.9336
20251229,25.1,25.2,24.65,24.95,114301,25.0,24.925,24.8425,24.8425,24.9218,-0.3992,0.4024,-0.5976,1.4886,0.1003,-5.3131
20251230,24.95,25.35,24.95,25.3,109614,25.11,24.9775,24.8537,24.8537,24.9533,1.4028,2.2222,4.3299,1.4802,1.2912,-3.9848
20251231,25.15,25.5,25.15,25.2,71698,25.11,25.0225,24.8619,24.8619,24.9738,-0.3953,0.0,3.7037,0.9455,0.7094,-4.3643
20260102,25.3,25.35,25.2,25.25,54562,25.15,25.06,24.8709,24.8709,24.9969,0.1984,0.7984,3.0612,0.7194,0.7582,-4.1746
20260105,25.25,25.4,25.2,25.2,84775,25.18,25.0775,24.8784,24.8784,25.0138,-0.198,0.5988,1.4085,1.1033,0.4885,-4.3643
20260106,25.25,26.3,25.15,25.65,306668,25.32,25.105,24.8956,24.8956,25.0668,1.7857,2.8056,2.1912,3.4915,2.1709,-2.6565
20260107,26.0,27.65,25.95,26.4,396934,25.54,25.165,24.9283,24.9283,25.1779,2.924,4.3478,4.7619,3.8623,4.9076,-4.5208
20260108,26.45,26.45,25.2,25.4,194844,25.58,25.1675,24.9383,24.9383,25.1964,-3.7879,0.7937,0.1972,1.8076,0.9238,-8.1374
20260109,25.5,25.8,25.0,25.6,52655,25.65,25.18,24.9521,24.9521,25.23,0.7874,1.3861,0.9862,0.4933,1.668,-7.4141
20260112,26.3,26.3,25.45,25.8,149111,25.77,25.2125,24.9694,24.9694,25.2775,0.7812,2.381,2.5845,1.3404,2.3302,-6.6908
20260113,25.8,25.9,25.4,25.5,107177,25.74,25.2375,24.98,24.98,25.2961,-1.1628,-0.5848,2.0,0.9602,1.0401,-7.7758
20260114,25.5,25.8,25.35,25.8,86970,25.62,25.275,24.9961,24.9961,25.3381,1.1765,-2.2727,2.994,0.7748,2.0772,-6.6908
20260115,25.9,25.95,25.6,25.8,71045,25.7,25.3275,25.0115,25.0115,25.3766,0.0,1.5748,4.2424,0.6342,1.8656,-6.6908
20260116,25.95,27.5,25.8,26.9,372106,25.96,25.4275,25.0472,25.0472,25.5035,4.2636,5.0781,8.0321,2.9031,5.791,-2.7125
20260119,27.7,28.85,27.45,28.05,521919,26.41,25.585,25.1028,25.1028,25.7157,4.2751,8.7209,12.6506,3.4282,9.6346,-2.773
20260120,28.45,28.45,27.65,28.0,242741,26.91,25.7425,25.1555,25.1555,25.9061,-0.1783,9.8039,12.6761,1.5122,8.7695,-2.9463
20260121,27.85,28.0,26.95,27.0,249576,27.15,25.855,25.1884,25.1884,25.9972,-3.5714,4.6512,9.0909,1.472,4.4285,-6.4125
20260122,27.15,27.35,26.8,26.85,187036,27.36,25.9375,25.2175,25.2175,26.0683,-0.5556,4.0698,6.5476,1.0717,3.5181,-6.9324
20260123,26.9,27.05,26.3,26.65,173911,27.31,26.0175,25.2422,25.2422,26.1168,-0.7449,-0.9294,6.3872,0.9689,2.4311,-7.6256
20260126,26.2,27.05,25.8,27.0,133832,27.1,26.115,25.272,25.272,26.1904,1.3133,-3.7433,7.7844,0.7271,3.3889,-6.4125
20260127,26.95,27.5,26.95,27.45,171176,26.99,26.24,25.3083,25.3083,26.2953,1.6667,-1.9643,10.02,0.9158,4.6113,-4.8527
20260128,28.2,30.15,28.2,30.15,773420,27.62,26.4825,25.39,25.3877,26.6166,9.8361,11.6667,19.17,3.5138,13.8488,0.0
20260129,30.75,32.75,30.45,31.8,2510378,28.61,26.8125,25.4975,25.4911,27.0485,5.4726,18.4358,26.1905,7.3394,18.6014,-2.9008
20260130,31.8,31.8,29.95,30.5,681646,29.38,27.075,25.5825,25.5706,27.3361,-4.0881,14.4465,20.7921,1.8255,12.65,-6.8702
20260202,30.2,33.55,30.0,33.55,1563283,30.69,27.4925,25.7183,25.6953,27.854,10.0,24.2593,33.1349,3.4948,22.0333,0.0
20260203,35.0,36.2,33.05,33.85,2671280,31.97,27.9025,25.8667,25.8208,28.3536,0.8942,23.3151,31.9688,4.7233,21.3153,-6.4917
20260204,33.5,33.5,31.8,32.05,859663,32.35,28.185,25.995,25.9152,28.6617,-5.3176,6.3018,21.4015,1.4603,13.713,-11.4641
20260205,31.85,33.0,30.8,32.7,526288,32.53,28.55,26.13,26.0164,28.9982,2.0281,2.8302,28.7402,0.8695,14.5359,-9.6685
20260206,33.0,33.0,31.0,31.25,427025,32.68,28.8325,26.2192,26.0934,29.1858,-4.4343,2.459,22.0703,0.6844,8.3846,-13.674
20260209,31.85,31.85,30.55,30.55,275898,32.08,29.07,26.305,26.158,29.2995,-2.24,-8.9419,18.4109,0.4377,5.0912,-15.6077
20260210,30.9,31.15,30.05,30.1,142293,31.33,29.3,26.3867,26.2143,29.3662,-1.473,-11.0783,18.0392,0.2251,2.7304,-16.8508
20260211,30.2,30.2,29.15,29.15,394419,30.75,29.4675,26.4642,26.2556,29.3482,-3.1561,-9.0484,12.9845,0.6092,-1.0775,-19.4751
20260223,29.05,29.6,28.85,29.4,286171,30.09,29.6475,26.5442,26.2993,29.3525,0.8576,-10.0917,13.9535,0.4348,-0.8348,-18.7845
20260224,29.4,31.3,29.4,30.9,265173,30.02,29.8475,26.655,26.3623,29.4815,5.102,-1.12,14.8699,0.4062,3.5263,-14.6409
20260225,31.8,31.8,29.8,30.0,274497,29.91,29.945,26.7533,26.4115,29.5247,-2.9126,-1.8003,6.9519,0.4286,0.1837,-17.1271
20260226,30.2,30.45,29.9,30.05,294288,29.9,30.0475,26.8575,26.46,29.5685,0.1667,-0.1661,7.3214,0.4576,0.0083,-16.989
20260302,30.0,30.05,29.25,29.55,222384,29.98,30.175,26.95,26.5007,29.5669,-1.6639,1.3722,9.4444,0.3466,-2.0713,-18.3702
20260303,29.5,29.95,28.2,28.85,286651,29.87,30.275,27.03,26.5312,29.5072,-2.3689,-1.8707,7.4488,0.4433,-4.7069,-20.3039
20260304,28.8,28.8,26.6,26.85,357627,29.06,30.285,27.0683,26.5353,29.2858,-6.9324,-13.1068,0.7505,0.5453,-11.3422,-25.8287
20260305,27.35,27.9,27.1,27.4,187295,28.54,30.305,27.1175,26.5462,29.1286,2.0484,-8.6667,1.4815,0.2844,-9.5859,-24.3094
20260306,27.4,27.8,26.95,27.3,136559,27.99,30.2975,27.1542,26.5556,28.9762,-0.365,-9.1514,-0.5464,0.2079,-9.8936,-24.5856
20260309,26.0,26.3,25.0,25.35,361934,27.15,30.0575,27.1725,26.5407,28.674,-7.1429,-14.2132,-15.9204,0.5689,-15.6616,-29.9724
20260310,25.5,26.35,25.5,25.8,166469,26.54,29.7575,27.1975,26.5317,28.4345,1.7751,-10.5719,-18.8679,0.3207,-13.2992,-28.7293
20260311,26.8,26.9,26.5,26.8,86821,26.53,29.5725,27.2358,26.5349,28.2983,3.876,-0.1862,-12.1311,0.1774,-9.3753,-25.9669
20260312,26.55,27.25,26.55,26.8,104892,26.41,29.235,27.2683,26.5381,28.1735,0.0,-2.1898,-20.1192,0.2519,-8.3291,-25.9669
20260313,26.15,26.7,26.15,26.4,90167,26.23,28.8625,27.29,26.5365,28.0257,-1.4925,-3.2967,-22.0089,0.3138,-8.5318,-27.0718
