# PRICE_WINDOW_135

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_049=20260112,267.5,271.0,263.5,270.0,24159085,266.0,243.8148,239.3,225.602,225.602,2.4668,2.6616,21.8962,0.8911,10.7398,12.8291,-2.1739

PRICE_WINDOW_180_ROW_050=20260113,273.5,279.5,265.0,270.5,27923161,266.7,246.0386,241.325,226.5,226.5,0.1852,1.3109,17.6087,1.0135,9.9421,12.0895,-3.22

PRICE_WINDOW_180_ROW_051=20260114,270.0,271.5,267.0,270.5,15675308,267.5,248.0771,243.775,227.3627,227.3627,0.0,1.5009,22.1219,0.5709,9.0387,10.963,-3.22

PRICE_WINDOW_180_ROW_052=20260115,271.5,271.5,263.0,267.5,19953479,268.4,249.6956,246.35,228.1346,228.1346,-1.1091,1.711,23.8426,0.7227,7.1304,8.5853,-4.2934

PRICE_WINDOW_180_ROW_053=20260116,272.0,278.5,269.0,273.5,26587387,270.4,251.6793,249.275,228.9906,228.9906,2.243,3.7951,27.2093,0.9458,8.67,9.7182,-2.1467

PRICE_WINDOW_180_ROW_054=20260119,273.5,280.0,270.0,271.5,18283023,270.7,253.3311,252.425,229.7778,229.7778,-0.7313,0.5556,30.2158,0.6496,7.172,7.5567,-3.0357

PRICE_WINDOW_180_ROW_055=20260120,272.0,277.0,265.5,274.5,17352958,271.5,255.0951,255.375,230.5909,230.5909,1.105,1.4787,27.3782,0.6104,7.6069,7.489,-1.9643

PRICE_WINDOW_180_ROW_056=20260121,271.0,278.0,266.0,267.0,17051786,270.8,256.0872,257.675,231.2411,231.2411,-2.7322,-1.2939,20.8145,0.6019,4.2614,3.6189,-4.6429

PRICE_WINDOW_180_ROW_057=20260122,272.0,277.0,272.0,274.5,19821466,272.2,257.6216,260.4,232.0,232.0,2.809,2.6168,24.7727,0.6855,6.5516,5.4147,-1.9643

PRICE_WINDOW_180_ROW_058=20260123,279.0,292.0,272.5,286.5,31111991,274.8,260.0281,263.775,232.9397,232.9397,4.3716,4.7532,30.8219,1.0378,10.1804,8.6153,-1.8836

PRICE_WINDOW_180_ROW_059=20260126,286.0,303.5,284.0,297.5,25952980,280.0,263.1508,267.5,234.0339,234.0339,3.8394,9.5764,33.4081,0.8448,13.0531,11.215,-1.9769

PRICE_WINDOW_180_ROW_060=20260127,298.0,313.5,292.5,300.0,29314304,285.1,266.2216,270.25,235.1333,235.1333,0.8403,9.2896,22.449,1.0106,12.6881,11.0083,-4.3062

PRICE_WINDOW_180_ROW_061=20260128,302.5,311.5,299.0,311.0,21393165,293.9,269.9531,273.625,236.5833,236.377,3.6667,16.4794,27.7207,0.78,15.2052,13.6592,-0.7974

PRICE_WINDOW_180_ROW_062=20260129,315.0,324.0,303.5,305.0,27049688,300.0,272.8737,276.5,238.1,237.4839,-1.9293,11.1111,23.2323,1.0563,11.7733,10.3074,-5.8642

PRICE_WINDOW_180_ROW_063=20260130,303.0,306.0,295.0,296.0,17513955,301.9,274.8009,277.925,239.3583,238.4127,-2.9508,3.3159,10.6542,0.7415,7.7144,6.5036,-8.642

PRICE_WINDOW_180_ROW_064=20260202,289.5,293.5,280.0,285.0,17191140,299.4,275.6508,279.025,240.4833,239.1406,-3.7162,-4.2017,8.365,0.7703,3.3917,2.1414,-12.037

PRICE_WINDOW_180_ROW_065=20260203,295.0,301.0,288.5,293.5,12950856,298.1,277.1382,280.35,241.8167,239.9769,2.9825,-2.1667,9.9251,0.5976,5.9038,4.6906,-9.4136

PRICE_WINDOW_180_ROW_066=20260204,293.0,297.5,287.0,297.0,12024686,295.3,278.7934,281.875,243.15,240.8409,1.1925,-4.5016,11.4447,0.5727,6.5305,5.3659,-8.3333

PRICE_WINDOW_180_ROW_067=20260205,291.0,292.0,277.5,280.5,18258783,290.4,278.9356,282.75,244.275,241.4328,-5.5556,-8.0328,6.654,0.8695,0.5608,-0.7958,-13.4259

PRICE_WINDOW_180_ROW_068=20260206,286.5,292.0,277.5,283.5,31636332,287.9,279.316,283.75,245.4917,242.0515,1.0695,-4.223,7.5901,1.4673,1.498,-0.0881,-12.5

PRICE_WINDOW_180_ROW_069=20260209,297.0,301.5,291.5,291.5,20671710,289.2,280.3313,284.825,246.7583,242.7681,2.8219,2.2807,7.963,0.9666,3.9841,2.3435,-10.0309

PRICE_WINDOW_180_ROW_070=20260210,298.5,308.0,297.0,302.0,25947331,290.9,282.137,286.4,248.3167,243.6143,3.6021,2.8961,11.6451,1.2189,7.0402,5.4469,-6.7901

PRICE_WINDOW_180_ROW_071=20260211,309.0,318.0,301.0,313.5,22935692,294.2,284.7506,288.55,249.9833,244.5986,3.8079,5.5556,15.8965,1.0594,10.0963,8.6467,-3.2407

PRICE_WINDOW_180_ROW_072=20260223,322.5,331.5,313.0,316.5,27444010,301.4,287.3964,291.0,251.9583,245.5972,0.9569,12.8342,18.3178,1.2461,10.1266,8.7629,-4.5249

PRICE_WINDOW_180_ROW_073=20260224,317.0,329.5,315.0,326.0,19845357,309.9,290.6134,293.625,254.1167,246.6986,3.0016,14.9912,19.1956,0.9151,12.1765,11.026,-1.6591

PRICE_WINDOW_180_ROW_074=20260225,333.0,333.0,318.0,320.0,18500913,315.6,293.0622,296.05,255.925,247.6892,-1.8405,9.777,17.8637,0.8526,9.1918,8.0898,-3.9039

PRICE_WINDOW_180_ROW_075=20260226,318.5,329.5,317.0,327.0,18744498,320.6,295.8904,298.675,257.9667,248.7467,2.1875,8.2781,19.1257,0.8611,10.5139,9.4836,-1.8018

PRICE_WINDOW_180_ROW_076=20260302,313.5,322.0,308.0,316.0,13136560,321.1,297.5662,301.125,259.8417,249.6316,-3.3639,0.7974,18.3521,0.609,6.1949,4.9398,-5.1051

PRICE_WINDOW_180_ROW_077=20260303,315.5,321.5,305.0,305.0,12226251,318.8,298.1857,302.65,261.5083,250.3506,-3.481,-3.6335,11.1111,0.5769,2.2853,0.7765,-8.4084

PRICE_WINDOW_180_ROW_078=20260304,291.5,296.5,276.0,278.0,21866760,309.2,296.5035,302.225,262.6083,250.7051,-8.8525,-14.7239,-2.9668,1.0548,-6.2406,-8.0156,-16.5165

PRICE_WINDOW_180_ROW_079=20260305,295.0,304.5,290.5,295.0,16564064,304.2,296.3782,302.1,263.825,251.2658,6.1151,-7.8125,-0.8403,0.8175,-0.465,-2.3502,-11.4114

PRICE_WINDOW_180_ROW_080=20260306,291.0,293.5,283.5,284.5,14259457,295.7,295.3884,301.325,264.75,251.6812,-3.5593,-12.9969,-5.1667,0.731,-3.6861,-5.5837,-14.5646

PRICE_WINDOW_180_ROW_081=20260309,256.5,275.0,256.5,272.0,27843335,286.9,293.4394,299.375,265.6583,251.9321,-4.3937,-13.9241,-12.5402,1.4041,-7.3062,-9.1441,-18.3183

PRICE_WINDOW_180_ROW_082=20260310,291.0,299.0,287.0,293.0,25917202,284.5,293.4027,298.775,266.7667,252.4329,7.7206,-3.9344,-3.9344,1.3107,-0.1373,-1.9329,-12.012

PRICE_WINDOW_180_ROW_083=20260311,301.0,307.0,297.0,306.0,23535036,290.1,294.4525,299.275,268.1,253.0783,4.4369,10.0719,3.3784,1.1724,3.9217,2.2471,-8.1081

PRICE_WINDOW_180_ROW_084=20260312,304.5,307.0,297.0,300.0,17050804,291.1,294.9148,300.025,269.425,253.6369,-1.9608,1.6949,5.2632,0.8497,1.7243,-0.0083,-9.9099

PRICE_WINDOW_180_ROW_085=20260313,293.5,302.0,291.0,295.5,12594274,293.3,294.9636,300.125,270.6583,254.1294,-1.5,3.8664,0.6814,0.6281,0.1819,-1.541,-11.2613

PRICE_WINDOW_180_ROW_086=20260316,298.0,303.0,288.0,288.0,15037067,296.5,294.3833,299.675,271.6583,254.5233,-2.5381,5.8824,-3.0303,0.7444,-2.1684,-3.8959,-13.5135

PRICE_WINDOW_180_ROW_087=20260317,293.0,296.0,290.0,294.0,10911277,296.7,294.3513,300.35,272.75,254.977,2.0833,0.3413,4.8128,0.5501,-0.1194,-2.1142,-11.7117

PRICE_WINDOW_180_ROW_088=20260318,302.0,323.0,302.0,323.0,35571257,300.1,296.7387,302.325,274.3167,255.75,9.8639,5.5556,13.933,1.7759,8.85,6.8387,-3.003

PRICE_WINDOW_180_ROW_089=20260319,320.5,328.0,315.0,316.0,23917130,303.3,298.3438,303.55,275.8917,256.427,-2.1672,5.3333,8.4048,1.1845,5.9181,4.1015,-5.1051

PRICE_WINDOW_180_ROW_090=20260320,318.0,318.0,298.5,308.0,48134842,305.8,299.1485,303.85,277.1917,257.0,-2.5316,4.2301,1.9868,2.2597,2.9589,1.3658,-7.5075

PRICE_WINDOW_180_ROW_091=20260323,297.5,301.5,284.0,286.0,23004822,305.4,298.0528,302.475,278.2667,257.3187,-7.1429,-0.6944,-8.7719,1.0798,-4.0438,-5.4467,-14.1141

PRICE_WINDOW_180_ROW_092=20260324,296.0,296.5,278.0,278.5,16302561,302.3,296.4234,300.575,279.3083,257.5489,-2.6224,-5.2721,-12.0063,0.7857,-6.0466,-7.3443,-16.3664

PRICE_WINDOW_180_ROW_093=20260325,286.0,291.0,284.0,288.5,14622121,295.4,295.7631,298.7,280.5333,257.8817,3.5907,-10.6811,-11.5031,0.7137,-2.4557,-3.4148,-13.3634

PRICE_WINDOW_180_ROW_094=20260326,291.0,298.5,288.0,288.0,15867718,289.8,295.1162,297.1,281.8583,258.2021,-0.1733,-8.8608,-10.0,0.7795,-2.4113,-3.0629,-13.5135

PRICE_WINDOW_180_ROW_095=20260327,280.5,284.0,274.0,278.5,18800589,283.9,293.7315,294.675,282.9083,258.4158,-3.2986,-9.5779,-14.8318,0.9235,-5.1855,-5.4891,-16.3664

PRICE_WINDOW_180_ROW_096=20260330,270.5,273.0,262.5,272.0,17223335,281.1,291.9205,292.475,283.7583,258.5573,-2.3339,-4.8951,-13.9241,0.8376,-6.824,-7.0006,-18.3183

PRICE_WINDOW_180_ROW_097=20260331,269.0,273.0,260.5,261.0,20207522,277.6,289.3438,290.275,284.4417,258.5825,-4.0441,-6.2837,-14.4262,0.964,-9.7959,-10.0853,-21.6216

PRICE_WINDOW_180_ROW_098=20260401,277.0,283.5,273.5,280.5,20066612,276.0,288.6069,290.4,285.4667,258.8061,7.4713,-2.773,0.8993,0.9614,-2.809,-3.4091,-15.7658

PRICE_WINDOW_180_ROW_099=20260402,284.0,284.0,255.5,259.0,28958269,270.2,286.1396,288.6,286.0667,258.8081,-7.6649,-10.0694,-12.2034,1.3474,-9.4847,-10.2564,-22.2222

PRICE_WINDOW_180_ROW_100=20260407,268.0,270.0,263.0,268.0,13484280,268.1,284.628,287.775,286.45,258.9,3.4749,-3.7702,-5.7996,0.6286,-5.842,-6.8717,-19.5195

PRICE_WINDOW_180_ROW_101=20260408,281.0,286.5,275.0,280.0,16308372,269.7,284.2423,288.175,287.0583,259.1089,4.4776,2.9412,2.9412,0.7812,-1.4925,-2.8368,-15.9159

PRICE_WINDOW_180_ROW_102=20260409,281.5,282.0,273.0,275.0,16986670,272.5,283.4721,287.275,287.5167,259.2647,-1.7857,5.364,-6.1433,0.8315,-2.9887,-4.2729,-17.4174

PRICE_WINDOW_180_ROW_103=20260410,280.0,282.5,273.5,277.5,12317884,271.9,282.9744,285.85,287.6833,259.4417,0.9091,-1.0695,-9.3137,0.62,-1.9346,-2.9211,-16.6667

PRICE_WINDOW_180_ROW_104=20260413,281.0,301.5,274.0,295.0,39987329,279.1,283.9766,285.6,288.2167,259.7837,6.3063,13.8996,-1.6667,1.9028,3.8818,3.2913,-11.4114

PRICE_WINDOW_180_ROW_105=20260414,308.0,308.0,291.0,301.0,33693374,285.7,285.3952,285.875,288.7833,260.1762,2.0339,12.3134,1.8613,1.5266,5.4678,5.2908,-9.6096

PRICE_WINDOW_180_ROW_106=20260415,303.0,304.0,290.0,291.0,28983839,287.9,285.8623,286.025,289.1917,260.467,-3.3223,3.9286,1.0417,1.273,1.7973,1.7394,-12.6126

PRICE_WINDOW_180_ROW_107=20260416,293.0,295.0,281.5,283.5,24883282,289.6,285.6654,285.5,289.5333,260.6822,-2.5773,3.0909,-3.5714,1.0604,-0.758,-0.7005,-14.8649

PRICE_WINDOW_180_ROW_108=20260417,283.5,284.5,274.0,275.0,27061832,289.1,284.7766,283.1,289.725,260.8148,-2.9982,-0.9009,-14.8607,1.1745,-3.4331,-2.8612,-17.4174

