# PRICE_WINDOW_136

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_061=20260128,1515.0,1565.0,1490.0,1505.0,1788107,1479.0,1390.25,1316.75,1318.2787,1396.5628,0.3333,13.1579,16.6667,1.1888,8.2539,-3.8339

PRICE_WINDOW_180_ROW_062=20260129,1515.0,1515.0,1445.0,1460.0,1154957,1479.0,1398.5,1317.75,1320.5645,1401.8492,-2.99,0.0,12.7413,0.7481,4.3976,-6.7093

PRICE_WINDOW_180_ROW_063=20260130,1450.0,1470.0,1405.0,1430.0,1404066,1475.0,1405.25,1318.6667,1322.3016,1404.1951,-2.0548,-1.3793,10.4247,0.8845,1.7613,-8.6262

PRICE_WINDOW_180_ROW_064=20260202,1420.0,1510.0,1415.0,1460.0,2072193,1471.0,1414.75,1319.9167,1324.4531,1408.8455,2.0979,-1.3514,14.9606,1.2497,3.1984,-6.7093

PRICE_WINDOW_180_ROW_065=20260203,1605.0,1605.0,1580.0,1605.0,4001851,1492.0,1431.0,1324.25,1328.7692,1425.1917,9.9315,7.0,25.3906,2.1988,12.1593,0.0

PRICE_WINDOW_180_ROW_066=20260204,1615.0,1695.0,1585.0,1670.0,3943569,1525.0,1447.25,1329.0,1333.9394,1445.5924,4.0498,10.9635,24.1636,2.0319,15.3913,-1.4749

PRICE_WINDOW_180_ROW_067=20260205,1615.0,1635.0,1560.0,1570.0,2333952,1547.0,1455.5,1333.5833,1337.4627,1455.9597,-5.988,7.5342,11.7438,1.2493,7.8667,-7.3746

PRICE_WINDOW_180_ROW_068=20260206,1570.0,1605.0,1540.0,1595.0,1759545,1580.0,1464.75,1339.3333,1341.25,1467.5464,1.5924,11.5385,13.1206,0.9712,8.8923,-5.8997

PRICE_WINDOW_180_ROW_069=20260209,1660.0,1675.0,1565.0,1610.0,2862848,1610.0,1473.75,1345.4167,1345.1449,1479.4175,0.9404,10.274,12.5874,1.52,9.2451,-5.0147

PRICE_WINDOW_180_ROW_070=20260210,1630.0,1655.0,1595.0,1625.0,1719845,1614.0,1487.0,1352.1667,1349.1429,1491.5494,0.9317,1.2461,19.4853,0.9058,9.2804,-4.1298

PRICE_WINDOW_180_ROW_071=20260211,1635.0,1655.0,1610.0,1645.0,1451099,1609.0,1499.75,1359.4167,1353.3099,1504.337,1.2308,-1.497,18.3453,0.7523,9.6849,-2.9499

PRICE_WINDOW_180_ROW_072=20260223,1670.0,1670.0,1580.0,1625.0,1732563,1620.0,1512.25,1366.8333,1357.0833,1514.3922,-1.2158,3.5032,18.1818,0.8738,7.4558,-4.1298

PRICE_WINDOW_180_ROW_073=20260224,1635.0,1660.0,1610.0,1635.0,830246,1628.0,1525.5,1374.5833,1360.8904,1524.4429,0.6154,2.5078,19.3431,0.42,7.178,-3.5398

PRICE_WINDOW_180_ROW_074=20260225,1660.0,1795.0,1635.0,1795.0,2920613,1665.0,1543.75,1384.3333,1366.7568,1546.9893,9.7859,11.4907,25.5245,1.434,16.2753,0.0

PRICE_WINDOW_180_ROW_075=20260226,1760.0,1880.0,1745.0,1775.0,2982019,1695.0,1561.25,1394.6667,1372.2,1565.9902,-1.1142,9.2308,24.5614,1.3881,13.691,-5.5851

