evidence_id,evidence_version,analysis_family,group_id,return_basis,sample_count,positive_count,positive_rate_pct,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,comparator_sample_count,comparator_avg_return_pct,comparator_median_return_pct,avg_difference_pct_points,median_difference_pct_points,group_count,coverage_count,coverage_total,status,notes
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,entry_market_regime,mild_bull,gross_d2_open_to_d30_close,11,9,81.8182,8.1572,5.2740,-11.5497,42.5532,,,,,,,,,gross_observed,entry-date point-in-time index regime classification
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,entry_market_regime,mild_bull,stock_gross_minus_same_market_same_dates_index_open_to_close,11,4,36.3636,-3.4233,-8.0170,-24.8407,21.6178,,,,,,,,,relative_edge_negative,entry-date point-in-time index regime classification
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,entry_market_regime,strong_bull,gross_d2_open_to_d30_close,31,24,77.4194,18.0435,12.9326,-14.5963,82.5095,,,,,,,,,gross_observed,entry-date point-in-time index regime classification
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,entry_market_regime,strong_bull,stock_gross_minus_same_market_same_dates_index_open_to_close,31,19,61.2903,7.2989,4.9823,-31.7418,64.9151,,,,,,,,,relative_edge_positive,entry-date point-in-time index regime classification
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,market_coverage,TPEX,gross_d2_open_to_d30_close,1,1,100.0000,41.1215,41.1215,41.1215,41.1215,,,,,,,,,observed_market_coverage,market comes from the stock price row on the exact entry date
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,market_coverage,TWSE,gross_d2_open_to_d30_close,52,40,76.9231,14.3906,9.3692,-19.6694,82.5095,,,,,,,,,observed_market_coverage,market comes from the stock price row on the exact entry date
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,transaction_cost,declared_cost_slippage_0bp_each_side,net_d2_open_to_d30_close_after_declared_costs,53,40,75.4717,14.2238,8.7685,-20.1387,81.4433,,,,,,,,,net_positive_declared_grid,commission 0.1425% each side is a conservative declared assumption; sell tax 0.3%; minimum fee and position-size impact are not modeled
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,transaction_cost,declared_cost_slippage_10bp_each_side,net_d2_open_to_d30_close_after_declared_costs,53,40,75.4717,13.9956,8.5512,-20.2982,81.0808,,,,,,,,,net_positive_declared_grid,commission 0.1425% each side is a conservative declared assumption; sell tax 0.3%; minimum fee and position-size impact are not modeled
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,transaction_cost,declared_cost_slippage_25bp_each_side,net_d2_open_to_d30_close_after_declared_costs,53,39,73.5849,13.6541,8.2261,-20.5370,80.5384,,,,,,,,,net_positive_declared_grid,commission 0.1425% each side is a conservative declared assumption; sell tax 0.3%; minimum fee and position-size impact are not modeled
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,same_date_source_low_control_sensitivity,20251103|20251105|20251216,gross_mid_vs_source_low_same_trigger_entry_exit_dates,1,1,100.0000,1.5873,1.5873,1.5873,1.5873,1,58.9286,58.9286,-57.3413,-57.3413,,,,sensitivity_sparse_not_independent,challenger variant comparison; retained extremes; not a promotion hard gate
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,same_date_source_low_control_sensitivity,20251204|20251208|20260120,gross_mid_vs_source_low_same_trigger_entry_exit_dates,2,1,50.0000,-3.1378,-3.1378,-11.5497,5.2740,1,-3.9474,-3.9474,0.8096,0.8096,,,,sensitivity_sparse_not_independent,challenger variant comparison; retained extremes; not a promotion hard gate
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,same_date_source_low_control_sensitivity,20251209|20251211|20260123,gross_mid_vs_source_low_same_trigger_entry_exit_dates,1,1,100.0000,2.9412,2.9412,2.9412,2.9412,3,19.1142,23.7603,-16.1730,-20.8191,,,,sensitivity_sparse_not_independent,challenger variant comparison; retained extremes; not a promotion hard gate
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,same_date_source_low_control_sensitivity,20260319|20260323|20260506,gross_mid_vs_source_low_same_trigger_entry_exit_dates,1,1,100.0000,23.2759,23.2759,23.2759,23.2759,1,7.9585,7.9585,15.3174,15.3174,,,,sensitivity_sparse_not_independent,challenger variant comparison; retained extremes; not a promotion hard gate
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,same_date_source_low_control_sensitivity,20260413|20260415|20260527,gross_mid_vs_source_low_same_trigger_entry_exit_dates,2,1,50.0000,-0.3616,-0.3616,-10.0539,9.3306,3,71.8328,86.9654,-72.1944,-87.3270,,,,sensitivity_sparse_not_independent,challenger variant comparison; retained extremes; not a promotion hard gate
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,same_date_source_low_control_sensitivity,20260415|20260417|20260529,gross_mid_vs_source_low_same_trigger_entry_exit_dates,2,1,50.0000,22.5602,22.5602,-6.3540,51.4745,1,0.1560,0.1560,22.4042,22.4042,,,,sensitivity_sparse_not_independent,challenger variant comparison; retained extremes; not a promotion hard gate
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,same_date_source_low_control_sensitivity,20260526|20260528|20260709,gross_mid_vs_source_low_same_trigger_entry_exit_dates,1,1,100.0000,17.3554,17.3554,17.3554,17.3554,1,3.7402,3.7402,13.6152,13.6152,,,,sensitivity_sparse_not_independent,challenger variant comparison; retained extremes; not a promotion hard gate
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,same_date_source_low_control_sensitivity_summary,equal_weight_date_group_difference,treated_group_avg_minus_comparator_group_avg,10,4,57.1429,,,,,11,,,-13.3660,0.8096,7,10,53,sensitivity_sparse_not_independent,only exact shared trigger/entry/exit date groups; no nearest-date matching
