as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260206,1805,11,"200,001-400,000",22,6133550,4.54
20260206,1805,12,"400,001-600,000",12,6032660,4.46
20260206,1805,13,"600,001-800,000",3,2131000,1.57
20260206,1805,14,"800,001-1,000,000",3,2789948,2.06
20260206,1805,15,"1,000,001以上",21,93125461,68.99
20260206,1805,16,合　計,9595,134970455,100.0
20260213,1805,1,1-999,6804,852649,0.63
20260213,1805,2,"1,000-5,000",1960,3734368,2.76
20260213,1805,3,"5,001-10,000",275,2143762,1.58
20260213,1805,4,"10,001-15,000",120,1552934,1.15
20260213,1805,5,"15,001-20,000",71,1271206,0.94
20260213,1805,6,"20,001-30,000",99,2527511,1.87
20260213,1805,7,"30,001-40,000",55,1959474,1.45
20260213,1805,8,"40,001-50,000",26,1199607,0.88
20260213,1805,9,"50,001-100,000",69,5073525,3.75
20260213,1805,10,"100,001-200,000",31,4404800,3.26
20260213,1805,11,"200,001-400,000",22,6139550,4.54
20260213,1805,12,"400,001-600,000",12,6052660,4.48
20260213,1805,13,"600,001-800,000",3,2131000,1.57
20260213,1805,14,"800,001-1,000,000",3,2799948,2.07
20260213,1805,15,"1,000,001以上",21,93127461,68.99
20260213,1805,16,合　計,9571,134970455,100.0
20260226,1805,1,1-999,6796,850579,0.63
20260226,1805,2,"1,000-5,000",1952,3725252,2.76
20260226,1805,3,"5,001-10,000",277,2156262,1.59
20260226,1805,4,"10,001-15,000",119,1541934,1.14
20260226,1805,5,"15,001-20,000",67,1198206,0.88
20260226,1805,6,"20,001-30,000",101,2582284,1.91
20260226,1805,7,"30,001-40,000",56,1999419,1.48
20260226,1805,8,"40,001-50,000",26,1199607,0.88
20260226,1805,9,"50,001-100,000",70,5187028,3.84
20260226,1805,10,"100,001-200,000",29,4099265,3.03
20260226,1805,11,"200,001-400,000",23,6345550,4.7
20260226,1805,12,"400,001-600,000",12,6062660,4.49
20260226,1805,13,"600,001-800,000",3,2131000,1.57
20260226,1805,14,"800,001-1,000,000",3,2799948,2.07
20260226,1805,15,"1,000,001以上",21,93091461,68.97
20260226,1805,16,合　計,9555,134970455,100.0
20260306,1805,1,1-999,6791,848681,0.62
20260306,1805,2,"1,000-5,000",1937,3689754,2.73
20260306,1805,3,"5,001-10,000",276,2141747,1.58
20260306,1805,4,"10,001-15,000",124,1603798,1.18
20260306,1805,5,"15,001-20,000",67,1200438,0.88
20260306,1805,6,"20,001-30,000",98,2500050,1.85
20260306,1805,7,"30,001-40,000",54,1929410,1.42
20260306,1805,8,"40,001-50,000",27,1236045,0.91
20260306,1805,9,"50,001-100,000",71,5235493,3.87
20260306,1805,10,"100,001-200,000",29,4078420,3.02
20260306,1805,11,"200,001-400,000",23,6353550,4.7
20260306,1805,12,"400,001-600,000",12,6107660,4.52
20260306,1805,13,"600,001-800,000",3,2131000,1.57
20260306,1805,14,"800,001-1,000,000",3,2799948,2.07
20260306,1805,15,"1,000,001以上",21,93114461,68.98
20260306,1805,16,合　計,9536,134970455,100.0
20260313,1805,1,1-999,6790,848230,0.62
20260313,1805,2,"1,000-5,000",1925,3670906,2.71
20260313,1805,3,"5,001-10,000",279,2155145,1.59
20260313,1805,4,"10,001-15,000",131,1693863,1.25
20260313,1805,5,"15,001-20,000",66,1178046,0.87
20260313,1805,6,"20,001-30,000",99,2533223,1.87
20260313,1805,7,"30,001-40,000",49,1757410,1.3
