rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,abm_score,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,risk_label,risk_bucket,interpretation
31,4207,環泰,other,single_name_signal,high,255.00,9,True,True,tdcc_price_divergence,watch_only,80.00,-1.20,4.58,-2.38,0.22,0.60,10.00,279.39,10.00,28.00,0.00,-0.61,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
32,6578,達邦蛋白,biotechnology,mainstream_leader,high,255.00,9,True,True,tdcc_leading_price,quiet_accumulation,87.00,-2.44,9.09,0.09,-0.85,0.31,10.00,126.49,10.00,14.00,0.00,0.49,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
33,9105,泰金寶-DR,other,single_name_signal,high,255.00,9,True,True,tdcc_price_divergence,quiet_accumulation,78.00,-0.83,2.83,-4.16,-0.04,0.63,10.00,279.39,10.00,28.00,0.00,-0.61,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
34,1219,福壽,other,single_name_signal,high,255.00,12,False,True,insufficient_price_context,quiet_accumulation,70.00,,,,,,10.00,279.39,10.00,28.00,0.00,-0.61,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
35,2102,泰豐,traditional industries,mainstream_leader,high,245.00,8,True,True,tdcc_price_divergence,quiet_accumulation,86.00,-1.85,-4.13,-1.67,-1.12,0.55,10.00,389.02,10.00,43.00,0.00,1.02,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
36,2357,華碩,semiconductor equipment/materials,non_mainstream_watch,medium,245.00,8,True,True,tdcc_price_divergence,strong_momentum,70.00,4.78,19.14,-4.25,7.95,0.46,10.00,14.04,10.00,2.00,0.00,1.04,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
37,2542,興富發,traditional industries,mainstream_leader,high,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,95.00,-3.69,6.82,0.60,1.61,0.69,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
38,2603,長榮,traditional industries,mainstream_leader,high,245.00,8,True,True,insufficient_price_context,watch_only,77.00,-7.95,13.48,4.57,2.66,0.48,10.00,389.02,10.00,43.00,0.00,1.02,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
39,2615,萬海,traditional industries,mainstream_leader,high,245.00,8,True,True,price_leading_tdcc,overheated,3.00,-10.44,31.64,21.93,11.13,0.57,10.00,389.02,10.00,43.00,0.00,1.02,late_or_chasing_risk,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
40,3285,微端,semiconductor,mainstream_leader,high,245.00,8,True,True,price_leading_tdcc,early_breakout,88.00,11.68,11.23,11.06,8.68,1.20,10.00,49.85,10.00,7.00,0.00,0.85,late_or_chasing_risk,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
