signal_date,stock_id,stock_name,category,category_cn,theme_name,theme_final_status,theme_structural_status,theme_mainstream_label,report_line_memberships,mainstream_report_eligible,non_mainstream_report_eligible,dual_report_membership_flag,report_line_membership_note,candidate_source_type,candidate_line,candidate_line_group,two_line_overlap_flag,presentation_priority,model_score,tdcc_status,warrant_flow_signal,volume_ratio,return_20d,repeat_appear_label,downgrade_flags,why_selected,why_downgraded,next_confirmation,theme_leadership_note
20260713,3680,家登,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,,1.33,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,3707,漢磊,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,,1.28,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,4147,中裕,pattern,型態觀察,生技醫療業,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,,1.09,,repeated_but_no_breakout,,,,,mainstream_leader；型態觀察
20260713,5471,松翰,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,call_strong_inflow,1.38,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,6196,帆宣,pattern,型態觀察,其他電子業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,no_signal,0.84,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,6414,樺漢,pattern,型態觀察,電腦及週邊設備業,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,no_signal,1.04,,repeated_but_no_breakout,,,,,mainstream_follow_through；型態觀察
20260713,6517,保勝光學,pattern,型態觀察,光電業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,,0.61,,first_seen,,,,,mainstream_overheated；型態觀察
20260713,6589,台康生技,pattern,型態觀察,生技醫療業,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,,1.13,,repeated_but_no_breakout,,,,,mainstream_leader；型態觀察
20260713,7799,禾榮科,pattern,型態觀察,生技醫療業,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,,1.18,,repeated_but_no_breakout,,,,,mainstream_leader；型態觀察
20260713,8016,矽創,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,no_signal,0.99,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,8091,翔名,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,,1.03,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,9914,美利達,pattern,型態觀察,運動休閒,emerging_theme,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,54.0,,no_signal,0.68,,stale_signal,,,,,emerging_theme；型態觀察
20260713,1313,聯成,pattern,型態觀察,塑膠工業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,53.0,,no_signal,0.49,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,1909,榮成,pattern,型態觀察,造紙工業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,53.0,,,0.74,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,2881,富邦金,pattern,型態觀察,TWSE,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,53.0,,no_signal,0.67,,stale_signal,,,,,mainstream_follow_through；型態觀察
20260713,2885,元大金,pattern,型態觀察,TWSE,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,53.0,,no_signal,0.67,,stale_signal,,,,,mainstream_follow_through；型態觀察
20260713,3317,尼克森,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,53.0,,,0.51,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,3413,京鼎,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,53.0,,no_signal,0.7,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,6259,百徽,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,53.0,,,0.52,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,6509,聚和,pattern,型態觀察,化學工業,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,53.0,,,0.67,,stale_signal,,,,,mainstream_leader；型態觀察
20260713,6727,亞泰金屬,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,51.0,,,1.0,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,9958,世紀鋼,pattern,型態觀察,鋼鐵工業,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,51.0,,no_signal,0.51,,stale_signal,,,,,mainstream_follow_through；型態觀察
20260713,3450,聯鈞,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,48.0,,no_signal,0.18,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,5011,久陽,pattern,型態觀察,鋼鐵工業,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,48.0,,,0.62,,stale_signal,,,,,mainstream_follow_through；型態觀察
20260713,5285,界霖,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,48.0,,no_signal,0.39,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,1308,亞聚,pattern,型態觀察,塑膠工業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,46.0,,no_signal,0.6,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,2103,台橡,pattern,型態觀察,橡膠工業,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,46.0,,no_signal,0.42,,stale_signal,,,,,mainstream_follow_through；型態觀察
20260713,6526,達發,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,46.0,,call_strong_inflow,1.29,,first_seen,,,,,mainstream_overheated；型態觀察
20260713,6129,普誠,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,45.0,,,0.63,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,6133,金橋,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,45.0,,,0.44,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,3015,全漢,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,43.0,,no_signal,0.36,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,3035,智原,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,43.0,,no_signal,0.48,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,3290,東浦,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,43.0,,,0.94,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,5302,太欣,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,43.0,,,0.57,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,2342,茂矽,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,40.0,,,0.77,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,2610,華航,pattern,型態觀察,航運業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,40.0,,call_inflow,0.57,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,5347,世界,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,40.0,,,0.85,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,1409,新纖,pattern,型態觀察,紡織纖維,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,no_signal,0.69,,stale_signal,,,,,mainstream_follow_through；型態觀察
20260713,1563,巧新,pattern,型態觀察,汽車工業,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.76,,stale_signal,,,,,mainstream_leader；型態觀察
20260713,1714,和桐,pattern,型態觀察,化學工業,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,call_inflow,1.06,,repeated_but_no_breakout,,,,,mainstream_leader；型態觀察
20260713,2303,聯電,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,no_signal,0.29,,stale_signal,,,,,mainstream_overheated；型態觀察
