entry_basis,target_window,target_return_pct,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,median_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,median_signal_close_to_next_open_gap_pct,selected_unique_stocks,hit_unique_stocks,coverage_of_all_hits_pct,base_hit_rate_pct
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,197156,46285,23.48,3.85,0.36,0.11,1968,1676,88.42,23.84
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,141332,33760,23.89,3.87,0.36,0.1,1966,1636,64.5,23.84
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1,1.0,98452,24641,25.03,4.05,0.38,0.11,1963,1570,47.07,23.84
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,64577,17454,27.03,4.33,0.42,0.13,1963,1472,33.34,23.84
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,33632,10207,30.35,5.0,0.49,0.17,1938,1230,19.5,23.84
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=2,2.0,12771,4282,33.53,5.71,0.58,0.21,1566,858,8.18,23.84
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=3,3.0,1506,504,33.47,6.05,0.58,0.16,427,204,0.96,23.84
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=5,5.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,23.84
D+1_open,D+20,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.5,0.5,165411,58175,35.17,5.88,0.4,0.13,1967,1704,74.98,35.34
D+1_open,D+20,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.8,0.8,111237,39601,35.6,5.92,0.45,0.14,1967,1684,51.04,35.34
D+1_open,D+20,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1,1.0,83643,30297,36.22,6.03,0.48,0.16,1966,1667,39.05,35.34
D+1_open,D+20,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.2,1.2,63394,23461,37.01,6.19,0.52,0.17,1965,1640,30.24,35.34
D+1_open,D+20,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.5,1.5,43739,16857,38.54,6.59,0.58,0.19,1964,1594,21.73,35.34
D+1_open,D+20,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=2,2.0,26162,10566,40.39,7.07,0.67,0.24,1963,1491,13.62,35.34
D+1_open,D+20,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=3,3.0,12258,5231,42.67,7.69,0.8,0.3,1896,1230,6.74,35.34
D+1_open,D+20,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=5,5.0,4706,2038,43.31,7.97,0.84,0.3,1485,836,2.63,35.34
D+1_open,D+20,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,194560,68029,34.97,5.88,0.36,0.11,1967,1714,87.68,35.34
