abm_rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,abm_score,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,accumulation_label,tracking_priority,trigger_to_watch,interpretation
11,1438,三地開發,traditional industries,mainstream_leader,high,76.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,-4.56,-7.10,1.00,-5.56,0.74,10.00,194.41,10.00,45.00,0.00,3.41,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
12,4961,天鈺,other electronics,mainstream_leader,high,75.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,-12.50,-10.72,1.48,-9.52,0.92,10.00,167.13,10.00,30.00,0.00,0.13,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
13,2065,世豐,traditional industries,mainstream_leader,high,73.00,195.00,3,True,True,tdcc_leading_price,watch_only,-2.77,-8.93,2.25,-3.72,0.94,10.00,194.41,10.00,45.00,0.00,3.41,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
14,1313,聯成,traditional industries,mainstream_leader,high,73.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,-2.40,8.93,2.56,-2.61,0.52,10.00,194.41,10.00,45.00,0.00,3.41,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
15,2373,震旦行,other electronics,mainstream_leader,high,73.00,165.00,3,False,True,tdcc_leading_price,quiet_accumulation,0.74,-6.22,2.98,-3.48,0.85,10.00,167.13,10.00,30.00,0.00,0.13,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
16,1414,東和,traditional industries,mainstream_leader,high,72.00,195.00,3,True,True,tdcc_leading_price,watch_only,-5.67,5.17,2.80,-1.29,1.62,10.00,194.41,10.00,45.00,0.00,3.41,watch_pre_move,C_weak_or_discounted,站回 MA20；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
17,2643,捷迅,traditional industries,mainstream_leader,high,69.00,165.00,3,False,True,tdcc_leading_price,quiet_accumulation,-3.28,-11.68,1.55,-5.95,0.96,10.00,194.41,10.00,45.00,0.00,3.41,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
18,5222,全訊,other electronics,mainstream_leader,high,69.00,155.00,2,False,True,tdcc_leading_price,quiet_accumulation,-6.50,0.88,2.21,-6.08,0.94,10.00,167.13,10.00,30.00,0.00,0.13,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
19,6756,威鋒電子,other electronics,mainstream_leader,high,65.00,185.00,2,True,True,tdcc_leading_price,watch_only,-8.12,-7.47,1.71,-8.01,1.14,10.00,167.13,10.00,30.00,0.00,0.13,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
20,2390,云辰,other electronics,mainstream_leader,high,63.00,205.00,4,True,True,tdcc_leading_price,watch_only,-13.18,-8.94,1.66,-8.74,0.83,10.00,167.13,10.00,30.00,0.00,0.13,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
21,6220,岳豐,other electronics,mainstream_leader,high,63.00,205.00,4,True,True,tdcc_leading_price,watch_only,-5.95,-11.73,0.80,-10.90,0.97,10.00,167.13,10.00,30.00,0.00,0.13,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
22,2486,一詮,consumer electronics,non_mainstream_watch,medium,67.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,-9.07,-6.36,1.43,-5.42,1.04,10.00,12.51,10.00,2.00,0.00,-0.49,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強；等待第二檔 / 第三檔同族群股票同步轉強,籌碼持續改善，但股價尚未明顯反應。
23,4129,聯合,other,single_name_signal,high,71.00,205.00,4,True,True,tdcc_leading_price,watch_only,-1.19,0.22,1.51,-0.94,1.56,10.00,143.30,10.00,26.00,0.00,2.30,watch_pre_move,C_weak_or_discounted,站回 MA20；避免爆量長上影；等待第二檔 / 第三檔同族群股票同步轉強,籌碼持續改善，但股價尚未明顯反應。
24,4568,科際精密,other,single_name_signal,high,63.00,205.00,4,True,True,tdcc_leading_price,watch_only,-3.74,-4.78,0.61,-3.26,0.95,10.00,143.30,10.00,26.00,0.00,2.30,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強；等待第二檔 / 第三檔同族群股票同步轉強,籌碼持續改善，但股價尚未明顯反應。
25,6840,東研信超,other,single_name_signal,high,61.00,185.00,2,True,True,tdcc_leading_price,watch_only,-7.73,-6.74,2.13,-4.62,1.33,10.00,143.30,10.00,26.00,0.00,2.30,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強；等待第二檔 / 第三檔同族群股票同步轉強,籌碼持續改善，但股價尚未明顯反應。
26,4766,南寶,other,single_name_signal,high,60.00,195.00,3,True,True,tdcc_leading_price,watch_only,-2.21,-9.78,0.81,-5.05,0.72,10.00,143.30,10.00,26.00,0.00,2.30,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強；等待第二檔 / 第三檔同族群股票同步轉強,籌碼持續改善，但股價尚未明顯反應。
27,6472,保瑞,finance,mainstream_overheated,medium,61.00,195.00,3,True,True,tdcc_leading_price,watch_only,-7.04,-4.00,0.38,-6.75,1.15,10.00,64.45,10.00,17.00,0.00,6.45,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
