review_priority,taxonomy_review_status,stock_id,stock_name,industry,category,decision_priority,decision_score,risk_handling_bucket,effective_primary_theme,effective_secondary_themes,effective_structural_theme_bucket,effective_theme_structural_status,effective_theme_mainstream_label,effective_taxonomy_source,effective_confidence,volume_ratio,return_5d,return_20d,why_selected,downgrade_flags,effective_notes
1,industry_core_needs_market_theme,2332,友訊,通信網路業,range_rebound,C_watch_only,73.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_supported,,,2.54,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=2.54；距前高=-1.23%；20日漲幅=15.52%；TDCC=mild_accumulation；權證=no_signal,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,1582,信錦,電子零組件業,range_rebound,C_watch_only,72.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.87,,,區間內轉強 / 挑戰前高觀察；分類分數=69；量比=1.87；距前高=-7.72%；20日漲幅=20.74%；TDCC=mild_accumulation；權證=call_strong_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6206,飛捷,電腦及週邊設備業,revenue_pullback,C_watch_only,71.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.92,,,營收成長股價回檔；分類分數=55；量比=0.92；距前高=-5.14%；20日漲幅=24.77%；TDCC=strong_accumulation；權證=call_inflow,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3356,奇偶,光電業,revenue_pullback,C_watch_only,70.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.6,,,營收成長股價回檔；分類分數=55；量比=1.60；距前高=-8.28%；20日漲幅=14.39%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3060,銘異,電腦及週邊設備業,pattern,C_watch_only,69.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.6,,,型態觀察；型態=platform_right_side；分類分數=54；量比=1.60；距前高=-21.05%；20日漲幅=3.05%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2425,承啟,電腦及週邊設備業,pattern,C_watch_only,69.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.54,,,型態觀察；型態=platform_right_side；分類分數=54；量比=1.54；距前高=-6.49%；20日漲幅=12.16%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3591,艾笛森,光電業,pattern,C_watch_only,69.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.91,,,型態觀察；型態=early_entry_watch；分類分數=54；量比=0.91；距前高=-12.88%；20日漲幅=11.09%；TDCC=strong_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,8213,志超,電子零組件業,pattern,C_watch_only,69.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.87,,,型態觀察；型態=early_entry_watch；分類分數=54；量比=0.87；距前高=-11.19%；20日漲幅=6.43%；TDCC=strong_accumulation；權證=no_signal,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2438,翔耀,光電業,true_breakout,C_watch_only,69.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,5.08,,,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=124；量比=5.08；距前高=9.88%；20日漲幅=21.93%；TDCC=mild_accumulation,continued_overheated|catalyst_overheated|price_reaction_overheated|distance_ma20_gt_20|short_term_volume_overheat|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3030,德律,其他電子業,revenue_pullback,C_watch_only,69.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.64,,,營收成長股價回檔；分類分數=70；量比=1.64；距前高=-10.60%；20日漲幅=8.63%；TDCC=mild_accumulation；權證=call_strong_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,5309,系統電,電子零組件業,pattern,C_watch_only,67.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=114；TDCC=strong_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6104,創惟,半導體業,pattern,C_watch_only,67.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=116；TDCC=strong_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6226,光鼎,光電業,pattern,C_watch_only,66.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.31,,,型態觀察；型態=platform_right_side；分類分數=54；量比=1.31；距前高=-18.94%；20日漲幅=3.98%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2342,茂矽,半導體業,pattern,C_watch_only,66.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.16,,,型態觀察；型態=platform_right_side；分類分數=54；量比=1.16；距前高=-10.64%；20日漲幅=17.45%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6202,盛群,半導體業,pattern,C_watch_only,66.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.0,,,型態觀察；型態=platform_right_side；分類分數=54；量比=1.00；距前高=-10.05%；20日漲幅=6.49%；TDCC=mild_accumulation；權證=call_inflow,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6438,迅得,其他電子業,revenue_pullback,C_watch_only,66.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.76,,,營收成長股價回檔；分類分數=55；量比=1.76；距前高=-9.59%；20日漲幅=-1.41%；TDCC=mild_accumulation；權證=call_strong_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2347,聯強,電子通路業,revenue_pullback,C_watch_only,66.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.2,,,營收成長股價回檔；分類分數=70；量比=1.20；距前高=-2.06%；20日漲幅=4.90%；TDCC=mild_accumulation；權證=call_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3028,增你強,電子通路業,revenue_pullback,C_watch_only,66.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.63,,,營收成長股價回檔；分類分數=70；量比=0.63；距前高=-8.04%；20日漲幅=17.00%；TDCC=mild_accumulation；權證=call_inflow,stale_signal|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3406,玉晶光,光電業,pattern,C_watch_only,66.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=112；TDCC=mild_accumulation；權證=call_inflow,stale_signal|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6209,今國光,光電業,pattern,C_watch_only,66.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=104；TDCC=mild_accumulation；權證=call_inflow,stale_signal|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3356,奇偶,光電業,pattern,C_watch_only,65.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.6,,,型態觀察；型態=platform_right_side；分類分數=54；量比=1.60；距前高=-8.28%；20日漲幅=14.39%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3031,佰鴻,光電業,pattern,C_watch_only,65.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.06,,,型態觀察；型態=early_entry_watch；分類分數=54；量比=1.06；距前高=-11.33%；20日漲幅=-0.79%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6206,飛捷,電腦及週邊設備業,pattern,C_watch_only,65.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.92,,,型態觀察；型態=early_entry_watch；分類分數=54；量比=0.92；距前高=-5.14%；20日漲幅=24.77%；TDCC=strong_accumulation；權證=call_inflow,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6116,彩晶,光電業,true_breakout,C_watch_only,65.2,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,2.27,,,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=81；量比=2.27；距前高=4.71%；20日漲幅=88.03%；TDCC=strong_accumulation；權證=call_put_bullish,continued_overheated|catalyst_overheated|price_reaction_overheated|return_20d_gt_30|distance_ma20_gt_20|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3588,通嘉,半導體業,pattern,C_watch_only,65.2,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.44,,,型態觀察；型態=early_entry_watch；分類分數=51；量比=1.44；距前高=-13.83%；20日漲幅=0.98%；TDCC=strong_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6438,迅得,其他電子業,pullback_rebound,C_watch_only,65.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.76,,,回檔後短線轉強；分類分數=55；量比=1.76；距前高=-9.59%；20日漲幅=-1.41%；TDCC=mild_accumulation；權證=call_strong_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2426,鼎元,光電業,range_rebound,C_watch_only,64.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,2.43,,,區間內轉強 / 挑戰前高觀察；分類分數=69；量比=2.43；距前高=-8.90%；20日漲幅=28.41%；TDCC=strong_accumulation,price_reaction_priced_in|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3518,柏騰,其他電子業,pattern,C_watch_only,64.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.04,,,型態觀察；型態=pullback_right_side；分類分數=54；量比=1.04；距前高=-13.63%；20日漲幅=0.73%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,7769,鴻勁,半導體業,range_rebound,C_watch_only,64.6,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.63,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=68；量比=1.63；距前高=-4.29%；20日漲幅=43.12%；TDCC=mild_accumulation；權證=call_strong_inflow,catalyst_overheated|price_reaction_overheated|return_20d_gt_30|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,8162,微矽電子-創,半導體業,true_breakout,C_watch_only,63.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.87,,,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=74；量比=1.87；距前高=1.32%；20日漲幅=51.57%；TDCC=mild_accumulation,continued_overheated|catalyst_overheated|price_reaction_overheated|return_20d_gt_30|distance_ma20_gt_20|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,4949,有成精密,光電業,revenue_pullback,C_watch_only,63.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.92,,,營收成長股價回檔；分類分數=74；量比=0.92；距前高=-15.11%；20日漲幅=-9.05%；TDCC=mild_accumulation,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6573,虹揚-KY,半導體業,true_breakout,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,5.16,,,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=129；量比=5.16；距前高=1.71%；20日漲幅=14.67%；TDCC=distribution_warning,tdcc_distribution_warning|catalyst_overheated|price_reaction_overheated|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2406,國碩,光電業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.22,,,營收成長股價回檔；分類分數=70；量比=1.22；距前高=-14.83%；20日漲幅=1.99%；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2467,志聖,電子零組件業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.94,,,營收成長股價回檔；分類分數=70；量比=0.94；距前高=-10.84%；20日漲幅=6.38%；TDCC=mild_accumulation；權證=no_signal,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,4934,太極,光電業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.74,,,營收成長股價回檔；分類分數=70；量比=0.74；距前高=-18.75%；20日漲幅=5.30%；TDCC=mild_accumulation,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3702,大聯大,電子通路業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.71,,,營收成長股價回檔；分類分數=55；量比=0.71；距前高=-4.71%；20日漲幅=16.27%；TDCC=mild_accumulation；權證=call_strong_inflow,stale_signal|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2363,矽統,半導體業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.64,,,營收成長股價回檔；分類分數=70；量比=0.64；距前高=-10.14%；20日漲幅=18.93%；TDCC=mild_accumulation；權證=no_signal,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6426,統新,通信網路業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_supported,,,0.51,,,營收成長股價回檔；分類分數=70；量比=0.51；距前高=-11.39%；20日漲幅=16.82%；TDCC=mild_accumulation,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2465,麗臺,電腦及週邊設備業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.5,,,營收成長股價回檔；分類分數=70；量比=0.50；距前高=-12.69%；20日漲幅=0.61%；TDCC=mild_accumulation,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3406,玉晶光,光電業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.46,,,營收成長股價回檔；分類分數=55；量比=0.46；距前高=-5.92%；20日漲幅=5.93%；TDCC=mild_accumulation；權證=call_inflow,stale_signal|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,8021,尖點,其他電子業,revenue_pullback,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.2,,,營收成長股價回檔；分類分數=70；量比=0.20；距前高=-15.90%；20日漲幅=-1.65%；TDCC=mild_accumulation,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3066,李洲,光電業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=110；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3550,聯穎,電子零組件業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=接近突破型；分類分數=110；TDCC=mild_accumulation,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,4749,新應材,半導體業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=120；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,4931,新盛力,電腦及週邊設備業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=100；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,4976,佳凌,光電業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=116；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,5452,佶優,其他電子業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=預備發動型；分類分數=116；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,5471,松翰,半導體業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=112；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6126,信音,電子零組件業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=110；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6411,晶焱,半導體業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=114；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6451,訊芯-KY,半導體業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=預備發動型；分類分數=108；TDCC=mild_accumulation；權證=no_signal,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6462,神盾,半導體業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=104；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,8249,菱光,電子零組件業,pattern,C_watch_only,63.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=116；TDCC=mild_accumulation；權證=no_signal,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6830,汎銓,其他電子業,revenue_pullback,C_watch_only,62.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.87,,,營收成長股價回檔；分類分數=69；量比=0.87；距前高=-31.40%；20日漲幅=-25.84%；TDCC=mild_accumulation；權證=no_signal,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2363,矽統,半導體業,pattern,C_watch_only,62.2,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=96；TDCC=mild_accumulation；權證=no_signal,stale_signal|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3217,優群,電子零組件業,pattern,C_watch_only,62.2,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=已突破但未過熱；分類分數=96；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2352,佳世達,電腦及週邊設備業,pattern,C_watch_only,61.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.92,,,型態觀察；型態=early_entry_watch；分類分數=54；量比=0.92；距前高=-5.63%；20日漲幅=13.32%；TDCC=strong_accumulation；權證=call_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2385,群光,電子零組件業,pattern,C_watch_only,61.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,0.85,,,型態觀察；型態=early_entry_watch；分類分數=54；量比=0.85；距前高=-4.35%；20日漲幅=3.53%；TDCC=strong_accumulation；權證=call_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3390,旭軟,電子零組件業,pattern,C_watch_only,61.4,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=接近突破型；分類分數=92；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3030,德律,其他電子業,pattern,C_watch_only,60.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.64,,,型態觀察；型態=early_entry_watch；分類分數=54；量比=1.64；距前高=-10.60%；20日漲幅=8.63%；TDCC=mild_accumulation；權證=call_strong_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3059,華晶科,光電業,pattern,C_watch_only,60.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.55,,,型態觀察；型態=early_entry_watch；分類分數=54；量比=1.55；距前高=-7.62%；20日漲幅=1.95%；TDCC=mild_accumulation；權證=call_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,5371,中光電,光電業,pattern,C_watch_only,60.2,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,,,,型態觀察；型態=預備發動型；分類分數=86；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2476,鉅祥,電子零組件業,revenue_pullback,C_watch_only,60.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.46,,,營收成長股價回檔；分類分數=55；量比=1.46；距前高=-9.63%；20日漲幅=7.02%；TDCC=mild_accumulation；權證=no_signal,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3003,健和興,電子零組件業,revenue_pullback,C_watch_only,60.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.28,,,營收成長股價回檔；分類分數=55；量比=1.28；距前高=-6.75%；20日漲幅=12.07%；TDCC=mild_accumulation,repeated_but_no_breakout|stale_no_warrant_no_breakout|non_ai_non_mainstream_cap,
