model_id,model_name_zh,event_filter_id,event_filter_zh,model_hit_status,pattern_id,pattern_name_zh,entry_rule_zh,stop_loss_rule_zh,hold_rule_zh,exit_rule_zh,sample_size,unique_stocks,win_rate,avg_return,median_return,max_drawdown,avg_holding_days,profit_factor,in_sample_size,in_sample_win_rate,in_sample_avg_return,out_of_sample_size,out_of_sample_win_rate,out_of_sample_avg_return,best_for_market_regime,risk_notes_zh,confidence_status,approved_for_daily,out_of_sample_pass,generated_at,data_start_date,data_end_date,out_of_sample_start_date
volume_range_breakout,底部放量攻擊模型,current_model_hit_all,現行放量攻擊模型全部命中,current_model_hit,next_open_hold_5d,隔日開盤買固定5日,訊號隔日開盤買進。,無固定停損；僅統計歷史持有表現。,固定持有5個交易日。,第5個持有交易日收盤出場。,4596,1261,41.45,0.0753,-1.7925,-36.7391,5.0,1.0176,2539,40.65,-0.0046,2057,42.44,0.174,mild_bull,正式模型命中樣本，可作為 operation pattern 的基準宇宙。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,current_model_hit_all,現行放量攻擊模型全部命中,current_model_hit,chase_day1_signal_low_stop_5d,漲停後第1天追價,訊號後第1個交易日開盤追價。,跌破訊號K低點停損。,最多持有5個交易日。,觸及停損或第5個持有交易日收盤出場。,4596,1261,33.16,-0.0092,-2.6178,-26.1603,3.71,0.9975,2539,34.54,-0.0054,2057,31.45,-0.014,mild_bull,正式模型命中樣本，可作為 operation pattern 的基準宇宙。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,current_model_hit_all,現行放量攻擊模型全部命中,current_model_hit,chase_day3_signal_low_stop_5d,漲停後第3天追價,訊號後第3個交易日開盤追價。,跌破訊號K低點停損。,最多持有5個交易日。,觸及停損或第5個持有交易日收盤出場。,4571,1258,29.16,-0.1641,-0.4768,-30.999,3.46,0.9449,2539,30.96,0.0854,2032,26.92,-0.4759,mild_bull,正式模型命中樣本，可作為 operation pattern 的基準宇宙。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,current_model_hit_all,現行放量攻擊模型全部命中,current_model_hit,chase_day2_signal_low_stop_5d,漲停後第2天追價,訊號後第2個交易日開盤追價。,跌破訊號K低點停損。,最多持有5個交易日。,觸及停損或第5個持有交易日收盤出場。,4586,1259,30.44,-0.2727,-1.3618,-28.5714,3.55,0.9176,2539,32.18,-0.0783,2047,28.29,-0.5138,correction,正式模型命中樣本，可作為 operation pattern 的基準宇宙。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,current_model_hit_all,現行放量攻擊模型全部命中,current_model_hit,next_open_tp10_signal_low_stop_20d,隔日開盤買10%停利訊號低點停損,訊號隔日開盤買進。,跌破訊號K低點停損。,最多持有20個交易日。,盤中觸及10%停利、觸及停損，或第20個持有交易日收盤出場。,4316,1224,38.9,-0.3005,-2.7554,-90.5777,5.12,0.9263,2539,38.32,-0.2407,1777,39.73,-0.3859,correction,正式模型命中樣本，可作為 operation pattern 的基準宇宙。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,current_model_hit_all,現行放量攻擊模型全部命中,current_model_hit,next_open_tp5_signal_low_stop_10d,隔日開盤買5%停利訊號低點停損,訊號隔日開盤買進。,跌破訊號K低點停損。,最多持有10個交易日。,盤中觸及5%停利、觸及停損，或第10個持有交易日收盤出場。,4499,1248,50.14,-0.5901,0.2933,-90.5777,2.94,0.8072,2539,50.37,-0.417,1960,49.85,-0.8144,mild_bull,正式模型命中樣本，可作為 operation pattern 的基準宇宙。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,1511,769,53.81,4.6371,1.2528,-89.805,10.0,2.5314,725,46.9,2.3779,786,60.18,6.721,correction,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,high,False,True,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_hold_20d,隔日開盤買固定20日,訊號隔日開盤買進。,無固定停損；僅統計歷史持有表現。,固定持有20個交易日。,第20個持有交易日收盤出場。,2420,931,46.07,4.4581,-1.8135,-91.7928,20.0,1.6728,1258,43.56,3.0173,1162,48.8,6.0179,correction,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,high,False,True,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,signal_close_hold_5d,當日收盤買固定5日,訊號日收盤價買進。,無固定停損；僅統計歷史持有表現。,固定持有至 D+5 收盤。,D+5 收盤出場。,2606,976,51.61,3.4921,0.5831,-37.4194,5.0,1.951,1258,50.87,2.8032,1348,52.3,4.135,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,high,False,True,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,pullback_5ma_hold_10d,回測5MA買固定10日,訊號後5個交易日內第一次回測5MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,2206,922,49.91,3.4344,0.0,-91.3518,10.0,1.9164,1121,48.62,2.3828,1085,51.24,4.5209,correction,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,high,False,True,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_day_break_signal_high_hold_10d,隔日突破訊號高點買,隔日盤中突破訊號K高點才買進；若隔日開盤已跳空越過高點，以開盤價估算。,無固定停損；僅統計觸發後表現。,觸發後固定持有10個交易日。,第10個持有交易日收盤出場。,2343,918,43.79,1.9053,-1.7199,-90.5777,10.0,1.352,1163,42.73,1.4803,1180,44.83,2.3241,correction,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_hold_10d,隔日開盤買固定10日,訊號隔日開盤買進。,無固定停損；僅統計歷史持有表現。,固定持有10個交易日。,第10個持有交易日收盤出場。,2533,957,43.74,1.8742,-1.8248,-90.5777,10.0,1.3508,1258,42.77,1.53,1275,44.71,2.2137,correction,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_large_black_exit_10d,隔日開盤買大量黑K出場,訊號隔日開盤買進。,出現大量黑K時以當日收盤出場。,最多持有10個交易日。,大量黑K收盤或第10個持有交易日收盤出場。,2533,957,37.78,1.0895,-3.1301,-47.7462,6.12,1.2386,1258,37.76,0.8765,1275,37.8,1.2995,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_10ma_trailing_20d,隔日開盤買沿10MA續抱,訊號隔日開盤買進。,收盤跌破10MA出場。,最多持有20個交易日，未跌破則續抱至上限。,跌破10MA收盤或第20個持有交易日收盤出場。,2420,931,34.79,0.7254,-4.5354,-90.5777,8.75,1.1218,1258,34.82,0.8231,1162,34.77,0.6197,correction,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_signal_low_stop_10d,隔日開盤買跌破訊號K低點停損,訊號隔日開盤買進。,跌破訊號K低點停損；若跳空跌破，以開盤價估算。,最多持有10個交易日。,觸及停損或第10個持有交易日收盤出場。,2533,957,31.39,0.6321,-4.3902,-90.5777,6.37,1.1269,1258,33.7,0.8112,1275,29.1,0.4554,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_5pct_stop_10d,隔日開盤買固定5%停損,訊號隔日開盤買進。,自進場價下跌5%停損；若跳空跌破，以開盤價估算。,最多持有10個交易日。,觸及停損或第10個持有交易日收盤出場。,2533,957,22.98,0.6205,-5.0,-18.1818,4.45,1.1585,1258,25.83,0.9148,1275,20.16,0.3302,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,chase_day1_signal_low_stop_5d,漲停後第1天追價,訊號後第1個交易日開盤追價。,跌破訊號K低點停損。,最多持有5個交易日。,觸及停損或第5個持有交易日收盤出場。,2606,976,34.04,0.1828,-2.8215,-26.1603,3.75,1.0437,1258,35.06,0.018,1348,33.09,0.3367,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_hold_5d,隔日開盤買固定5日,訊號隔日開盤買進。,無固定停損；僅統計歷史持有表現。,固定持有5個交易日。,第5個持有交易日收盤出場。,2606,976,41.67,0.078,-2.1755,-36.7391,5.0,1.0157,1258,39.83,-0.0878,1348,43.4,0.2327,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_5ma_trailing_20d,隔日開盤買沿5MA續抱,訊號隔日開盤買進。,收盤跌破5MA出場。,最多持有20個交易日，未跌破則續抱至上限。,跌破5MA收盤或第20個持有交易日收盤出場。,2420,931,34.26,-0.1266,-3.4851,-26.2609,4.73,0.9731,1258,34.1,-0.0773,1162,34.42,-0.1799,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_tp10_signal_low_stop_20d,隔日開盤買10%停利訊號低點停損,訊號隔日開盤買進。,跌破訊號K低點停損。,最多持有20個交易日。,盤中觸及10%停利、觸及停損，或第20個持有交易日收盤出場。,2420,931,42.52,-0.3901,-2.0791,-90.5777,4.94,0.9143,1258,43.4,-0.2411,1162,41.57,-0.5513,correction,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,chase_day3_signal_low_stop_5d,漲停後第3天追價,訊號後第3個交易日開盤追價。,跌破訊號K低點停損。,最多持有5個交易日。,觸及停損或第5個持有交易日收盤出場。,2588,972,29.21,-0.391,-0.565,-30.999,3.55,0.8884,1258,32.11,0.1371,1330,26.47,-0.8906,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,chase_day2_signal_low_stop_5d,漲停後第2天追價,訊號後第2個交易日開盤追價。,跌破訊號K低點停損。,最多持有5個交易日。,觸及停損或第5個持有交易日收盤出場。,2598,974,31.1,-0.4553,-1.5753,-28.5714,3.63,0.8828,1258,33.62,-0.2257,1340,28.73,-0.6709,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,current_model_hit,next_open_tp5_signal_low_stop_10d,隔日開盤買5%停利訊號低點停損,訊號隔日開盤買進。,跌破訊號K低點停損。,最多持有10個交易日。,盤中觸及5%停利、觸及停損，或第10個持有交易日收盤出場。,2533,957,54.95,-0.5481,5.0,-90.5777,2.71,0.8327,1258,55.96,-0.4176,1275,53.96,-0.6769,mild_bull,檢驗漲停後第1/2/3天追價與停損風險。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,pullback_5ma_hold_10d,回測5MA買固定10日,訊號後5個交易日內第一次回測5MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,130,119,50.77,2.5194,0.1259,-15.5556,10.0,2.2532,73,45.21,2.6069,57,57.89,2.4073,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,True,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,next_open_hold_20d,隔日開盤買固定20日,訊號隔日開盤買進。,無固定停損；僅統計歷史持有表現。,固定持有20個交易日。,第20個持有交易日收盤出場。,140,128,42.14,1.5659,-2.0309,-22.3164,20.0,1.383,80,43.75,1.0998,60,40.0,2.1873,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,signal_close_hold_5d,當日收盤買固定5日,訊號日收盤價買進。,無固定停損；僅統計歷史持有表現。,固定持有至 D+5 收盤。,D+5 收盤出場。,142,130,42.25,1.2813,-1.099,-15.572,5.0,1.5222,80,46.25,1.4677,62,37.1,1.0409,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,medium,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,98,92,58.16,2.1053,1.3956,-11.9374,10.0,2.451,53,45.28,1.0778,45,73.33,3.3154,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,chase_day2_signal_low_stop_5d,漲停後第2天追價,訊號後第2個交易日開盤追價。,跌破訊號K低點停損。,最多持有5個交易日。,觸及停損或第5個持有交易日收盤出場。,142,130,35.92,-0.0172,-0.12,-15.0198,3.63,0.992,80,38.75,0.5447,62,32.26,-0.7423,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,next_open_hold_5d,隔日開盤買固定5日,訊號隔日開盤買進。,無固定停損；僅統計歷史持有表現。,固定持有5個交易日。,第5個持有交易日收盤出場。,142,130,39.44,-0.2271,-1.4021,-19.3503,5.0,0.9254,80,43.75,-0.0022,62,33.87,-0.5172,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,chase_day3_signal_low_stop_5d,漲停後第3天追價,訊號後第3個交易日開盤追價。,跌破訊號K低點停損。,最多持有5個交易日。,觸及停損或第5個持有交易日收盤出場。,142,130,30.28,-0.2401,-0.5639,-15.5894,3.64,0.89,80,33.75,0.2416,62,25.81,-0.8616,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,next_open_tp10_signal_low_stop_20d,隔日開盤買10%停利訊號低點停損,訊號隔日開盤買進。,跌破訊號K低點停損。,最多持有20個交易日。,盤中觸及10%停利、觸及停損，或第20個持有交易日收盤出場。,140,128,34.29,-0.6078,-2.5717,-16.8498,6.63,0.835,80,38.75,0.1458,60,28.33,-1.6126,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,next_open_large_black_exit_10d,隔日開盤買大量黑K出場,訊號隔日開盤買進。,出現大量黑K時以當日收盤出場。,最多持有10個交易日。,大量黑K收盤或第10個持有交易日收盤出場。,142,130,35.92,-0.6179,-2.9486,-16.8498,6.94,0.8259,80,42.5,0.6366,62,27.42,-2.2366,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
volume_range_breakout,底部放量攻擊模型,long_base_low_position,長盤整加低位階突破,current_model_hit,next_open_10ma_trailing_20d,隔日開盤買沿10MA續抱,訊號隔日開盤買進。,收盤跌破10MA出場。,最多持有20個交易日，未跌破則續抱至上限。,跌破10MA收盤或第20個持有交易日收盤出場。,140,128,27.86,-0.621,-3.0739,-19.2308,8.13,0.8431,80,31.25,0.5153,60,23.33,-2.136,strong_bull,檢驗長盤整、60日相對低位階是否優於單純突破。 同日同時觸及停利與停損時，採保守順序先檢查停損。,low,False,False,2026-07-05 04:45:41 Asia/Taipei,20250507,20260626,20260226
