rule_name,rule_family,source_type,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,top_theme_status_counts,sample_status
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+6,D+1_open,10.0,1296,403,31.1,1.12,273,158,5.75,8.9,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+6,D+1_open,10.0,648,201,31.02,0.56,187,79,4.79,8.86,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+6,D+1_open,10.0,1817,540,29.72,1.5,276,167,5.66,8.71,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+6,D+1_open,10.0,631,185,29.32,0.51,170,89,5.61,8.93,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+6,D+1_open,10.0,813,232,28.54,0.65,229,95,4.55,8.19,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+6,D+1_open,10.0,317,79,24.92,0.22,92,37,3.91,7.39,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+6,D+1_open,10.0,14368,3446,23.98,9.59,1708,862,4.05,7.33,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+6,D+1_open,10.0,12170,2895,23.79,8.06,1663,783,4.0,7.24,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+6,D+1_open,10.0,634,106,16.72,0.3,98,31,2.97,5.56,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,7,0,0.0,0.0,2,0,3.18,2.34,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,141,62,43.97,0.15,48,24,7.84,10.42,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+7,D+1_open,10.0,127,53,41.73,0.13,48,23,7.5,9.58,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,173,70,40.46,0.17,58,28,6.96,9.87,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,173,70,40.46,0.17,58,28,6.96,9.87,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,186,74,39.78,0.18,63,30,6.68,9.69,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+7,D+1_open,10.0,153,59,38.56,0.14,58,26,6.3,9.19,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+7,D+1_open,10.0,406,152,37.44,0.37,140,72,7.48,10.32,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,39,14,35.9,0.03,23,10,6.96,9.46,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+7,D+1_open,10.0,1719,603,35.08,1.48,291,187,6.75,10.24,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+7,D+1_open,10.0,1296,451,34.8,1.11,273,164,6.29,9.77,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+7,D+1_open,10.0,2984,1030,34.52,2.53,317,229,6.45,9.94,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,60,20,33.33,0.05,28,12,6.42,8.94,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+7,D+1_open,10.0,631,209,33.12,0.51,170,96,6.29,9.98,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+7,D+1_open,10.0,648,214,33.02,0.53,187,81,5.01,9.76,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+7,D+1_open,10.0,1817,591,32.53,1.45,276,175,6.27,9.61,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+7,D+1_open,10.0,813,250,30.75,0.61,229,98,4.91,9.03,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+7,D+1_open,10.0,14368,3811,26.52,9.35,1708,905,4.41,8.07,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+7,D+1_open,10.0,12170,3212,26.39,7.88,1663,833,4.36,7.98,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+7,D+1_open,10.0,317,82,25.87,0.2,92,37,4.31,7.95,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+7,D+1_open,10.0,634,122,19.24,0.3,98,36,3.24,6.15,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,7,0,0.0,0.0,2,0,3.18,2.52,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+8,D+1_open,10.0,141,67,47.52,0.15,48,26,9.22,11.42,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+8,D+1_open,10.0,127,58,45.67,0.13,48,25,8.51,10.54,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+8,D+1_open,10.0,173,77,44.51,0.17,58,30,8.4,11.08,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+8,D+1_open,10.0,173,77,44.51,0.17,58,30,8.4,11.08,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+8,D+1_open,10.0,186,81,43.55,0.18,63,32,7.97,10.83,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+8,D+1_open,10.0,153,66,43.14,0.15,58,28,7.91,10.4,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+8,D+1_open,10.0,406,170,41.87,0.38,140,80,8.14,11.31,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+8,D+1_open,10.0,1719,668,38.86,1.48,291,196,7.34,11.21,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+8,D+1_open,10.0,39,15,38.46,0.03,23,11,8.54,10.76,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+8,D+1_open,10.0,60,23,38.33,0.05,28,13,8.21,10.51,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+8,D+1_open,10.0,1296,491,37.89,1.09,273,172,6.94,10.63,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+8,D+1_open,10.0,2984,1127,37.77,2.5,317,238,7.0,10.85,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+8,D+1_open,10.0,631,234,37.08,0.52,170,102,6.82,10.97,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+8,D+1_open,10.0,1817,651,35.83,1.44,276,186,6.81,10.47,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+8,D+1_open,10.0,648,230,35.49,0.51,187,87,5.45,10.67,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+8,D+1_open,10.0,813,272,33.46,0.6,229,104,5.28,9.91,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+8,D+1_open,10.0,14368,4160,28.95,9.23,1708,934,4.78,8.8,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+8,D+1_open,10.0,12170,3504,28.79,7.78,1663,862,4.72,8.71,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+8,D+1_open,10.0,317,86,27.13,0.19,92,40,4.4,8.55,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+8,D+1_open,10.0,634,133,20.98,0.3,98,38,3.46,6.62,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+8,D+1_open,10.0,7,0,0.0,0.0,2,0,3.18,2.52,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+9,D+1_open,10.0,141,72,51.06,0.15,48,28,10.29,12.44,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
