model_id,operation_asof_date,stock_id,stock_name,report_line,signal_date,entry_date,operation_lifecycle_state,audit_status,included_in_daily_adapter,exit_date,exit_reason,stop_loss_price,left_low_date,right_low_date,neckline_price,reason,adapter_source,generated_at
w_bottom_right_side,20260706,9941,裕融,non_mainstream,20260623,20260624,active_operation,candidate_evaluated,True,,,71.8,20260304,20260527,80.5,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1808,潤隆,non_mainstream,20260624,20260625,active_operation,candidate_evaluated,True,,,28.05,20260505,20260528,31,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2317,鴻海,mainstream,20260624,,w_structure_low_close_stop,lifecycle_suppressed,False,20260702,w_structure_low_close_stop,239.5,20260520,20260611,314,w_structure_low_close_stop,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,4162,智擎,non_mainstream,20260624,20260625,active_operation,candidate_evaluated,True,,,53,20260427,20260608,59.2,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,8104,錸寶,mainstream,20260624,20260625,active_operation,candidate_evaluated,True,,,32.95,20260429,20260518,36.55,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,9941,裕融,non_mainstream,20260624,20260625,active_operation,candidate_evaluated,True,,,71.8,20260304,20260527,80.5,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,9958,世紀鋼,non_mainstream,20260624,20260625,active_operation,candidate_evaluated,True,,,100.5,20260414,20260525,114.5,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1216,統一,non_mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,69.1,20260324,20260527,76.7,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1609,大亞,mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,31.4,20260330,20260518,37.15,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1904,正隆,non_mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,17.2,20260507,20260520,20.75,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2301,光寶科,mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,196,20260518,20260617,262,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2323,中環,mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,10.6,20260331,20260617,12.75,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2646,星宇航空,non_mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,19.7,20260518,20260608,21.6,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,6153,嘉聯益,mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,17.4,20260427,20260528,20,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,6179,亞通,non_mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,23.35,20260306,20260602,29.35,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,6282,康舒,mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,45.6,20260206,20260518,56.5,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,9958,世紀鋼,non_mainstream,20260626,20260629,active_operation,candidate_evaluated,True,,,100.5,20260414,20260525,114.5,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1477,聚陽,non_mainstream,20260629,20260630,active_operation,candidate_evaluated,True,,,203,20260505,20260623,234,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2646,星宇航空,non_mainstream,20260629,20260630,active_operation,candidate_evaluated,True,,,19.7,20260518,20260608,21.6,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,3596,智易,mainstream,20260629,20260630,active_operation,candidate_evaluated,True,,,175.5,20260608,20260623,196.5,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,9958,世紀鋼,non_mainstream,20260629,20260630,active_operation,candidate_evaluated,True,,,100.5,20260414,20260525,114.5,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2646,星宇航空,non_mainstream,20260630,20260701,active_operation,candidate_evaluated,True,,,19.7,20260518,20260608,21.6,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1477,聚陽,non_mainstream,20260701,20260702,active_operation,candidate_evaluated,True,,,203,20260505,20260623,234,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2646,星宇航空,non_mainstream,20260701,20260702,active_operation,candidate_evaluated,True,,,19.7,20260518,20260608,21.6,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,5469,瀚宇博,mainstream,20260701,20260702,active_operation,candidate_evaluated,True,,,76,20260518,20260608,89.9,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,6191,精成科,mainstream,20260701,20260702,active_operation,candidate_evaluated,True,,,88.1,20260331,20260611,116,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1216,統一,non_mainstream,20260702,20260703,active_operation,candidate_evaluated,True,,,69.1,20260324,20260527,76.7,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1477,聚陽,non_mainstream,20260702,20260703,active_operation,candidate_evaluated,True,,,203,20260505,20260623,234,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2101,南港,non_mainstream,20260702,20260703,active_operation,candidate_evaluated,True,,,29.85,20260519,20260626,34.1,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2646,星宇航空,non_mainstream,20260702,20260703,active_operation,candidate_evaluated,True,,,19.7,20260518,20260608,21.6,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,3029,零壹,mainstream,20260702,20260703,active_operation,candidate_evaluated,True,,,92.7,20260330,20260626,116,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1477,聚陽,non_mainstream,20260703,20260706,active_operation,candidate_evaluated,True,,,203,20260505,20260623,234,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2101,南港,non_mainstream,20260703,20260706,active_operation,candidate_evaluated,True,,,29.85,20260519,20260626,34.1,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2348,海悅,non_mainstream,20260703,20260706,active_operation,candidate_evaluated,True,,,67.4,20260528,20260626,79.9,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2646,星宇航空,non_mainstream,20260703,20260706,active_operation,candidate_evaluated,True,,,19.7,20260518,20260608,21.6,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,3029,零壹,mainstream,20260703,20260706,active_operation,candidate_evaluated,True,,,92.7,20260330,20260626,116,active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2646,星宇航空,non_mainstream,20260706,,same_stock_already_active_operation,lifecycle_suppressed,False,,,19.7,20260518,20260608,21.6,same_stock_already_active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,6176,瑞儀,mainstream,20260706,,confirmed_operation,candidate_evaluated,True,,,85.8,20260413,20260630,116.5,confirmed_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1618,合機,mainstream,20260706,,same_stock_already_active_operation,lifecycle_suppressed,False,,,38.35,20260504,20260626,46.5,same_stock_already_active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,8422,可寧衛*,non_mainstream,20260706,,confirmed_operation,candidate_evaluated,True,,,25.4,20260520,20260608,28.55,confirmed_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,1477,聚陽,non_mainstream,20260706,,same_stock_already_active_operation,lifecycle_suppressed,False,,,203,20260505,20260623,234,same_stock_already_active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
w_bottom_right_side,20260706,2101,南港,non_mainstream,20260706,,same_stock_already_active_operation,lifecycle_suppressed,False,,,29.85,20260519,20260701,34.1,same_stock_already_active_operation,daily_candidate_model_signal_log+daily_published_model_snapshots+production_w_bottom_detector+stock_price_history,2026-07-06 19:36:07 Asia/Taipei
