trade_date,stock_id,stock_name,theme,surge_precondition_score,surge_watch_label,reason_summary,risk_flags
20260527,5209,新鼎,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20；風險:failed_breakout,failed_breakout
20260527,5511,德昌,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,5609,中菲行,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,6576,逸達,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,6670,復盛應用,other,77.0,A_surge_watch,TDCC領先股價；靠近MA20,
20260527,8415,大國鋼,other,77.0,A_surge_watch,TDCC領先股價；靠近MA20,
20260527,8416,實威,other,77.0,A_surge_watch,TDCC領先股價；靠近MA20,
20260527,9946,三發地產,other,77.0,A_surge_watch,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,1451,年興,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,1464,得力,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,1540,喬福,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,1907,永豐餘,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2206,三陽工業,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2362,藍天,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2482,連宇,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2852,第一保,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2915,潤泰全,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,3426,台興,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,4530,宏易,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,4763,材料*-KY,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,8917,欣泰,other,75.0,A_surge_watch,TDCC領先股價；靠近MA20；量能溫和,
20260527,2606,裕民,other,73.0,B_confirm_needed,TDCC領先股價；quiet_accumulation,
20260527,1402,遠東新,other,72.0,B_confirm_needed,TDCC領先股價；quiet_accumulation,
20260527,1586,和勤,other,72.0,B_confirm_needed,quiet_accumulation；靠近MA20,
20260527,2488,漢平,other,72.0,B_confirm_needed,quiet_accumulation；靠近MA20,
20260527,2597,潤弘,other,72.0,B_confirm_needed,quiet_accumulation；靠近MA20,
20260527,2718,全心投控,other,72.0,B_confirm_needed,quiet_accumulation；靠近MA20,
20260527,4106,雃博,other,72.0,B_confirm_needed,quiet_accumulation；靠近MA20,
20260527,4130,健亞,other,72.0,B_confirm_needed,TDCC領先股價；quiet_accumulation,
20260527,4406,新昕纖,other,72.0,B_confirm_needed,quiet_accumulation；靠近MA20,
20260527,4747,強生,other,72.0,B_confirm_needed,quiet_accumulation；靠近MA20,
20260527,4905,台聯電,other,72.0,B_confirm_needed,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,4961,天鈺,other,72.0,B_confirm_needed,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,5493,三聯,other,72.0,B_confirm_needed,quiet_accumulation；靠近MA20,
20260527,8109,博大,other,72.0,B_confirm_needed,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,2477,美隆電,other,70.0,B_confirm_needed,quiet_accumulation；靠近MA20；量能溫和,
20260527,2520,冠德,other,70.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,3617,碩天,other,70.0,C_too_hot,TDCC領先股價；quiet_accumulation；風險:too_hot_or_overextended,too_hot_or_overextended
20260527,1323,永裕,other,67.0,B_confirm_needed,TDCC領先股價；quiet_accumulation；靠近MA20,
20260527,1423,利華,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,1527,鑽全,other,67.0,C_too_hot,TDCC領先股價；quiet_accumulation；靠近MA20；風險:too_hot_or_overextended;failed_breakout,too_hot_or_overextended;failed_breakout
20260527,1781,合世,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,2033,佳大,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,2739,寒舍,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,2905,三商,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,2906,高林,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,2908,特力,other,67.0,C_too_hot,TDCC領先股價；靠近MA20；風險:too_hot_or_overextended,too_hot_or_overextended
20260527,3083,網龍,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,4161,聿新科,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,4974,亞泰,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,5213,亞昕,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,5460,同協,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,5490,同亨,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,5543,桓鼎-KY,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,6185,幃翔,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,6194,育富,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,8446,華研,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,8928,鉅明,other,67.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,2345,智邦,other,65.0,B_confirm_needed,TDCC領先股價；靠近MA20,
20260527,2535,達欣工,other,65.0,B_confirm_needed,TDCC領先股價；quiet_accumulation；靠近MA20；量能溫和；風險:failed_breakout,failed_breakout
20260527,4306,炎洲,other,65.0,B_confirm_needed,靠近MA20,
20260527,6885,全福生技,other,65.0,B_confirm_needed,TDCC領先股價；量能溫和,
20260527,1409,新纖,other,63.0,C_too_hot,TDCC領先股價；quiet_accumulation；風險:too_hot_or_overextended,too_hot_or_overextended
20260527,2108,南帝,other,63.0,B_confirm_needed,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2317,鴻海,other,63.0,B_confirm_needed,TDCC領先股價,
20260527,2867,三商壽,other,63.0,B_confirm_needed,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2886,兆豐金,other,63.0,B_confirm_needed,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2889,國票金,other,63.0,B_confirm_needed,靠近MA20；量能溫和,
20260527,1786,科妍,other,62.0,B_confirm_needed,TDCC領先股價；quiet_accumulation,
20260527,3293,鈊象,other,62.0,B_confirm_needed,TDCC領先股價；靠近MA20；風險:failed_breakout,failed_breakout
20260527,5278,尚凡*,other,62.0,B_confirm_needed,quiet_accumulation,
20260527,5324,士開,other,62.0,B_confirm_needed,quiet_accumulation,
20260527,2882,國泰金,other,61.0,B_confirm_needed,量能溫和,
20260527,2353,宏碁,other,60.0,B_confirm_needed,quiet_accumulation；量能溫和,
20260527,3588,通嘉,other,60.0,B_confirm_needed,quiet_accumulation；靠近MA20；量能溫和,
20260527,2542,興富發,other,58.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2548,華固,other,58.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2064,晉椿,other,57.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,2349,錸德,other,57.0,D_weak_or_insufficient,TDCC領先股價,
20260527,3213,茂訊,other,57.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,3227,原相,other,57.0,D_weak_or_insufficient,TDCC領先股價；quiet_accumulation；靠近MA20；風險:failed_breakout,failed_breakout
20260527,4207,環泰,other,57.0,D_weak_or_insufficient,靠近MA20,
