# PRICE_WINDOW_155

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_104=20260410,10.2,10.25,10.0,10.25,626000.0,10.22,10.4907,10.4675,10.93,10.636,1.4851,-1.9139,-4.2056,2.4249,-2.2943,-2.0779,-16.6667

PRICE_WINDOW_180_ROW_105=20260413,10.1,10.25,10.1,10.2,229000.0,10.2,10.4665,10.4425,10.9333,10.6318,-0.4878,-0.9709,-4.6729,0.8849,-2.5459,-2.3222,-17.0732

PRICE_WINDOW_180_ROW_106=20260414,10.2,10.2,10.1,10.1,269000.0,10.19,10.4359,10.4225,10.935,10.6268,-0.9804,-0.4926,-3.8095,1.0271,-3.2189,-3.0943,-17.8862

PRICE_WINDOW_180_ROW_107=20260415,10.15,10.2,10.1,10.15,248000.0,10.16,10.4121,10.405,10.9208,10.6223,0.495,-1.4563,-3.3333,0.9401,-2.5172,-2.4507,-17.4797

PRICE_WINDOW_180_ROW_108=20260416,10.15,10.2,10.1,10.15,112000.0,10.17,10.3903,10.385,10.9025,10.618,0.0,0.495,-3.7915,0.4344,-2.3123,-2.2629,-17.4797

PRICE_WINDOW_180_ROW_109=20260417,10.15,10.2,10.1,10.2,174000.0,10.16,10.3744,10.3625,10.8833,10.6141,0.4926,-0.4878,-4.2254,0.6814,-1.6811,-1.5682,-17.0732

PRICE_WINDOW_180_ROW_110=20260420,10.1,10.2,10.05,10.05,267000.0,10.13,10.3474,10.3425,10.865,10.609,-1.4706,-1.4706,-3.8278,1.0401,-2.8738,-2.8281,-18.2927

PRICE_WINDOW_180_ROW_111=20260421,10.2,10.2,10.05,10.1,281000.0,10.13,10.3268,10.3025,10.845,10.6044,0.4975,0.0,-7.3394,1.1559,-2.1958,-1.9655,-17.8862

