date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20251126,12.5,13.1,12.5,12.95,56491940.0,12.44,13.0703,13.0525,13.7358,12.765,4.4355,4.8583,-5.8182,1.3167,-0.9206,-0.7853,-18.038
20251127,13.0,13.55,12.75,13.55,56772196.0,12.66,13.1103,13.0475,13.7383,12.775,4.6332,8.8353,-0.7326,1.2965,3.3538,3.8513,-14.2405
20251128,13.6,13.95,13.5,13.55,75093899.0,12.95,13.1469,13.06,13.7442,12.7862,0.0,11.9835,1.8797,1.6672,3.0658,3.7519,-14.2405
20251201,13.5,13.8,13.5,13.6,48391046.0,13.21,13.1847,13.065,13.7475,12.8013,0.369,10.5691,0.7407,1.0777,3.1499,4.0949,-13.9241
20251202,13.75,14.0,13.55,14.0,72212056.0,13.53,13.2526,13.0925,13.7583,12.8192,2.9412,12.9032,4.0892,1.5552,5.6393,6.9314,-11.3924
20251203,14.05,14.25,13.9,14.2,67562686.0,13.78,13.3316,13.115,13.7725,12.8379,1.4286,9.6525,3.2727,1.4362,6.5139,8.273,-10.1266
20251204,14.25,14.35,14.1,14.35,57068179.0,13.94,13.4165,13.135,13.7758,12.8567,1.0563,5.9041,2.8674,1.1906,6.9582,9.2501,-9.1772
20251205,14.3,14.4,14.2,14.4,42867712.0,14.11,13.4984,13.1625,13.7817,12.8758,0.3484,6.2731,3.9711,0.8881,6.6792,9.4017,-8.8608
20251208,14.45,14.55,14.1,14.2,54291141.0,14.23,13.5569,13.205,13.7875,12.895,-1.3889,4.4118,6.367,1.1233,4.7438,7.535,-10.1266
20251209,14.15,14.2,13.8,13.95,48713397.0,14.22,13.5896,13.2575,13.7908,12.9108,-1.7606,-0.3571,8.1395,1.0241,2.6517,5.2235,-11.7089
20251210,14.15,14.2,13.65,13.85,53170906.0,14.15,13.6113,13.2875,13.7967,12.9254,-0.7168,-2.4648,4.5283,1.0932,1.7534,4.2333,-12.3418
20251211,13.95,14.0,13.45,13.5,59154681.0,13.98,13.6021,13.2975,13.7967,12.9371,-2.5271,-5.9233,1.5038,1.1831,-0.7503,1.5228,-14.557
20251212,13.65,13.7,13.35,13.35,50334961.0,13.77,13.5811,13.3175,13.7942,12.9471,-1.1111,-7.2917,3.0888,0.9887,-1.7013,0.244,-15.5063
20251215,13.2,13.55,13.2,13.3,34728672.0,13.59,13.5576,13.335,13.7867,12.9575,-0.3745,-6.338,2.7027,0.6817,-1.9003,-0.2625,-15.8228
20251216,13.3,13.35,12.9,12.9,51248874.0,13.38,13.5028,13.3625,13.7758,12.965,-3.0075,-7.5269,4.4534,1.0108,-4.4645,-3.4612,-18.3544
20251217,12.95,13.0,12.65,12.65,72748102.0,13.14,13.4318,13.3775,13.7658,12.97,-1.938,-8.6643,2.4291,1.3805,-5.8203,-5.4382,-19.9367
20251218,12.6,12.7,12.4,12.4,42446575.0,12.92,13.3458,13.375,13.7425,12.9746,-1.9763,-8.1481,-0.4016,0.7981,-7.0867,-7.2897,-21.519
20251219,12.5,12.9,12.35,12.7,76907150.0,12.79,13.292,13.405,13.7242,12.9842,2.4194,-4.8689,4.9587,1.4014,-4.4536,-5.2592,-19.6203
20251222,12.7,12.85,12.55,12.65,60458852.0,12.66,13.2385,13.4225,13.7025,12.995,-0.3937,-4.8872,2.8455,1.0946,-4.4451,-5.7553,-19.9367
20251223,12.85,13.15,12.55,13.05,94214159.0,12.69,13.2228,13.455,13.6858,13.0083,3.1621,1.1628,5.2419,1.6038,-1.3066,-3.01,-17.4051
20251224,13.45,13.5,13.15,13.25,109376401.0,12.81,13.225,13.47,13.6708,13.0238,1.5326,4.7431,2.3166,1.7817,0.1888,-1.6333,-16.1392
20251226,13.35,13.7,12.95,13.5,106335212.0,13.03,13.2479,13.4675,13.6592,13.0396,1.8868,8.871,-0.369,1.665,1.9026,0.2413,-14.557
20251229,14.1,14.85,13.95,14.85,370742766.0,13.46,13.3815,13.5325,13.66,13.0633,10.0,16.9291,9.5941,4.7139,10.9745,9.7358,-6.0127
20251230,15.3,16.3,14.9,16.3,882082683.0,14.19,13.6247,13.6675,13.6917,13.1017,9.7643,28.8538,19.8529,7.3303,19.636,19.261,0.0
20251231,16.7,17.75,16.5,17.05,932979502.0,14.99,13.9101,13.82,13.7358,13.1467,4.6012,30.6513,21.7857,5.7108,22.5727,23.3719,-3.9437
20260102,16.95,18.5,16.2,18.1,788088302.0,15.96,14.2593,14.015,13.7908,13.2,6.1584,36.6038,27.4648,3.9523,26.935,29.1473,-2.1622
20260105,18.8,19.9,18.8,19.9,536713013.0,17.24,14.7293,14.2925,13.8792,13.2662,9.9448,47.4074,38.676,2.4027,35.1046,39.2339,0.0
20260106,20.5,21.85,20.15,21.85,1042548581.0,18.64,15.3227,14.665,13.9992,13.3496,9.799,47.138,51.7361,3.8138,42.5987,48.9942,0.0
20260107,22.55,23.6,21.0,22.15,358140346.0,19.81,15.8917,15.0625,14.1167,13.4367,1.373,35.8896,55.9859,1.2411,39.3813,47.0539,-6.1441
20260108,22.0,22.0,20.55,20.75,218271681.0,20.55,16.2965,15.4025,14.2083,13.5137,-6.3205,21.7009,48.7455,0.7348,27.3278,34.7184,-12.0763
20260109,21.0,21.1,19.6,20.0,171731636.0,20.93,16.6051,15.71,14.2833,13.5833,-3.6145,10.4972,44.4043,0.5668,20.4446,27.3074,-15.2542
20260112,21.0,22.0,21.0,22.0,123914785.0,21.35,17.0547,16.135,14.3958,13.6717,10.0,10.5528,62.963,0.4047,28.9966,36.3496,-6.7797
20260113,22.25,23.45,22.1,22.65,207098185.0,21.51,17.521,16.6,14.5283,13.765,2.9545,3.6613,69.6629,0.6595,29.2735,36.4458,-4.0254
20260114,23.05,24.5,23.05,24.4,172851849.0,21.96,18.0942,17.155,14.6925,13.8738,7.7263,10.158,83.4586,0.5386,34.8496,42.2326,-0.4082
20260115,24.9,25.5,23.8,24.95,174985764.0,22.8,18.6656,17.7575,14.8692,13.9883,2.2541,20.241,93.4109,0.5349,33.6687,40.504,-2.1569
20260116,25.6,26.65,25.4,26.6,203092092.0,24.12,19.3268,18.455,15.0825,14.1167,6.6132,33.0,110.2767,0.6087,37.633,44.1344,-0.1876
20260119,27.6,29.1,27.55,28.8,243265641.0,25.48,20.1162,19.275,15.3283,14.2621,8.2707,30.9091,132.2581,0.7078,43.1682,49.4163,-1.0309
20260120,27.9,28.0,27.1,27.15,207345365.0,26.38,20.7023,19.9975,15.5492,14.3946,-5.7292,19.8675,113.7795,0.5921,31.1446,35.767,-6.701
20260121,26.2,28.0,24.8,27.15,760462270.0,26.93,21.2396,20.7225,15.7683,14.5275,0.0,11.2705,114.6245,1.9741,27.827,31.017,-6.701
20260122,28.4,29.15,25.2,25.4,818328662.0,27.02,21.5863,21.34,15.9625,14.6475,-6.4457,1.8036,94.636,1.9418,17.667,19.0253,-12.8645
20260123,25.0,25.95,23.8,24.0,742847757.0,26.5,21.7875,21.8775,16.1333,14.7521,-5.5118,-9.7744,81.1321,1.6395,10.155,9.7017,-17.6672
20260126,24.55,25.35,24.05,24.55,451933019.0,25.65,22.0177,22.43,16.315,14.8608,2.2917,-14.7569,81.8519,0.9608,11.5012,9.4516,-15.7804
20260127,24.5,24.55,22.7,23.05,595999754.0,24.83,22.1037,22.84,16.4775,14.9562,-6.11,-15.1013,55.2189,1.2375,4.2811,0.9194,-20.9262
20260128,23.55,24.3,22.05,22.3,640592249.0,23.86,22.1201,23.14,16.6242,15.0446,-3.2538,-17.8637,36.8098,1.3642,0.8134,-3.6301,-23.4991
20260129,22.3,22.65,21.0,21.3,524119980.0,23.04,22.0517,23.3525,16.755,15.1246,-4.4843,-16.1417,24.9267,1.167,-3.409,-8.7892,-26.9297
20260130,21.8,22.8,20.25,21.8,836782756.0,22.6,22.0308,23.5375,16.8892,15.2071,2.3474,-9.1667,20.442,1.8531,-1.0474,-7.3818,-25.2144
20260202,20.85,22.2,20.7,21.15,421571722.0,21.92,21.9574,23.6,17.0092,15.2871,-2.9817,-13.8493,6.2814,0.9457,-3.6769,-10.3814,-27.4443
20260203,21.8,22.0,20.75,20.95,310032753.0,21.5,21.8734,23.555,17.1275,15.3675,-0.9456,-9.1106,-4.119,0.7577,-4.2216,-11.0592,-28.1304
20260204,21.3,23.0,21.3,23.0,458130335.0,21.64,21.9673,23.5975,17.2883,15.4638,9.7852,3.139,3.8375,1.1061,4.7011,-2.532,-21.0978
20260205,23.25,23.8,21.7,21.8,600991125.0,21.74,21.9534,23.65,17.4367,15.5483,-5.2174,2.3474,5.0602,1.387,-0.6985,-7.8224,-25.2144
20260206,21.2,22.5,20.8,21.8,322639610.0,21.74,21.9406,23.74,17.5792,15.6308,0.0,0.0,9.0,0.7319,-0.6407,-8.1719,-25.2144
20260209,22.5,22.5,21.0,21.1,269303363.0,21.73,21.8705,23.695,17.7092,15.7088,-3.211,-0.2364,-4.0909,0.601,-3.5231,-10.9517,-27.6158
20260210,21.15,21.45,20.9,21.05,144484305.0,21.75,21.8022,23.615,17.8442,15.7862,-0.237,0.4773,-7.064,0.3247,-3.4499,-10.8617,-27.7873
20260211,21.3,22.2,21.3,21.95,270430860.0,21.54,21.8145,23.4925,17.9942,15.8683,4.2755,-4.5652,-10.041,0.6011,0.6213,-6.5659,-24.6998
20260223,22.7,24.0,22.15,23.35,462559596.0,21.85,21.9424,23.4125,18.1775,15.9612,6.3781,7.1101,-6.4128,0.9964,6.4148,-0.267,-19.8971
20260224,23.6,24.85,22.9,24.85,531318022.0,22.46,22.1847,23.325,18.3858,16.0658,6.424,13.9908,-6.5789,1.1054,12.014,6.538,-14.7513
20260225,26.3,27.3,24.1,24.6,1049054947.0,23.16,22.386,23.115,18.5883,16.1683,-1.006,16.5877,-14.5833,2.0137,9.8901,6.4244,-15.6089
20260226,25.05,27.0,24.15,26.8,837945188.0,24.31,22.7538,23.0975,18.8333,16.2883,8.9431,27.3159,-1.2891,1.5167,17.7823,16.0299,-8.0617
20260302,25.5,29.0,25.45,28.55,1001949319.0,25.63,23.2368,23.1675,19.1042,16.4204,6.5299,30.0683,5.1565,1.7748,22.8652,23.233,-2.0583
20260303,29.3,29.8,25.7,25.95,1047600389.0,26.15,23.4629,23.195,19.33,16.53,-9.1068,11.1349,2.1654,1.8187,10.5999,11.8776,-12.9195
20260304,24.5,25.95,24.15,24.75,604985488.0,26.13,23.5702,23.2325,19.5267,16.6312,-4.6243,-0.4024,3.125,1.063,5.0055,6.5318,-16.9463
20260305,26.45,26.7,24.8,26.0,722993701.0,26.41,23.7727,23.305,19.7342,16.7362,5.0505,5.6911,5.9063,1.2408,9.3692,11.564,-12.7517
20260306,25.6,27.6,25.15,27.5,845038403.0,26.55,24.0833,23.5275,19.9667,16.8554,5.7692,2.6119,19.3059,1.4199,14.187,16.8845,-7.7181
20260309,25.5,27.95,25.3,27.8,979280613.0,26.4,24.393,23.8025,20.2033,16.9754,1.0909,-2.627,24.6637,1.6,13.967,16.7945,-6.7114
20260310,29.5,29.9,27.2,27.55,1310469760.0,26.72,24.6561,24.115,20.4292,17.0938,-0.8993,6.1657,29.3427,2.0118,11.7371,14.2442,-7.8595
20260311,28.45,30.3,28.35,30.3,1134573679.0,27.83,25.1264,24.54,20.6975,17.235,9.9819,22.4242,38.9908,1.7029,20.5902,23.4719,0.0
20260312,31.0,33.3,30.75,32.95,1690701447.0,29.22,25.7784,25.13,21.0075,17.3917,8.7459,26.7308,55.792,2.3169,27.8202,31.1182,-1.0511
20260313,30.25,31.4,29.7,29.7,1369365716.0,29.66,26.1052,25.5675,21.2625,17.5221,-9.8634,8.0,41.7661,1.7496,13.7705,16.1631,-10.8108
20260316,29.35,30.05,26.8,27.3,1001913513.0,29.56,26.2048,25.7825,21.4808,17.6342,-8.0808,-1.7986,18.6957,1.2371,4.1796,5.8858,-18.018
20260317,27.9,29.4,27.55,27.7,789814927.0,29.59,26.3294,26.0775,21.71,17.7504,1.4652,0.5445,27.0642,0.964,5.2057,6.2218,-16.8168
20260318,28.3,28.85,27.2,27.95,482808305.0,29.12,26.4644,26.385,21.945,17.8708,0.9025,-7.7558,28.211,0.5836,5.6135,5.9314,-16.0661
20260319,27.7,28.3,27.25,27.3,367916783.0,27.99,26.534,26.695,22.175,17.9858,-2.3256,-17.1472,29.3839,0.4421,2.8867,2.2663,-18.018
