ticker,name,market,date,close,volume_lots,ma20,ma60,gap_ma20_pct,gap_ma60_pct,high_40,low_40,consolidation_range_pct,breakout_pct,volume_ratio,return_5d_pct,score,judge
2352,佳世達,listed,20260515,25.2,5298.0,25.15,24.6,0.21,2.44,26.5,22.7,16.74,-4.91,0.89,1.41,55,初步觀察
3691,碩禾,otc,20260517,152.5,5168.0,152.5,152.5,0.0,0.0,152.5,146.5,4.1,0.0,1.0,0.0,55,初步觀察
2897,王道銀行,listed,20260515,10.0,5044.0,10.14,9.97,-1.33,0.34,10.4,9.7,7.22,-3.85,1.5,-1.48,55,初步觀察
4562,穎漢,listed,20260515,39.05,3603.0,35.88,34.33,8.83,13.75,40.5,29.5,37.29,-3.58,2.48,3.58,55,初步觀察
8044,網家,otc,20260517,25.55,3549.0,25.55,25.55,0.0,0.0,25.55,23.5,8.72,0.0,1.0,0.0,55,初步觀察
3294,英濟,otc,20260517,36.5,2990.0,36.5,36.5,0.0,0.0,36.5,35.7,2.24,0.0,1.0,0.0,55,初步觀察
8091,翔名,otc,20260517,237.0,2903.0,237.0,237.0,0.0,0.0,237.0,212.5,11.53,0.0,1.0,0.0,55,初步觀察
6227,茂綸,otc,20260517,124.5,2633.0,124.5,124.5,0.0,0.0,124.5,117.0,6.41,0.0,1.0,0.0,55,初步觀察
3219,倚強科,otc,20260517,89.2,2248.0,89.2,89.2,0.0,0.0,89.2,81.8,9.05,0.0,1.0,0.0,55,初步觀察
4912,聯德控股-KY,listed,20260515,105.5,2228.0,89.73,90.12,17.57,17.07,109.0,79.0,37.97,-3.21,2.23,11.88,55,初步觀察
6485,點序,otc,20260517,98.2,1408.0,98.2,98.2,0.0,0.0,98.2,98.2,0.0,0.0,1.0,0.0,55,初步觀察
6799,來頡,listed,20260515,92.3,1302.0,89.46,82.15,3.18,12.36,96.5,73.0,32.19,-4.35,2.02,3.82,55,初步觀察
6419,京晨科,otc,20260517,194.5,1185.0,194.5,194.5,0.0,0.0,194.5,177.0,9.89,0.0,1.0,0.0,55,初步觀察
3379,彬台,otc,20260517,37.55,1008.0,37.55,37.55,0.0,0.0,37.55,34.15,9.96,0.0,1.0,0.0,55,初步觀察
2867,三商壽,listed,20260515,7.72,14329.0,7.78,7.83,-0.75,-1.41,7.99,7.36,8.56,-3.38,1.74,-1.4,53,初步觀察
2633,台灣高鐵,listed,20260515,25.7,11160.0,26.46,26.58,-2.88,-3.29,27.0,25.8,4.65,-4.81,1.84,-3.2,53,初步觀察
9933,中鼎,listed,20260515,37.6,8593.0,37.01,34.84,1.6,7.93,40.3,33.75,19.41,-6.7,1.73,2.17,53,初步觀察
1810,和成,listed,20260515,18.8,3572.0,18.22,18.05,3.17,4.17,20.0,16.75,19.4,-6.0,1.76,1.62,53,初步觀察
2820,華票,listed,20260515,16.7,2714.0,16.92,16.92,-1.27,-1.3,17.35,16.55,4.83,-3.75,1.7,-0.89,53,初步觀察
1709,和益,listed,20260515,18.2,1122.0,18.67,18.0,-2.52,1.1,19.9,17.8,11.8,-8.54,1.96,-2.41,53,初步觀察
2812,台中銀,listed,20260515,18.75,47741.0,19.85,20.39,-5.54,-8.02,21.15,18.9,11.9,-11.35,2.34,-5.06,50,初步觀察
2603,長榮,listed,20260515,200.5,24801.0,205.25,203.82,-2.31,-1.63,222.0,196.0,13.27,-9.68,2.2,-5.2,50,初步觀察
6257,矽格,listed,20260515,217.0,23166.0,194.48,159.66,11.58,35.92,218.5,125.0,74.8,-0.69,1.42,2.84,50,初步觀察
2464,盟立,listed,20260515,126.5,21760.0,105.94,82.96,19.41,52.49,123.0,65.7,87.21,2.85,0.85,3.69,50,初步觀察
2542,興富發,listed,20260515,43.75,17357.0,39.17,37.44,11.68,16.86,43.5,33.7,29.08,0.57,1.15,9.38,50,初步觀察
2393,億光,listed,20260515,62.5,7589.0,71.4,66.85,-12.47,-6.5,75.0,65.7,14.16,-16.67,2.11,-15.2,50,初步觀察
1907,永豐餘,listed,20260515,25.0,3443.0,24.3,25.04,2.86,-0.17,28.45,23.4,21.58,-12.13,2.43,3.95,50,初步觀察
3694,海華,listed,20260515,59.0,3303.0,60.07,58.4,-1.77,1.04,63.3,53.2,18.98,-6.79,2.32,-1.67,50,初步觀察
2537,聯上發,listed,20260515,9.66,2402.0,10.3,10.32,-6.19,-6.42,10.95,9.98,9.72,-11.78,2.24,-5.76,50,初步觀察
1603,華電,listed,20260515,30.0,2325.0,32.12,34.05,-6.61,-11.89,34.8,31.2,11.54,-13.79,5.27,-6.54,50,初步觀察
1104,環泥,listed,20260515,27.35,1742.0,28.46,29.14,-3.9,-6.15,30.35,27.9,8.78,-9.88,2.08,-3.36,50,初步觀察
2211,長榮鋼,listed,20260515,93.9,1706.0,98.4,100.26,-4.57,-6.35,103.5,96.1,7.7,-9.28,2.27,-4.67,50,初步觀察
2636,台驊控股,listed,20260515,65.3,1262.0,67.52,67.46,-3.29,-3.19,71.7,66.1,8.47,-8.93,3.63,-3.55,50,初步觀察
1219,福壽,listed,20260515,12.8,1148.0,13.51,13.67,-5.27,-6.39,14.85,12.95,14.67,-13.8,2.14,-4.48,50,初步觀察
8222,寶一,listed,20260515,36.25,1128.0,36.56,37.2,-0.85,-2.55,39.15,34.0,15.15,-7.41,2.51,-4.48,50,初步觀察
3622,洋華,listed,20260515,53.3,1046.0,55.72,57.63,-4.35,-7.52,62.8,53.6,17.16,-15.13,2.48,-5.5,50,初步觀察
