ticker,name,market,date,revenue_period,industry,revenue_yoy_pct,cumulative_yoy_pct,close,ma20,ma60,gap_ma20_pct,gap_ma60_pct,return_10d_pct,return_20d_pct,score,judge
2345,智邦,listed,20260515,11504,通信網路業,53.87,61.04,2505.0,2339.75,1812.58,7.06,38.2,9.87,23.1,63,初步觀察
6885,全福生技,listed,20260515,11504,生技醫療業,2152.94,2578.36,22.0,22.91,24.6,-3.96,-10.58,-4.14,-11.11,62,初步觀察
2905,三商,listed,20260515,11504,貿易百貨,352.95,50.77,13.05,13.74,14.61,-4.99,-10.68,-4.74,-10.62,62,初步觀察
9945,潤泰新,listed,20260515,11504,其他,58.78,34.31,23.0,23.8,25.92,-3.35,-11.27,-2.54,-8.55,62,初步觀察
7721,微程式,listed,20260515,11504,數位雲端,49.59,27.61,73.0,76.96,65.79,-5.15,10.95,-6.53,-20.57,62,初步觀察
4771,望隼,listed,20260515,11504,生技醫療業,47.26,32.4,185.0,188.98,185.58,-2.1,-0.31,-1.86,-5.37,62,初步觀察
2820,華票,listed,20260515,11504,金融保險業,46.36,74.18,16.7,16.92,16.93,-1.27,-1.34,-0.6,-3.47,62,初步觀察
2357,華碩,listed,20260515,11504,電腦及週邊設備業,45.71,42.36,641.0,619.05,575.37,3.55,11.41,10.33,8.83,62,初步觀察
2308,台達電,listed,20260515,11504,電子零組件業,43.92,36.53,2075.0,2110.5,1665.58,-1.68,24.58,-4.16,12.47,62,初步觀察
6598,ABC-KY,listed,20260515,11504,生技醫療業,41.84,70.62,24.35,22.62,23.51,7.67,3.59,13.52,6.33,62,初步觀察
8131,福懋科,listed,20260515,11504,半導體業,40.54,34.09,65.2,64.33,64.23,1.35,1.5,7.24,5.67,62,初步觀察
1419,新紡,listed,20260515,11504,紡織纖維,39.74,37.26,66.9,63.82,63.86,4.82,4.76,3.88,4.69,62,初步觀察
3432,台端,listed,20260515,11504,電子零組件業,39.4,220.44,19.05,19.52,17.71,-2.42,7.58,-1.8,16.51,62,初步觀察
3530,晶相光,listed,20260515,11504,半導體業,39.08,50.79,66.6,66.1,61.95,0.75,7.51,3.1,7.42,62,初步觀察
8438,昶昕,listed,20260515,11504,綠能環保,36.37,35.17,93.4,91.68,76.32,1.88,22.37,5.78,9.11,62,初步觀察
5607,遠雄港,listed,20260515,11504,航運業,35.13,35.53,47.7,48.24,48.71,-1.12,-2.06,2.58,-1.24,62,初步觀察
2449,京元電子,listed,20260515,11504,半導體業,34.56,38.01,299.5,299.85,295.23,-0.12,1.45,-0.99,5.64,62,初步觀察
4440,宜新實業,listed,20260515,11504,紡織纖維,34.33,30.95,18.65,18.06,17.68,3.27,5.52,4.19,3.04,62,初步觀察
6944,兆聯實業,listed,20260515,11504,綠能環保,32.08,48.6,897.0,931.9,832.37,-3.75,7.77,-0.66,-0.55,62,初步觀察
3706,神達,listed,20260515,11504,電腦及週邊設備業,31.87,33.89,79.9,83.66,81.08,-4.49,-1.46,-1.84,-3.5,62,初步觀察
2436,偉詮電,listed,20260515,11504,半導體業,30.48,31.39,69.8,73.27,64.6,-4.74,8.05,-3.99,10.62,62,初步觀察
2369,菱生,listed,20260515,11504,半導體業,30.2,37.12,29.7,30.87,29.68,-3.8,0.08,0.51,-4.5,62,初步觀察
2897,王道銀行,listed,20260515,11504,金融保險業,29.44,33.46,10.0,10.14,9.97,-1.33,0.26,-0.99,-2.91,62,初步觀察
6477,安集,listed,20260515,11504,光電業,22.94,44.41,33.05,34.3,35.25,-3.66,-6.24,-1.05,-4.89,62,初步觀察
