date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge
20260515,3090,日電貿,listed,142.0,14967.0,W底右側攻擊增強,已突破頸線,118,20260324,90.2,20260420,114.5,20260427,92.8,2.88,26.94,53.02,24.02,19.39,48.07,5130.0,12601.0,2.46,6,8,2.61,,False,20260515,61.81,-2.8,55.85,-3.39,大戶籌碼減少
20260515,6239,力成,listed,248.0,56526.0,W底右側攻擊增強,已突破頸線,118,20260324,188.0,20260414,237.5,20260423,203.0,7.98,26.33,22.17,4.42,13.28,19.81,10415.0,24584.0,2.36,4,6,1.8,,False,20260515,72.61,-0.71,65.13,-1.22,大戶籌碼減少
20260515,2460,建通,listed,32.0,1172.0,W底右側攻擊增強,已突破頸線,118,20260113,21.6,20260225,29.8,20260313,22.6,4.63,37.96,41.59,7.38,26.11,34.74,776.0,1808.0,2.33,11,22,2.48,,False,20260515,59.23,-0.52,55.45,-0.31,大戶籌碼減少
20260515,2436,偉詮電,listed,69.8,5440.0,W底右側攻擊增強,已突破頸線,118,20260109,46.35,20260226,64.5,20260309,49.9,7.66,39.16,39.88,8.22,28.65,38.22,4892.0,11032.0,2.26,15,20,3.4,,False,20260515,22.17,-3.27,16.18,-1.4,大戶籌碼減少
20260515,4722,國精化,listed,264.5,6202.0,W底右側攻擊增強,已突破頸線,118,20260324,165.5,20260422,209.0,20260427,174.5,5.44,26.28,51.58,26.56,14.41,48.6,2223.0,5024.0,2.26,6,9,1.77,,False,20260515,58.49,0.99,41.09,-0.22,中大戶增加
20260515,3305,昇貿,listed,138.5,21193.0,W底右側攻擊增強,已突破頸線,118,20260313,96.2,20260416,125.0,20260427,101.5,5.51,29.94,36.45,10.8,18.63,32.54,4543.0,9067.0,2.0,7,7,1.57,,False,20260515,48.07,3.66,39.49,1.74,中大戶/超大戶同步增加
20260515,3504,揚明光,listed,77.3,10387.0,W底右側攻擊增強,已突破頸線,118,20260109,50.1,20260303,66.3,20260331,50.4,0.6,32.34,53.37,16.59,24.85,53.37,902.0,1801.0,2.0,14,14,2.12,,False,20260515,63.2,-0.48,59.76,0.18,超大戶增加
20260515,3048,益登,listed,56.1,24416.0,W底右側攻擊增強,已突破頸線,118,20260309,34.25,20260319,43.85,20260427,36.4,6.28,28.03,54.12,27.94,20.71,43.66,5821.0,11558.0,1.99,7,9,1.86,,False,20260515,54.64,7.57,49.29,8.3,中大戶/超大戶同步增加
20260515,3008,大立光,listed,3445.0,3089.0,W底右側攻擊增強,已突破頸線,118,20260316,2305.0,20260415,2930.0,20260423,2440.0,5.86,27.11,41.19,17.58,22.34,38.63,1074.0,2042.0,1.9,7,7,1.8,,False,20260515,57.94,0.01,43.44,-0.31,中大戶增加
20260515,4967,十銓,listed,276.0,7424.0,W底右側攻擊增強,已突破頸線,118,20260114,191.0,20260129,266.5,20260211,197.0,3.14,39.53,40.1,3.56,28.28,38.35,7941.0,15090.0,1.9,6,24,5.74,,False,20260515,24.66,-2.72,17.38,-0.6,大戶籌碼減少
20260515,3338,泰碩,listed,73.0,4505.0,W底右側攻擊增強,已突破頸線,118,20260113,48.0,20260123,60.7,20260206,50.5,5.21,26.46,44.55,20.26,23.7,43.42,1460.0,2760.0,1.89,6,27,4.64,,False,20260515,30.31,0.25,22.68,1.25,中大戶/超大戶同步增加
20260515,6695,芯鼎,listed,51.9,5297.0,W底右側攻擊增強,已突破頸線,112,20260309,37.15,20260318,43.1,20260331,37.8,1.75,16.02,37.3,20.42,11.43,37.3,249.0,2376.0,9.52,3,15,6.44,,False,20260515,44.55,0.72,35.97,-2.4,中大戶增加
20260515,1309,台達化,listed,15.65,5149.0,W底右側攻擊增強,已突破頸線,112,20260121,11.5,20260303,13.55,20260303,12.25,6.52,17.83,27.76,15.5,14.1,17.23,2290.0,20126.0,8.79,10,19,4.07,,False,20260515,46.42,-0.49,41.98,-0.82,大戶籌碼減少
20260515,3035,智原,listed,190.0,17317.0,W底右側攻擊增強,已突破頸線,112,20260309,143.0,20260318,165.0,20260402,139.0,-2.8,15.38,36.69,15.15,13.89,36.69,2658.0,14973.0,5.63,4,13,4.55,,False,20260515,30.29,0.69,24.26,-0.64,中大戶增加
20260515,2363,矽統,listed,60.5,29878.0,W底右側攻擊增強,已突破頸線,112,20260309,45.65,20260318,53.6,20260331,46.2,1.2,17.42,30.95,12.87,12.34,30.67,3381.0,16844.0,4.98,5,15,5.56,,False,20260515,37.03,3.4,31.76,3.29,中大戶/超大戶同步增加
20260515,1582,信錦,listed,99.4,12706.0,W底右側攻擊增強,已突破頸線,112,20260109,62.3,20260128,72.5,20260202,66.0,5.94,16.37,50.61,37.1,12.16,50.61,1530.0,7175.0,4.69,4,25,6.69,,False,20260515,33.81,1.81,27.71,1.95,中大戶/超大戶同步增加
20260515,2340,台亞,listed,34.8,7055.0,W底右側攻擊增強,已突破頸線,112,20260202,24.35,20260226,28.1,20260309,24.0,-1.44,15.4,45.0,23.84,11.76,41.75,2326.0,10774.0,4.63,6,22,5.89,,False,20260515,37.26,0.04,32.27,-0.2,中大戶增加
20260515,2484,希華,listed,37.3,5115.0,W底右側攻擊增強,已突破頸線,112,20260202,26.55,20260225,31.35,20260324,26.2,-1.32,18.08,42.37,18.98,14.93,26.87,3448.0,12506.0,3.63,4,15,4.9,,False,20260515,23.45,-6.5,17.52,-4.98,大戶籌碼減少
20260515,6412,群電,listed,88.1,2954.0,W底右側攻擊增強,已突破頸線,112,20260331,72.2,20260413,83.9,20260423,76.1,5.4,16.2,15.77,5.01,12.86,14.12,1120.0,3863.0,3.45,2,8,4.54,,False,20260515,82.35,0.11,78.8,0.04,中大戶/超大戶同步增加
20260515,2377,微星,listed,112.0,44029.0,W底右側攻擊增強,已突破頸線,112,20260415,88.2,20260423,106.0,20260505,94.5,7.14,20.18,18.52,5.66,10.48,17.03,13047.0,44734.0,3.43,4,4,3.2,,False,20260515,60.19,-1.26,55.81,-0.9,大戶籌碼減少
20260515,4555,氣立,listed,41.8,1859.0,W底右側攻擊增強,已突破頸線,112,20260309,32.7,20260320,37.8,20260331,34.8,6.42,15.6,20.11,10.58,8.11,20.11,132.0,451.0,3.43,6,10,1.74,,False,20260515,67.99,0.82,65.67,0.0,中大戶增加
20260515,2374,佳能,listed,82.2,33320.0,W底右側攻擊增強,已突破頸線,112,20260323,67.2,20260422,79.5,20260423,70.0,4.17,18.3,17.43,3.4,8.88,15.77,4159.0,14022.0,3.37,6,7,1.58,,False,20260515,29.56,0.73,24.26,-0.06,中大戶增加
20260515,6206,飛捷,listed,130.0,4047.0,W底右側攻擊增強,已突破頸線,112,20260331,96.3,20260422,113.0,20260427,103.5,7.48,17.34,25.6,15.04,15.66,22.64,949.0,2991.0,3.15,5,7,1.7,,False,20260515,52.41,3.42,42.71,2.45,中大戶/超大戶同步增加
20260515,6108,競國,listed,18.6,1318.0,W底右側攻擊增強,已突破頸線,112,20260309,14.85,20260318,17.7,20260330,15.85,6.73,19.19,17.35,5.08,7.21,13.07,878.0,2675.0,3.05,2,13,4.86,,False,20260515,52.87,-1.61,42.68,-1.98,大戶籌碼減少
20260515,2312,金寶,listed,27.85,20808.0,W底右側攻擊增強,已突破頸線,112,20260309,21.55,20260320,24.95,20260331,21.55,0.0,15.78,29.23,11.62,6.05,29.23,16991.0,50581.0,2.98,3,13,6.6,,False,20260515,48.37,0.81,43.7,0.56,中大戶/超大戶同步增加
20260515,3356,奇偶,listed,60.9,1712.0,W底右側攻擊增強,已突破頸線,112,20260331,47.05,20260415,54.3,20260423,50.6,7.55,15.41,20.36,12.15,11.68,17.12,515.0,1456.0,2.83,3,7,4.38,,False,20260515,29.22,0.02,21.61,1.4,中大戶/超大戶同步增加
20260515,8926,台汽電,listed,61.1,17577.0,W底右側攻擊增強,已突破頸線,112,20260107,40.0,20260309,47.8,20260408,42.95,7.37,19.5,42.26,27.82,11.11,40.46,1603.0,4420.0,2.76,14,14,2.58,,False,20260515,61.28,0.25,55.46,0.45,中大戶/超大戶同步增加
20260515,6799,來頡,listed,92.3,1302.0,W底右側攻擊增強,已突破頸線,112,20260309,70.6,20260318,86.4,20260331,73.0,3.4,22.38,26.44,6.83,13.79,25.41,180.0,476.0,2.64,4,15,5.1,,False,20260515,36.12,-0.22,21.04,0.0,變化不明顯
20260515,2428,興勤,listed,206.0,2841.0,W底右側攻擊增強,已突破頸線,112,20260202,162.0,20260226,191.5,20260427,167.0,3.09,18.21,23.35,7.57,15.9,19.08,680.0,1776.0,2.61,6,10,2.22,,False,20260515,62.57,1.56,50.78,0.81,中大戶/超大戶同步增加
20260515,2302,麗正,listed,24.8,8913.0,W底右側攻擊增強,已突破頸線,112,20260309,16.65,20260318,19.8,20260331,17.15,3.0,18.92,44.61,25.25,12.72,44.19,1094.0,2758.0,2.52,2,13,5.31,,False,20260515,67.35,-0.64,61.14,-2.1,大戶籌碼減少
20260515,3149,正達,listed,57.4,28811.0,W底右側攻擊增強,已突破頸線,112,20260206,48.2,20260225,56.5,20260508,48.25,0.1,17.22,18.96,1.59,8.79,18.96,8559.0,20967.0,2.45,2,4,3.48,,False,20260515,33.36,0.32,24.61,-1.47,中大戶增加
20260515,2365,昆盈,listed,36.65,12153.0,W底右側攻擊增強,已突破頸線,112,20260309,31.1,20260316,36.4,20260402,30.5,-1.93,17.04,20.16,0.69,10.37,20.16,3517.0,8506.0,2.42,5,14,3.48,,False,20260515,21.89,0.05,16.22,-0.2,中大戶增加
20260515,3591,艾笛森,listed,23.85,1369.0,W底右側攻擊增強,已突破頸線,112,20260206,18.55,20260320,22.5,20260324,19.6,5.66,21.29,21.68,6.0,10.94,13.57,1965.0,4740.0,2.41,11,15,1.62,,False,20260515,50.73,0.8,46.98,1.24,中大戶/超大戶同步增加
20260515,4585,達明,listed,354.0,2711.0,W底右側攻擊增強,已突破頸線,112,20260309,287.0,20260318,331.0,20260402,285.0,-0.7,15.33,24.21,6.95,7.78,23.78,248.0,586.0,2.36,4,12,4.8,,False,20260515,76.71,0.0,76.14,0.0,變化不明顯
20260515,1776,展宇,listed,19.0,3474.0,W底右側攻擊增強,已突破頸線,112,20260210,14.7,20260318,17.05,20260323,15.5,5.44,15.99,22.58,11.44,8.28,22.58,90.0,211.0,2.34,7,11,1.77,,False,20260515,67.75,0.52,43.59,0.35,中大戶/超大戶同步增加
20260515,6215,和椿,listed,130.5,14049.0,W底右側攻擊增強,已突破頸線,112,20260309,94.5,20260316,115.0,20260407,93.1,-1.48,21.69,40.17,13.48,15.07,39.57,1471.0,3386.0,2.3,4,11,2.92,,False,20260515,33.12,1.17,27.68,1.28,中大戶/超大戶同步增加
20260515,2493,揚博,listed,136.5,6787.0,W底右側攻擊增強,已突破頸線,112,20260202,106.5,20260226,125.0,20260324,103.5,-2.82,17.37,31.88,9.2,12.16,29.38,1477.0,3383.0,2.29,6,13,3.14,,False,20260515,48.42,0.8,43.44,1.4,中大戶/超大戶同步增加
20260515,8261,富鼎,listed,134.5,8270.0,W底右側攻擊增強,已突破頸線,112,20260203,87.3,20260303,102.5,20260309,93.6,7.22,17.41,43.7,31.22,12.1,39.38,2143.0,4854.0,2.27,6,17,4.37,,False,20260515,48.84,3.72,43.02,3.18,中大戶/超大戶同步增加
20260515,2344,華邦電,listed,129.5,348302.0,W底右側攻擊增強,接近頸線,112,20260112,96.5,20260129,136.0,20260206,95.0,-1.55,40.93,36.32,-4.78,27.45,32.41,85457.0,192194.0,2.25,7,24,2.68,,False,20260515,72.17,3.84,69.42,3.81,中大戶/超大戶同步增加
20260515,6525,捷敏-KY,listed,105.0,3919.0,W底右側攻擊增強,已突破頸線,112,20260309,74.9,20260313,86.3,20260331,79.6,6.28,15.22,31.91,21.67,11.01,31.58,450.0,1011.0,2.25,4,17,6.2,,False,20260515,68.23,1.23,57.87,-0.05,中大戶增加
20260515,2338,光罩,listed,47.9,4471.0,W底右側攻擊增強,已突破頸線,112,20260109,35.55,20260122,43.6,20260202,36.6,2.95,22.64,30.87,9.86,13.4,29.11,3006.0,6637.0,2.21,5,19,8.47,,False,20260515,47.01,-2.36,40.7,-2.65,大戶籌碼減少
20260515,4912,聯德控股-KY,listed,105.5,2228.0,W底右側攻擊增強,已突破頸線,112,20260309,82.1,20260320,95.5,20260327,86.7,5.6,16.32,21.68,10.47,8.6,18.54,350.0,772.0,2.2,6,12,3.68,,False,20260515,53.55,1.69,37.16,-0.14,中大戶增加
20260515,2388,威盛,listed,75.4,21209.0,W底右側攻擊增強,已突破頸線,112,20260109,49.6,20260126,57.7,20260202,50.2,1.21,16.33,50.2,30.68,13.6,49.01,5047.0,10998.0,2.18,4,27,7.65,,False,20260515,67.6,-0.42,63.46,-0.91,大戶籌碼減少
20260515,5284,jpp-KY,listed,376.5,1909.0,W底右側攻擊增強,已突破頸線,112,20260202,253.5,20260320,292.0,20260324,269.5,6.31,15.19,39.7,28.94,7.43,38.42,1073.0,2230.0,2.08,11,17,2.97,,False,20260515,58.62,0.72,50.56,2.83,中大戶/超大戶同步增加
20260515,3605,宏致,listed,77.1,5508.0,W底右側攻擊增強,已突破頸線,112,20260109,59.4,20260128,70.5,20260309,58.0,-2.36,18.69,32.93,9.36,15.69,29.58,2905.0,5948.0,2.05,6,18,4.91,,False,20260515,45.24,0.08,38.62,0.74,中大戶/超大戶同步增加
20260515,6526,達發,listed,688.0,1486.0,W底右側攻擊增強,已突破頸線,112,20260309,460.0,20260313,566.0,20260331,463.5,0.76,23.04,48.44,21.55,11.62,48.28,976.0,1995.0,2.05,3,11,2.39,,False,20260515,77.82,-0.83,75.41,0.0,變化不明顯
20260515,2356,英業達,listed,52.2,51211.0,W底右側攻擊增強,已突破頸線,112,20260309,38.55,20260318,44.95,20260331,39.95,3.63,16.6,30.66,16.13,10.74,30.34,15979.0,32643.0,2.04,5,13,4.8,,False,20260515,72.72,1.66,70.04,1.65,中大戶/超大戶同步增加
20260515,4952,凌通,listed,50.3,1122.0,W底右側攻擊增強,已突破頸線,112,20260113,35.55,20260129,42.9,20260202,38.3,7.74,20.68,31.33,17.25,16.71,29.14,607.0,1233.0,2.03,6,25,5.13,,False,20260515,51.64,0.46,48.76,0.0,中大戶增加
20260515,6438,迅得,listed,163.5,1517.0,W底右側攻擊增強,已突破頸線,112,20260206,137.5,20260305,160.0,20260309,136.5,-0.73,16.36,19.78,2.19,7.24,15.96,1618.0,3287.0,2.03,3,15,9.27,,False,20260515,33.02,0.72,24.24,-0.04,中大戶增加
20260515,3094,聯傑,listed,32.65,4682.0,W底右側攻擊增強,已突破頸線,112,20260113,24.25,20260128,28.85,20260206,24.0,-1.03,18.97,36.04,13.17,10.79,33.27,679.0,1372.0,2.02,5,26,8.05,,False,20260515,16.71,-2.92,11.41,-1.74,大戶籌碼減少
20260515,4526,東台,listed,37.05,13194.0,W底右側攻擊增強,已突破頸線,112,20260331,31.9,20260409,37.0,20260423,31.55,-1.1,15.99,17.43,0.14,12.5,15.78,5355.0,10818.0,2.02,3,9,4.65,,False,20260515,46.52,-1.31,38.7,-1.45,大戶籌碼減少
20260515,1605,華新,listed,34.9,49836.0,W底右側攻擊增強,已突破頸線,112,20260324,29.85,20260420,34.8,20260423,29.55,-1.01,16.58,18.1,0.29,11.06,14.99,23358.0,46850.0,2.01,5,5,1.61,,False,20260515,71.01,-0.59,68.6,-0.73,大戶籌碼減少
20260515,6116,彩晶,listed,10.25,104759.0,W底右側攻擊增強,已突破頸線,112,20260309,8.23,20260312,9.91,20260427,8.12,-1.34,20.41,26.23,3.43,10.94,24.24,45202.0,90867.0,2.01,3,6,2.82,,False,20260515,47.52,0.24,44.0,0.53,中大戶/超大戶同步增加
20260515,2401,凌陽,listed,24.65,4555.0,W底右側攻擊增強,已突破頸線,112,20260202,20.85,20260224,24.15,20260316,20.3,-2.64,15.83,21.43,2.07,12.62,20.24,3403.0,6731.0,1.98,6,16,2.68,,False,20260515,38.18,0.33,33.03,0.76,中大戶/超大戶同步增加
20260515,4766,南寶,listed,369.5,1397.0,W底右側攻擊增強,已突破頸線,112,20260310,302.5,20260325,351.5,20260402,307.0,1.49,16.2,20.36,5.12,12.01,19.97,703.0,1353.0,1.93,5,8,2.53,,False,20260515,69.18,-1.49,62.79,0.68,超大戶增加
20260515,7788,松川精密,listed,206.0,3463.0,W底右側攻擊增強,已突破頸線,112,20260223,160.5,20260225,195.0,20260507,163.0,1.56,21.5,26.38,5.64,12.57,20.12,821.0,1525.0,1.86,2,6,2.55,,False,20260515,76.31,-0.19,61.51,-1.39,大戶籌碼減少
20260515,2425,承啟,listed,34.6,1924.0,W底右側攻擊增強,已突破頸線,112,20260211,26.95,20260318,32.6,20260427,28.4,5.38,20.96,21.83,6.13,13.79,17.29,520.0,961.0,1.85,6,6,1.77,,False,20260515,47.45,0.72,37.76,-0.42,中大戶增加
20260515,2402,毅嘉,listed,63.9,10167.0,W底右側攻擊增強,接近頸線,112,20260206,50.0,20260303,64.2,20260331,48.85,-2.3,28.4,30.81,-0.47,8.66,30.01,12648.0,23099.0,1.83,4,12,2.95,,False,20260515,45.44,-0.58,41.11,-0.47,大戶籌碼減少
20260515,3704,合勤控,listed,38.2,8711.0,W底右側攻擊增強,已突破頸線,112,20260309,30.0,20260318,35.4,20260330,31.6,5.33,18.0,20.89,7.91,11.79,15.23,1984.0,3637.0,1.83,5,13,9.14,,False,20260515,57.54,0.8,51.04,0.77,中大戶/超大戶同步增加
20260515,8105,凌巨,listed,15.7,13267.0,W底右側攻擊增強,已突破頸線,112,20260206,11.55,20260225,13.3,20260309,12.1,4.76,15.15,29.75,18.05,7.63,28.16,2082.0,3815.0,1.83,3,18,7.27,,False,20260515,63.01,0.61,60.2,1.0,中大戶/超大戶同步增加
20260515,3019,亞光,listed,144.5,19720.0,W底右側攻擊增強,已突破頸線,112,20260309,120.5,20260318,140.0,20260402,120.0,-0.41,16.18,20.42,3.21,11.79,19.92,3852.0,6968.0,1.81,3,12,3.05,,False,20260515,37.93,2.07,30.37,1.08,中大戶/超大戶同步增加
20260515,6579,研揚,listed,150.5,1445.0,W底右側攻擊增強,已突破頸線,112,20260121,108.5,20260130,128.0,20260331,112.0,3.23,17.97,34.38,17.58,16.97,33.78,264.0,476.0,1.81,5,12,1.73,,False,20260515,85.75,-0.2,84.5,-0.18,大戶籌碼減少
20260515,2375,凱美,listed,99.4,21501.0,W底右側攻擊增強,已突破頸線,112,20260402,72.5,20260420,95.9,20260427,77.2,6.48,32.28,28.76,3.65,22.87,23.79,4878.0,8413.0,1.72,5,8,2.36,,False,20260515,27.31,0.6,20.81,0.73,中大戶/超大戶同步增加
20260515,2301,光寶科,listed,204.5,41395.0,W底右側攻擊增強,已突破頸線,112,20260202,158.0,20260225,200.0,20260423,160.5,1.58,26.58,27.41,2.25,19.63,24.32,30184.0,48608.0,1.61,6,6,1.79,,False,20260515,80.73,0.15,76.07,0.01,中大戶/超大戶同步增加
20260515,3033,威健,listed,47.9,30563.0,W底右側攻擊增強,已突破頸線,112,20260206,29.75,20260320,38.45,20260331,31.5,5.88,29.24,52.06,24.58,19.17,50.63,7089.0,11389.0,1.61,12,14,2.14,,False,20260515,42.06,2.49,36.08,2.69,中大戶/超大戶同步增加
20260515,6197,佳必琪,listed,218.5,3004.0,W底右側攻擊增強,已突破頸線,112,20260331,156.5,20260423,199.0,20260427,165.5,5.75,27.16,32.02,9.8,18.3,22.75,4009.0,6241.0,1.56,4,9,2.96,,False,20260515,49.49,-1.9,40.91,0.33,超大戶增加
20260515,2481,強茂,listed,117.5,46935.0,W底右側攻擊增強,已突破頸線,112,20260223,84.1,20260318,105.5,20260323,90.1,7.13,25.45,30.41,11.37,17.68,27.72,22054.0,31233.0,1.42,8,13,1.93,,False,20260515,65.63,8.01,59.1,7.67,中大戶/超大戶同步增加
20260515,5471,松翰,listed,50.8,2063.0,W底右側攻擊增強,已突破頸線,112,20260202,35.25,20260302,48.3,20260407,36.65,3.97,37.02,38.61,5.18,32.44,36.01,1682.0,2350.0,1.4,8,14,1.55,,False,20260515,32.29,0.91,24.13,-0.08,中大戶增加
20260515,1590,亞德客-KY,listed,1465.0,1939.0,W底右側攻擊增強,已突破頸線,112,20260112,961.0,20260211,1275.0,20260330,970.0,0.94,32.67,51.03,14.9,23.71,48.43,1073.0,1487.0,1.39,14,15,1.81,,False,20260515,73.02,0.06,54.24,0.31,中大戶/超大戶同步增加
20260515,1717,長興,listed,78.7,55336.0,W底右側攻擊增強,已突破頸線,112,20260202,55.7,20260302,72.2,20260309,56.6,1.62,29.62,39.05,9.0,18.74,36.63,38676.0,50548.0,1.31,6,17,3.02,,False,20260515,64.55,-0.02,58.2,-0.26,大戶籌碼減少
20260515,3450,聯鈞,listed,395.5,4682.0,W底右側攻擊增強,已突破頸線,112,20260113,249.0,20260303,334.0,20260324,257.0,3.21,34.14,53.89,18.41,33.87,53.89,14626.0,19025.0,1.3,9,16,1.97,,False,20260515,49.03,7.71,43.04,9.94,中大戶/超大戶同步增加
20260515,4906,正文,listed,39.15,36655.0,W底右側攻擊增強,已突破頸線,110,20260130,27.7,20260320,36.25,20260324,30.0,8.3,30.87,30.5,8.0,21.93,29.21,8293.0,44784.0,5.4,14,14,1.56,,False,20260515,28.77,1.7,23.76,2.46,中大戶/超大戶同步增加
20260515,4571,鈞興-KY,listed,211.0,3050.0,W底右側攻擊增強,已突破頸線,110,20260402,147.0,20260424,184.0,20260428,162.0,10.2,25.17,30.25,14.67,15.49,24.12,451.0,1410.0,3.13,8,8,3.03,,False,20260515,65.01,-0.93,55.97,0.0,變化不明顯
20260515,3031,佰鴻,listed,28.95,2129.0,W底右側攻擊增強,已突破頸線,108,20260109,19.0,20260128,21.55,20260202,19.5,2.63,13.42,48.46,34.34,7.73,48.46,553.0,4491.0,8.12,5,26,9.59,,False,20260515,59.34,0.47,57.66,1.48,中大戶/超大戶同步增加
20260515,2417,圓剛,listed,47.5,3416.0,W底右側攻擊增強,已突破頸線,108,20260309,33.15,20260318,36.75,20260331,33.35,0.6,10.86,42.43,29.25,8.25,42.22,420.0,3344.0,7.96,3,13,8.11,,False,20260515,43.31,-0.69,38.68,-0.71,大戶籌碼減少
20260515,3051,力特,listed,25.55,1792.0,W底右側攻擊增強,已突破頸線,108,20260309,20.0,20260318,22.55,20260407,19.6,-2.0,12.75,30.36,13.3,6.17,29.37,744.0,5191.0,6.98,3,10,4.55,,False,20260515,33.4,0.46,25.26,-0.05,中大戶增加
20260515,2328,廣宇,listed,50.9,9037.0,W底右側攻擊增強,已突破頸線,108,20260331,42.75,20260423,47.9,20260427,43.35,1.4,12.05,17.42,6.26,5.47,14.77,3384.0,16516.0,4.88,5,6,2.45,,False,20260515,41.1,0.14,36.53,0.41,中大戶/超大戶同步增加
20260515,2476,鉅祥,listed,115.0,4960.0,W底右側攻擊增強,已突破頸線,108,20260206,78.0,20260319,88.4,20260323,80.2,2.82,13.33,43.39,30.09,6.97,38.72,1329.0,5622.0,4.23,9,18,2.17,,False,20260515,61.13,-0.05,53.12,-0.13,大戶籌碼減少
20260515,6414,樺漢,listed,319.5,4739.0,W底右側攻擊增強,已突破頸線,108,20260309,256.0,20260318,282.5,20260327,260.5,1.76,10.35,22.65,13.1,5.28,21.02,495.0,1849.0,3.73,4,19,4.77,,False,20260515,66.03,0.9,52.24,1.67,中大戶/超大戶同步增加
20260515,8163,達方,listed,33.85,12865.0,W底右側攻擊增強,已突破頸線,108,20260407,26.45,20260423,29.1,20260430,26.6,0.57,10.02,27.26,16.32,4.32,27.02,947.0,3213.0,3.39,6,7,4.41,,False,20260515,44.5,1.73,37.41,0.24,中大戶/超大戶同步增加
20260515,3059,華晶科,listed,42.2,27390.0,W底右側攻擊增強,已突破頸線,108,20260309,35.0,20260318,39.15,20260331,35.0,0.0,11.86,20.57,7.79,5.36,20.23,1390.0,4348.0,3.13,4,16,5.62,,False,20260515,27.44,-0.25,21.63,-0.33,大戶籌碼減少
