date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order
20260518,8215,明基材,TWSE,27.05,1629.0,W底右側攻擊增強・預備發動,接近突破型,108,20260203,19.0,20260323,27.5,20260331,21.9,15.26,44.74,23.52,-1.64,27.3,23.23,3159.0,4739.0,1.5,11,12,1.8,光電業,True,20260515,52.73,-1.08,49.89,-0.23,大戶籌碼減少,2
20260518,2317,鴻海,TWSE,248.5,63512.0,W底右側攻擊增強・預備發動,接近突破型,108,20260121,219.0,20260226,253.5,20260417,203.5,-7.08,15.75,22.11,-1.97,10.96,20.63,67332.0,97915.0,1.45,6,8,1.57,其他電子業,True,20260515,69.39,0.17,66.71,0.19,中大戶/超大戶同步增加,2
20260518,6202,盛群,TWSE,52.7,1955.0,W底右側攻擊增強・預備發動,接近突破型,106,20260113,37.8,20260128,52.9,20260202,43.45,14.95,39.95,21.29,-0.38,38.85,18.43,3572.0,5593.0,1.57,7,29,3.94,半導體業,True,20260515,35.08,-0.06,30.02,0.93,超大戶增加,2
20260518,2891,中信金,TWSE,54.8,30347.0,W底右側攻擊增強・預備發動,接近突破型,104,20260123,50.0,20260226,56.4,20260309,49.4,-1.2,12.8,10.93,-2.84,10.69,7.45,38079.0,48289.0,1.27,9,21,2.54,金融保險業,False,20260515,81.67,-0.01,78.84,0.0,變化不明顯,2
20260518,5522,遠雄,TWSE,72.2,1442.0,W底右側攻擊增強・預備發動,接近突破型,104,20260119,67.2,20260320,73.2,20260323,68.6,2.08,8.93,5.25,-1.37,3.95,5.25,827.0,1011.0,1.22,12,14,1.26,建材營造,False,20260515,89.02,0.0,86.65,-0.24,變化不明顯,2
20260518,2103,台橡,TWSE,20.4,4472.0,W底右側攻擊增強・預備發動,接近突破型,100,20260402,18.85,20260428,20.75,20260504,19.0,0.8,10.08,7.37,-1.69,3.41,6.53,5353.0,7680.0,1.43,6,7,0.73,橡膠工業,False,20260515,53.72,1.12,48.61,0.72,中大戶/超大戶同步增加,2
20260518,3023,信邦,TWSE,294.0,1851.0,W底右側攻擊增強・預備發動,接近突破型,100,20260414,267.5,20260424,302.0,20260428,265.5,-0.75,12.9,10.73,-2.65,8.21,6.91,2133.0,2499.0,1.17,5,5,1.82,電子零組件業,True,20260515,68.22,-0.38,51.94,-1.04,大戶籌碼減少,2
20260518,3550,聯穎,TWSE,20.55,1721.0,W底右側攻擊增強・預備發動,接近突破型,98,20260309,14.9,20260319,20.95,20260327,16.9,13.42,40.6,21.6,-1.91,25.32,6.75,3279.0,3986.0,1.22,5,13,5.76,電子零組件業,True,20260515,42.59,0.28,36.5,0.0,中大戶增加,2
20260518,8070,長華*,TWSE,43.55,4998.0,W底右側攻擊增強・預備發動,接近突破型,96,20260309,39.35,20260320,44.6,20260323,41.8,6.23,13.34,4.19,-2.35,4.46,0.35,2575.0,3455.0,1.34,6,13,2.01,電子通路業,True,20260515,76.61,0.03,73.19,0.04,中大戶/超大戶同步增加,2
20260518,3706,神達,TWSE,80.1,8217.0,W底右側攻擊增強・預備發動,接近突破型,96,20260202,76.0,20260225,82.9,20260309,75.6,-0.53,9.08,5.95,-3.38,5.84,2.69,10240.0,12687.0,1.24,2,16,7.95,電腦及週邊設備業,True,20260515,51.45,-1.16,48.53,-1.32,大戶籌碼減少,2
