日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
20260527,自營商,119114,284950,158261281,1750341,107238,278368,154627221,1506056,11876,6582,3634060,244285,85878,42994,90435908,2593034,447490,48354,389954182,3336259,-361612,-5360,-299518274,-743225
20260528,外資及陸資,1110557,150944,1749652306,1648127,1137763,152816,1778833751,1765898,-27206,-1872,-29181445,-117771,196848,27910,317213797,2266778,765438,32700,1087229505,1952498,-568590,-4790,-770015708,314280
20260528,投信,6733,0,5937460,0,1014,100,8389297,1794,5719,-100,-2451837,-1794,97768,1,469277690,176,5763,590,47369681,61627,92005,-589,421908009,-61451
20260528,自營商,123994,136672,178989373,1713940,136345,143936,162579596,1876402,-12351,-7264,16409777,-162462,83787,55266,98836005,2598142,456375,67890,373144615,3385361,-372588,-12624,-274308610,-787219
20260529,外資及陸資,776062,219036,1219359724,1496259,797651,214188,1262237997,1445333,-21589,4848,-42878273,50926,196525,25270,318980797,2622094,791383,27950,1157148252,2198804,-594858,-2680,-838167455,423290
20260529,投信,2520,0,20406960,0,100,0,646399,0,2420,0,19760561,0,100110,1,503985085,240,5685,500,48303285,83716,94425,-499,455681800,-83476
20260529,自營商,90960,231863,119675411,1441628,85991,209461,127669477,1324570,4969,22402,-7994066,117058,84980,43931,91957963,2907885,452602,52534,382965730,3748138,-367622,-8603,-291007767,-840253
20260601,外資及陸資,803447,82009,1294476849,1026967,825421,82545,1352450613,1026033,-21974,-536,-57973764,934,203367,29243,330090708,2875512,818284,32459,1243859004,2409414,-614917,-3216,-913768296,466098
20260601,投信,1735,0,15647411,0,247,0,1887506,0,1488,0,13759905,0,101589,1,525933605,274,5676,500,49000320,96313,95913,-499,476933285,-96039
20260601,自營商,89657,96662,132467863,1135579,100447,90943,133272150,1109540,-10790,5719,-804287,26039,87367,58921,98945974,3218981,465788,61796,397093539,4093332,-378421,-2875,-298147565,-874351
20260602,外資及陸資,960774,151473,1448869245,1536194,990675,152084,1482924975,1553049,-29901,-611,-34055730,-16855,202542,32352,321022020,2911658,847574,36179,1268160830,2462008,-645032,-3827,-947138810,449650
20260602,投信,1822,0,13165086,0,2863,85,5149175,729,-1041,-85,8015911,-729,100571,1,534841599,275,5699,585,49213889,97219,94872,-584,485627710,-96944
20260602,自營商,113191,117149,150228793,1159770,116407,115416,147908851,1237694,-3216,1733,2319942,-77924,91031,70818,103417876,3240777,472671,71957,397359462,4200689,-381640,-1139,-293941586,-959912
20260603,外資及陸資,760757,261330,1058958956,1508565,750079,262630,1048141407,1500091,10678,-1300,10817549,8474,201118,25826,321079912,3037026,837465,30161,1267532773,2532761,-636347,-4335,-946452861,504265
20260603,投信,1637,0,15322738,0,3078,11,1851430,837,-1441,-11,13471308,-837,99054,1,555150544,310,5623,511,49327277,110656,93431,-510,505823267,-110346
20260603,自營商,94724,220456,122062594,1220390,87672,203487,115528297,1064124,7052,16969,6534297,156266,92811,51082,99202628,3464070,467219,56723,389403342,4391839,-374408,-5641,-290200714,-927769
20260604,外資及陸資,714006,91459,1091022363,965875,733696,92965,1128053330,997219,-19690,-1506,-37030967,-31344,198030,28499,309596920,2874941,854067,34340,1273578708,2441090,-656037,-5841,-963981788,433851
20260604,投信,1013,0,8795978,0,7624,0,5871742,0,-6611,0,2924236,0,92499,1,551159222,283,5679,511,49300336,99743,86820,-510,501858886,-99460
20260604,自營商,96353,98981,136558302,1018761,104268,105539,135319843,1157985,-7915,-6558,1238459,-139224,97717,66427,111477189,3297914,480021,78625,392191956,4298087,-382304,-12198,-280714767,-1000173
20260605,外資及陸資,946501,288292,1660701594,1788350,928739,289728,1640647188,1782321,17762,-1436,20054406,6029,199394,26938,282792135,2587547,835899,30994,1205851718,2212894,-636505,-4056,-923059583,374653
20260605,投信,609,0,5259476,0,311,1,2532085,42,298,-1,2727391,-42,92871,1,542394151,229,5753,512,48789272,78670,87118,-511,493604879,-78441
20260605,自營商,146768,260603,194191894,1676827,146525,271647,185937920,1783848,243,-11044,8253974,-107021,106037,53627,118666904,2863567,487051,61864,384753044,3706317,-381014,-8237,-266086140,-842750
20260610,外資及陸資,1354628,316454,2197015137,2093556,1324210,320733,2182447495,2193359,30418,-4279,14567642,-99803,224206,30355,260128765,2409584,801722,33780,1030290488,2269006,-577516,-3425,-770161723,140578
20260610,投信,2564,0,22074234,0,3611,0,30930465,0,-1047,0,-8856231,0,85368,1,538844249,154,6100,1029,49729339,65364,79268,-1028,489114910,-65210
20260610,自營商,196253,259235,250524110,1878916,172513,262488,231437258,1818257,23740,-3253,19086852,60659,149116,68074,117564538,2904429,450708,66097,330409191,3422972,-301592,1977,-212844653,-518543
20260611,外資及陸資,1482515,105899,2324998765,1434690,1491307,105296,2339841852,1428008,-8792,603,-14843087,6682,228741,33965,260984546,2338992,814238,36787,1047298733,2178213,-585497,-2822,-786314187,160779
20260611,投信,5134,40,43289810,657,4608,800,34319213,46066,526,-760,8970597,-45409,85971,1,547265847,138,6177,1789,50225725,114342,79794,-1788,497040122,-114204
20260611,自營商,174420,122385,227394646,1632869,181585,123567,235636541,1743305,-7165,-1182,-8241895,-110436,154254,85625,118994344,2829655,463043,84828,340642254,3412625,-308789,797,-221647910,-582970
20260612,外資及陸資,1132782,205701,1859352221,1296957,1130801,209883,1879807904,1342625,1981,-4182,-20455683,-45668,237499,32496,271090154,2430442,822462,36094,1096633504,2271755,-584963,-3598,-825543350,158687
20260612,投信,8247,0,68454968,0,6296,300,51761965,15662,1951,-300,16693003,-15662,87746,1,575225915,179,6001,1789,49855481,141715,81745,-1788,525370434,-141536
20260612,自營商,142880,229203,181607691,1529644,151446,212132,190170327,1344752,-8566,17071,-8562636,184892,156399,74892,121281730,2914137,472425,67284,356323306,3399654,-316026,7608,-235041576,-485517
20260615,外資及陸資,1061812,72441,1911917538,958110,1042041,78255,1935804658,966362,19771,-5814,-23887120,-8252,246307,36686,305330376,2729942,816508,46098,1187579085,2545521,-570201,-9412,-882248709,184421
20260615,投信,31143,0,273466976,0,30597,120,267456106,1343,546,-120,6010870,-1343,87986,1,597912701,245,5695,1909,48681193,221546,82291,-1908,549231508,-221301
20260615,自營商,147354,83227,187470841,951973,159257,75542,200307209,888640,-11903,7685,-12836368,63333,157042,92359,132365460,3481892,484937,77055,390543414,3872499,-327895,15304,-258177954,-390607
20260616,外資及陸資,1051610,90515,1565146780,960435,1043980,93393,1593826799,951984,7630,-2878,-28680019,8451,257536,38361,317492660,2768657,820135,50651,1231327341,2575992,-562599,-12290,-913834681,192665
20260616,投信,28618,100,207921660,16679,29451,0,215102848,0,-833,100,-7181188,16679,87120,1,591304278,253,5662,1809,48600315,213777,81458,-1808,542703963,-213524
20260616,自營商,161157,98236,205887822,865403,176452,83815,217284801,824467,-15295,14421,-11396979,40936,162417,110667,129996625,3610583,506498,80897,401363470,3996504,-344081,29770,-271366845,-385921
20260617,外資及陸資,739552,282035,1123598762,1623700,766642,279760,1148921867,1588377,-27090,2275,-25323105,35323,144684,10446,226119848,658194,634052,13193,1111523069,979506,-489368,-2747,-885403221,-321312
20260617,投信,2075,47,18337959,625,1915,127,16987169,3969,160,-80,1350790,-3344,71009,7,582655223,634,5661,360,48798346,12243,65348,-353,533856877,-11609
20260617,自營商,162523,223594,225811742,1174925,174188,221544,209870130,1277926,-11665,2050,15941612,-103001,59318,24633,59015257,1308415,391894,25087,323188267,1253338,-332576,-454,-264173010,55077
20260618,外資及陸資,755967,62228,1204048514,922902,806394,64773,1224826096,927538,-50427,-2545,-20777582,-4636,156946,14351,238827529,789052,693415,19643,1164024790,1155179,-536469,-5292,-925197261,-366127
20260618,投信,2368,0,18545761,0,366,1240,3415539,78380,2002,-1240,15130222,-78380,72693,7,604332564,770,5343,1600,46617638,101792,67350,-1593,557714926,-101022
20260618,自營商,87709,83776,111989737,1211072,100861,77293,118755433,1404818,-13152,6483,-6765696,-193746,63142,48133,64521935,1710058,408891,42067,340436583,1868285,-345749,6066,-275914648,-158227
20260622,外資及陸資,610253,128002,1040679399,887875,637722,130159,1074132002,850199,-27469,-2157,-33452603,37676,173230,12773,265886919,863226,738051,17590,1257102915,1284261,-564821,-4817,-991215996,-421035
20260622,投信,2635,0,25508694,0,1267,202,1442651,12481,1368,-202,24066043,-12481,73961,5,649242541,825,5243,1500,47354602,160994,68718,-1495,601887939,-160169
20260622,自營商,77218,178592,115803346,1201339,85216,160258,119542173,1075635,-7998,18334,-3738827,125704,70819,36337,68256696,1919263,424569,34717,356399699,2187042,-353750,1620,-288143003,-267779
20260623,外資及陸資,928218,78300,1374391745,847895,955118,79176,1458396426,844843,-26900,-876,-84004681,3052,170677,17219,251578636,924027,759531,22912,1298158505,1292039,-588854,-5693,-1046579869,-368012
20260623,投信,226,0,1995158,0,1228,0,11633905,0,-1002,0,-9638747,0,73047,5,626980347,645,5331,1500,47198186,109305,67716,-1495,579782161,-108660
20260623,自營商,92371,113122,136662692,1264407,113308,113680,135750452,1399597,-20937,-558,912240,-135190,77692,52959,79425127,1997296,452698,51897,357056394,2364921,-375006,1062,-277631267,-367625
20260624,外資及陸資,1138911,242529,1802100894,1643614,1155729,243544,1853973036,1704869,-16818,-1015,-51872142,-61255,172083,15482,222245137,850732,769177,20223,1303917905,1190791,-597094,-4741,-1081672768,-340059
20260624,投信,6072,520,15287131,13596,896,940,8297055,55911,5176,-420,6990076,-42315,78588,5,623761079,478,5696,1630,49551869,100057,72892,-1625,574209210,-99579
20260624,自營商,113082,225573,201112809,1638906,147246,236012,191779201,1714157,-34164,-10439,9333608,-75251,79153,34451,100546389,1868034,488992,42582,365762915,2225332,-409839,-8131,-265216526,-357298
20260625,外資及陸資,1039460,67052,1707380085,882342,1035194,67190,1681236263,864022,4266,-138,26143822,18320,178759,19059,214742379,903557,773086,23938,1274330333,1226957,-594327,-4879,-1059587954,-323400
20260625,投信,5805,0,11593810,0,858,50,7986941,1887,4947,-50,3606869,-1887,83977,5,633267634,485,6138,1680,53801773,103009,77839,-1675,579465861,-102524
20260625,自營商,104414,93892,130920105,1035872,110409,86240,131280409,1041637,-5995,7652,-360304,-5765,84825,55601,100947241,1905912,500606,56070,368085421,2276339,-415781,-469,-267138180,-370427
20260626,外資及陸資,1167125,217964,2073660151,1602737,1142866,222287,2002143837,1679084,24259,-4323,71516314,-76347,201968,16220,232437534,986438,770560,21741,1164796969,1284243,-568592,-5521,-932359435,-297805
20260626,投信,902,530,8028135,13747,581,1200,5141253,60695,321,-670,2886882,-46948,84529,5,609677286,255,6369,1800,53414975,74327,78160,-1795,556262311,-74072
20260626,自營商,177559,211389,252434113,1818570,151177,222629,220801714,1814937,26382,-11240,31632399,3633,102164,35834,109886735,2046614,493358,41817,328988470,2286802,-391194,-5983,-219101735,-240188
