source_version,condition_variant_id,metric_basis,episode_count,stock_count,launch_count,no_launch_count,right_censored_count,retrospective_launch_rate_pct,unresolved_candidate_count,observed_d20_count,first_breakout_d20_positive_rate_pct,first_breakout_d20_neutral_rate_pct,first_breakout_d20_loss_rate_pct,first_breakout_d20_high_return_ge20_rate_pct,first_breakout_d20_mean_pct,first_breakout_d20_median_pct,first_breakout_d20_min_pct,first_breakout_d20_max_pct,metric_interpretation,research_only,formal_model_use_allowed,promotion_evidence_allowed,pdf_consumption_allowed,production_change
v2,absolute_or_two_month_yoy_ge25,candidate_exclusion_sensitivity_only,1318,1118,299,153,866,66.1504,0,1160,45.5172,1.3793,53.1034,14.2241,4.0048,-0.878,-31.8038,142.3963,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_strong,primary_all_rows,1454,1231,311,160,983,66.0297,141,1282,44.9298,1.248,53.8222,13.6505,3.9749,-1.0413,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,absolute_strong,candidate_exclusion_sensitivity_only,1313,1111,296,156,861,65.4867,0,1156,45.5017,1.3841,53.1142,14.1003,4.0027,-0.878,-31.8038,142.3963,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,two_month_yoy_ge15_only,primary_all_rows,302,294,52,84,166,38.2353,1,238,47.8992,1.2605,50.8403,10.5042,3.701,-0.1983,-21.617,108.4034,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v2,two_month_yoy_ge15_only,candidate_exclusion_sensitivity_only,301,293,52,83,166,38.5185,0,237,48.1013,1.2658,50.6329,10.5485,3.8025,-0.1361,-21.617,108.4034,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_latest_yoy_ge15,primary_all_rows,1889,1544,431,223,1235,65.9021,157,1682,46.4923,0.9512,52.5565,13.1391,3.9683,-0.5788,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_latest_yoy_ge15,candidate_exclusion_sensitivity_only,1732,1415,410,219,1103,65.1828,0,1536,47.2005,0.9766,51.8229,13.4766,4.022,-0.528,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_positive_accel20,primary_all_rows,1900,1572,411,223,1266,64.8265,158,1704,45.892,0.939,53.169,12.0305,3.3016,-0.7468,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_positive_accel20,candidate_exclusion_sensitivity_only,1742,1442,389,220,1133,63.8752,0,1557,46.4997,0.9634,52.5369,12.3314,3.3793,-0.678,-35.6747,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_turn_positive_accel20,primary_all_rows,1888,1562,410,222,1256,64.8734,157,1695,46.0767,0.944,52.9794,12.2714,3.3607,-0.7386,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
