condition_variant_id,metric_basis,outcome_version,episode_count,stock_count,observed_d20_count,unresolved_candidate_count,positive_rate_pct,neutral_rate_pct,loss_rate_pct,high_return_ge20_rate_pct,mean_pct,median_pct,min_pct,max_pct,metric_interpretation,research_only,formal_model_use_allowed,promotion_evidence_allowed,pdf_consumption_allowed,production_change
absolute_or_turn_positive_accel20,candidate_exclusion_sensitivity_only,frozen_v3,1731,1433,1549,0,46.6752743706,0.9683666882,52.3563589413,12.5887669464,3.4412593932,-0.6061000000,-35.6747000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_turn_positive_accel20,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1731,1433,1549,0,46.6752743706,0.9683666882,52.3563589413,12.5887669464,3.4412593932,-0.6061000000,-35.6747000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge10,primary_all_rows,frozen_v3,1749,1443,1553,156,47.1345782357,1.0946555055,51.7707662589,14.1661300708,4.2659965873,-0.5005000000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge10,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1749,1443,1553,156,47.1989697360,1.0946555055,51.7063747585,14.1661300708,4.3249223640,-0.4854000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge10,candidate_exclusion_sensitivity_only,frozen_v3,1593,1313,1408,0,48.0823863636,1.1363636364,50.7812500000,14.6306818182,4.3736907670,-0.3252000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge10,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1593,1313,1408,0,48.0823863636,1.1363636364,50.7812500000,14.6306818182,4.3736907670,-0.3252000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge12_5,primary_all_rows,frozen_v3,1688,1396,1496,156,46.7245989305,1.0026737968,52.2727272727,14.3048128342,4.1759142380,-0.6136000000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge12_5,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1688,1396,1496,156,46.7914438503,1.0026737968,52.2058823529,14.3048128342,4.2370851813,-0.5995000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge12_5,candidate_exclusion_sensitivity_only,frozen_v3,1532,1266,1351,0,47.5943745374,1.0362694301,51.3693560326,14.8038490007,4.2676125093,-0.4854000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge12_5,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1532,1266,1351,0,47.5943745374,1.0362694301,51.3693560326,14.8038490007,4.2676125093,-0.4854000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge15,primary_all_rows,frozen_v3,1625,1351,1447,156,46.0953697305,0.9675190048,52.9371112647,14.1672425708,4.1020806496,-0.7812000000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge15,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1625,1351,1447,156,46.1644782308,0.9675190048,52.8680027643,14.1672425708,4.1653230347,-0.7772000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge15,candidate_exclusion_sensitivity_only,frozen_v3,1469,1221,1302,0,46.9278033794,0.9984639017,52.0737327189,14.6697388633,4.1890072965,-0.6803000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge15,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1469,1221,1302,0,46.9278033794,0.9984639017,52.0737327189,14.6697388633,4.1890072965,-0.6803000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge15_cumulative_improving,primary_all_rows,frozen_v3,1618,1347,1441,156,45.9403192228,0.9715475364,53.0881332408,14.2956280361,4.1015594726,-0.7916000000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge15_cumulative_improving,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1618,1347,1441,156,46.0097154754,0.9715475364,53.0187369882,14.2956280361,4.1650651848,-0.7812000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge15_cumulative_improving,candidate_exclusion_sensitivity_only,frozen_v3,1462,1217,1296,0,46.7592592593,1.0030864198,52.2376543210,14.8148148148,4.1888302469,-0.6849500000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge15_cumulative_improving,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1462,1217,1296,0,46.7592592593,1.0030864198,52.2376543210,14.8148148148,4.1888302469,-0.6849500000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge17_5,primary_all_rows,frozen_v3,1580,1321,1408,156,46.0227272727,1.0653409091,52.9119318182,14.4886363636,4.2398631392,-0.7564500000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge17_5,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1580,1321,1408,156,46.0937500000,1.0653409091,52.8409090909,14.4886363636,4.3048572665,-0.7498500000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge17_5,candidate_exclusion_sensitivity_only,frozen_v3,1424,1191,1263,0,46.7933491686,1.1084718923,52.0981789390,15.0435471101,4.3353061758,-0.6061000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge17_5,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1424,1191,1263,0,46.7933491686,1.1084718923,52.0981789390,15.0435471101,4.3353061758,-0.6061000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge18,primary_all_rows,frozen_v3,1574,1316,1403,156,46.0441910192,1.0691375624,52.8866714184,14.6115466857,4.2097809694,-0.7576000000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge18,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1574,1316,1403,156,46.1154668567,1.0691375624,52.8153955809,14.6115466857,4.2750067222,-0.7553000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge18,candidate_exclusion_sensitivity_only,frozen_v3,1418,1186,1258,0,46.8203497615,1.1128775835,52.0667726550,15.1828298887,4.3021360095,-0.6420500000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge18,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1418,1186,1258,0,46.8203497615,1.1128775835,52.0667726550,15.1828298887,4.3021360095,-0.6420500000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge20,primary_all_rows,frozen_v3,1548,1295,1385,156,46.1371841155,1.0108303249,52.8519855596,14.5848375451,4.2981230325,-0.7576000000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge20,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1548,1295,1385,156,46.2093862816,1.0108303249,52.7797833935,14.5848375451,4.3641964847,-0.7553000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge20,candidate_exclusion_sensitivity_only,frozen_v3,1392,1165,1240,0,46.9354838710,1.0483870968,52.0161290323,15.1612903226,4.4021490323,-0.5995000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge20,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1392,1165,1240,0,46.9354838710,1.0483870968,52.0161290323,15.1612903226,4.4021490323,-0.5995000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge25,primary_all_rows,frozen_v3,1524,1273,1360,156,46.2500000000,0.9558823529,52.7941176471,14.3382352941,4.1615591912,-0.7498500000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge25,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1524,1273,1360,156,46.3235294118,0.9558823529,52.7205882353,14.3382352941,4.2288472289,-0.7262000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge25,candidate_exclusion_sensitivity_only,frozen_v3,1368,1143,1215,0,47.0781893004,0.9876543210,51.9341563786,14.8971193416,4.2514279012,-0.5882000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_or_two_month_yoy_ge25,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1368,1143,1215,0,47.0781893004,0.9876543210,51.9341563786,14.8971193416,4.2514279012,-0.5882000000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_strong,primary_all_rows,frozen_v3,1520,1268,1357,156,46.2048636699,0.9579955785,52.8371407517,14.2225497421,4.1373829035,-0.7553000000,-89.8320000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_strong,primary_all_rows,outcome_unit_reconciliation_v1_20260923,1520,1268,1357,156,46.2785556374,0.9579955785,52.7634487841,14.2225497421,4.2048196988,-0.7444000000,-40.9091000000,562.6506000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_strong,candidate_exclusion_sensitivity_only,frozen_v3,1364,1138,1212,0,47.0297029703,0.9900990099,51.9801980198,14.7689768977,4.2357932343,-0.5905500000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
absolute_strong,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,1364,1138,1212,0,47.0297029703,0.9900990099,51.9801980198,14.7689768977,4.2357932343,-0.5905500000,-31.8038000000,119.5918000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
two_month_yoy_ge15_only,primary_all_rows,frozen_v3,327,316,263,1,48.2889733840,1.1406844106,50.5703422053,11.7870722433,3.9130764259,-0.1361000000,-21.6170000000,108.4034000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
two_month_yoy_ge15_only,primary_all_rows,outcome_unit_reconciliation_v1_20260923,327,316,263,1,48.2889733840,1.1406844106,50.5703422053,11.7870722433,3.9130764259,-0.1361000000,-21.6170000000,108.4034000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
two_month_yoy_ge15_only,candidate_exclusion_sensitivity_only,frozen_v3,326,315,262,0,48.4732824427,1.1450381679,50.3816793893,11.8320610687,4.0056469466,-0.1274500000,-21.6170000000,108.4034000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
two_month_yoy_ge15_only,candidate_exclusion_sensitivity_only,outcome_unit_reconciliation_v1_20260923,326,315,262,0,48.4732824427,1.1450381679,50.3816793893,11.8320610687,4.0056469466,-0.1274500000,-21.6170000000,108.4034000000,frozen_breakout_close_D20_share_unit_observation_not_total_return_or_formal_win_rate,true,false,false,false,false
