event_date,event_end_date,stock_id,stock_name,market,event_type,event_name,event_status,event_confidence,catalyst_tags,source,source_url,days_to_event,proximity_bucket,expected_impact,notes,last_updated
20260522,20260522,1314,中石化,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,1338,廣華-KY,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,1416,廣豐,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,1417,嘉裕,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,1528,恩德,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,1529,樂事綠能,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,1609,大亞,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,2002,中鋼特別股,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,2014,中鴻,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,2634,漢翔,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,2637,慧洋-KY,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,2845,遠東銀,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,2850,新產,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,3006,晶豪科,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,3257,虹冠電,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-4,recent,calendar_event_not_standalone_catalyst,cash_dividend=2.80000000; ex_right_dividend_flag=息,2026-05-26 06:32:12 Asia/Taipei
20260522,20260522,4119,旭富,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,4994,傳奇,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,5521,工信,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,6139,亞翔,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,6443,元晶,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,6645,金萬林-創,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260522,20260522,6657,華安,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-39,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
