rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,abm_score,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,risk_label,risk_bucket,interpretation
40,6804,明係,other,single_name_signal,high,245.00,8,True,True,price_leading_tdcc,strong_momentum,63.00,3.27,19.18,13.71,9.55,1.29,10.00,179.27,10.00,20.00,0.00,0.27,late_or_chasing_risk,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
41,2107,厚生,biotechnology,mainstream_leader,high,245.00,14,False,False,insufficient_price_context,watch_only,52.00,,,,,,10.00,46.78,10.00,6.00,0.00,0.78,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
42,5543,桓鼎-KY,traditional industries,mainstream_leader,high,245.00,14,False,False,insufficient_price_context,watch_only,52.00,,,,,,10.00,153.62,10.00,16.00,0.00,0.62,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
43,8437,大地-KY,biotechnology,mainstream_leader,high,240.00,14,False,False,insufficient_price_context,watch_only,45.00,,,,,,10.00,46.78,10.00,6.00,0.00,0.78,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
44,1339,昭輝,traditional industries,mainstream_leader,high,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,100.00,3.33,-0.22,0.70,1.50,2.23,10.00,153.62,10.00,16.00,0.00,0.62,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
45,1907,永豐餘,traditional industries,mainstream_leader,high,235.00,7,True,True,insufficient_price_context,quiet_accumulation,92.00,4.66,8.98,8.68,6.53,1.33,10.00,153.62,10.00,16.00,0.00,0.62,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
46,3512,皇龍,other electronics,mainstream_leader,high,235.00,7,True,True,insufficient_price_context,quiet_accumulation,86.00,2.07,-5.28,3.66,0.13,0.13,10.00,225.04,10.00,28.00,0.00,1.04,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
47,4111,濟生,biotechnology,mainstream_leader,high,235.00,7,True,True,tdcc_leading_price,watch_only,76.00,0.34,-1.81,2.06,-0.61,3.32,10.00,46.78,10.00,6.00,0.00,0.78,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
48,6576,逸達,biotechnology,mainstream_leader,high,235.00,7,True,True,tdcc_price_divergence,quiet_accumulation,86.00,1.53,-5.23,-1.08,-1.37,0.45,10.00,46.78,10.00,6.00,0.00,0.78,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
49,6609,瀧澤科,other electronics,mainstream_leader,high,235.00,7,True,True,tdcc_price_divergence,quiet_accumulation,76.00,8.66,-4.14,-0.27,-2.24,0.19,10.00,225.04,10.00,28.00,0.00,1.04,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
50,7827,漢康-KY創,other,single_name_signal,high,235.00,7,True,True,insufficient_price_context,quiet_accumulation,87.00,11.79,-7.12,5.51,1.29,1.09,10.00,179.27,10.00,20.00,0.00,0.27,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
