generated_at,model_id,model_name_zh,research_artifact_id,entry_filter_id,entry_filter_rule,exit_rule_id,profit_target_pct,feature_column,feature_family,feature_type,feature_rule,win_count,non_win_count,win_feature_value_count,non_win_feature_value_count,win_mean,non_win_mean,delta_win_minus_non_win,win_median,non_win_median,win_share_pct,non_win_share_pct,delta_share_pct,interpretation_status,data_status,advisory_status,approved_for_daily,production_change
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_ready,theme_context,boolean_share,point-in-time theme context row available,63597,199448,63597,199448,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_mainstream_supported,theme_context,boolean_share,theme context mainstream-supported or overheated,63597,199448,63597,199448,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_leadership_supported,theme_context,boolean_share,theme context leadership supported,63597,199448,63597,199448,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_overheated,theme_context,boolean_share,theme context overheated,63597,199448,63597,199448,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_volume_attack_selected_flag,theme_context,boolean_share,theme context volume-attack selected,63597,199448,63597,199448,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,volume_ratio_prev20,technical_volume,numeric,signal volume ratio vs previous 20 trading days,49793,213252,49793,213252,0.98,0.98,0.0,0.78,0.75,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,return_20d_pct,price_structure,numeric,signal-date prior 20d return,49793,213252,49793,213252,0.48,-1.76,2.24,-0.45,-1.6,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,return_45d_pct,price_structure,numeric,signal-date prior 45d return,49793,213252,43870,180001,1.25,-1.91,3.16,-1.54,-2.73,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,range_width_45d_pct,price_structure,numeric,prior 45d range width,49793,213252,49793,213252,98.48,122.3,-23.82,26.03,21.51,,,,lower_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,close_position_45d_pct,price_structure,numeric,signal close position inside prior 45d range,49793,213252,49793,213252,40.1,34.54,5.56,38.46,28.57,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,prior_extension_ema23_20d_pct,price_structure,numeric,prior 20d high extension above 23EMA,49793,213252,49660,212433,8.59,7.49,1.1,7.43,6.02,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,prior_runup_20d_pct,price_structure,numeric,prior 20d range runup,49793,213252,49793,213252,16.97,14.38,2.59,14.51,11.91,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,pullback_from_high_20d_pct,price_structure,numeric,signal close pullback from prior 20d high,49793,213252,49793,213252,-8.02,-7.85,-0.17,-7.41,-6.66,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,rsi14,technical,numeric,RSI14 on signal date,49793,213252,49791,213237,48.51,44.95,3.56,49.12,45.45,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,obv_slope_5d,technical_volume,numeric,OBV 5d slope on signal date,49793,213252,49793,213252,-1159284.57,-582632.27,-576652.3,-27091.0,-37741.0,,,,lower_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,tdcc_consecutive_up_weeks,chip,numeric,TDCC consecutive up weeks,49793,213252,8688,27313,1.37,1.46,-0.09,1.0,0.0,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,theme_context_volume_ratio,theme_context,numeric,point-in-time theme context volume ratio,49793,213252,0,0,,,,,,,,,insufficient_feature_coverage,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,theme_context_return_20d_pct,theme_context,numeric,point-in-time theme context 20d return,49793,213252,0,0,,,,,,,,,insufficient_feature_coverage,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,macd_hist_gt0,technical,boolean_share,MACD histogram above zero,49793,213252,49793,213252,,,,,,46.72,41.99,4.73,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,kd_bullish_not_overheated,technical,boolean_share,KD bullish and not overheated,49793,213252,49793,213252,,,,,,42.76,43.74,-0.98,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,obv_above_ma20,technical_volume,boolean_share,OBV above OBV MA20,49793,213252,49793,213252,,,,,,49.22,40.56,8.66,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,tdcc_history_available,chip,boolean_share,TDCC history available,49793,213252,49793,213252,,,,,,17.45,12.81,4.64,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,high_thresholds_up,chip,boolean_share,large-holder TDCC high thresholds increased,49793,213252,49793,213252,,,,,,6.96,4.82,2.14,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,theme_context_ready,theme_context,boolean_share,point-in-time theme context row available,49793,213252,49793,213252,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,theme_context_mainstream_supported,theme_context,boolean_share,theme context mainstream-supported or overheated,49793,213252,49793,213252,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,theme_context_leadership_supported,theme_context,boolean_share,theme context leadership supported,49793,213252,49793,213252,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,theme_context_overheated,theme_context,boolean_share,theme context overheated,49793,213252,49793,213252,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp8_or_5ma_next_open,8.0,theme_context_volume_attack_selected_flag,theme_context,boolean_share,theme context volume-attack selected,49793,213252,49793,213252,,,,,,0.0,0.0,0.0,similar_between_success_and_non_success,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,volume_ratio_prev20,technical_volume,numeric,signal volume ratio vs previous 20 trading days,41879,221166,41879,221166,0.96,0.99,-0.03,0.76,0.76,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,return_20d_pct,price_structure,numeric,signal-date prior 20d return,41879,221166,41879,221166,0.38,-1.66,2.04,-0.6,-1.52,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,return_45d_pct,price_structure,numeric,signal-date prior 45d return,41879,221166,37025,186846,1.59,-1.86,3.45,-1.49,-2.69,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,range_width_45d_pct,price_structure,numeric,prior 45d range width,41879,221166,41879,221166,97.45,121.64,-24.19,27.03,21.46,,,,lower_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,close_position_45d_pct,price_structure,numeric,signal close position inside prior 45d range,41879,221166,41879,221166,39.68,34.82,4.86,38.1,29.1,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,prior_extension_ema23_20d_pct,price_structure,numeric,prior 20d high extension above 23EMA,41879,221166,41773,220320,9.12,7.43,1.69,7.96,5.98,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,prior_runup_20d_pct,price_structure,numeric,prior 20d range runup,41879,221166,41879,221166,17.9,14.3,3.6,15.36,11.86,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,pullback_from_high_20d_pct,price_structure,numeric,signal close pullback from prior 20d high,41879,221166,41879,221166,-8.55,-7.75,-0.8,-8.05,-6.55,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,rsi14,technical,numeric,RSI14 on signal date,41879,221166,41878,221150,48.16,45.14,3.02,48.82,45.69,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,obv_slope_5d,technical_volume,numeric,OBV 5d slope on signal date,41879,221166,41879,221166,-1468739.92,-544669.59,-924070.33,-37384.0,-36000.0,,,,lower_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,tdcc_consecutive_up_weeks,chip,numeric,TDCC consecutive up weeks,41879,221166,7358,28643,1.31,1.47,-0.16,1.0,0.0,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,theme_context_volume_ratio,theme_context,numeric,point-in-time theme context volume ratio,41879,221166,0,0,,,,,,,,,insufficient_feature_coverage,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,theme_context_return_20d_pct,theme_context,numeric,point-in-time theme context 20d return,41879,221166,0,0,,,,,,,,,insufficient_feature_coverage,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,macd_hist_gt0,technical,boolean_share,MACD histogram above zero,41879,221166,41879,221166,,,,,,45.06,42.48,2.58,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,kd_bullish_not_overheated,technical,boolean_share,KD bullish and not overheated,41879,221166,41879,221166,,,,,,42.06,43.84,-1.78,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp10_or_5ma_next_open,10.0,obv_above_ma20,technical_volume,boolean_share,OBV above OBV MA20,41879,221166,41879,221166,,,,,,48.19,41.06,7.13,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
