generated_at,model_id,model_name_zh,parameter_set_id,parameter_summary,parameter_role,production_parity_status,parity_blocker,variant_of,pdf_visibility,entry_basis,selected_stock_days,selected_unique_stocks,best_close_horizon_d1_d10,best_close_win_rate_pct,best_avg_close_return_pct,sample_status,apply_status,notes,d1_mature_count,d1_close_win_rate_pct,d1_avg_close_return_pct,d1_avg_high_return_pct,d2_mature_count,d2_close_win_rate_pct,d2_avg_close_return_pct,d2_avg_high_return_pct,d3_mature_count,d3_close_win_rate_pct,d3_avg_close_return_pct,d3_avg_high_return_pct,d5_mature_count,d5_close_win_rate_pct,d5_avg_close_return_pct,d5_avg_high_return_pct,d10_mature_count,d10_close_win_rate_pct,d10_avg_close_return_pct,d10_avg_high_return_pct,d20_mature_count,d20_close_win_rate_pct,d20_avg_close_return_pct,d20_avg_high_return_pct
2026-07-10 17:20:45 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol2_minvol500,收盤突破前20日高點 1% + 量比 >= 2 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,6080,1465,D+10,43.35,1.43,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,6080,37.66,-0.64,2.82,6065,40.73,-0.53,4.72,6053,40.56,-0.41,6.08,5950,40.99,-0.06,8.19,5852,43.35,1.43,12.07,5601,45.78,4.2,18.72
2026-07-10 17:20:45 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol2_minvol1000,收盤突破前20日高點 1% + 量比 >= 2 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,4927,1282,D+10,44.16,1.74,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,4927,38.24,-0.61,2.85,4913,41.4,-0.42,4.81,4904,41.29,-0.24,6.24,4824,41.92,0.15,8.41,4742,44.16,1.74,12.41,4554,46.73,4.81,19.35
2026-07-10 17:20:46 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol2_minvol2000,收盤突破前20日高點 1% + 量比 >= 2 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,3880,1095,D+10,44.06,1.62,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,3880,37.91,-0.65,2.83,3869,41.79,-0.4,4.85,3861,41.47,-0.24,6.29,3799,41.62,0.1,8.45,3738,44.06,1.62,12.39,3590,46.96,4.79,19.39
2026-07-10 17:20:46 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol3_minvol500,收盤突破前20日高點 1% + 量比 >= 3 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,4262,1330,D+10,42.04,1.29,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,4262,37.56,-0.68,2.89,4253,39.48,-0.64,4.75,4244,39.8,-0.5,6.09,4169,40.13,-0.07,8.22,4098,42.04,1.29,12.06,3926,44.27,3.78,18.49
2026-07-10 17:20:46 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol3_minvol1000,收盤突破前20日高點 1% + 量比 >= 3 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,3389,1137,D+10,42.82,1.64,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,3389,38.06,-0.66,2.89,3381,39.99,-0.55,4.81,3375,40.53,-0.34,6.21,3321,41.04,0.19,8.45,3260,42.82,1.64,12.38,3136,45.31,4.45,19.19
2026-07-10 17:20:46 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol3_minvol2000,收盤突破前20日高點 1% + 量比 >= 3 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,2615,956,D+10,42.74,1.52,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,2615,37.74,-0.7,2.87,2608,40.26,-0.52,4.86,2603,40.57,-0.32,6.28,2560,40.82,0.18,8.5,2515,42.74,1.52,12.39,2419,45.85,4.44,19.18
2026-07-10 17:20:46 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol5_minvol500,收盤突破前20日高點 1% + 量比 >= 5 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,2119,988,D+10,38.68,0.32,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,2119,36.86,-0.76,2.97,2116,37.62,-0.87,4.82,2110,38.48,-0.8,6.11,2073,37.39,-0.6,8.08,2037,38.68,0.32,11.45,1951,40.39,2.34,17.21
2026-07-10 17:20:46 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol5_minvol1000,收盤突破前20日高點 1% + 量比 >= 5 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1661,819,D+10,38.54,0.62,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1661,36.97,-0.75,2.94,1658,38.06,-0.76,4.89,1654,39.84,-0.58,6.24,1631,38.44,-0.34,8.3,1601,38.54,0.62,11.7,1537,41.18,2.75,17.6
2026-07-10 17:20:46 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.01_vol5_minvol2000,收盤突破前20日高點 1% + 量比 >= 5 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1275,677,D+10,37.98,0.37,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1275,37.65,-0.69,2.94,1272,39.47,-0.61,5.01,1268,40.14,-0.43,6.43,1250,38.0,-0.32,8.49,1227,37.98,0.37,11.67,1179,41.73,2.75,17.58
2026-07-10 17:20:46 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol2_minvol500,收盤突破前20日高點 2% + 量比 >= 2 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,4794,1340,D+10,43.42,1.43,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,4794,38.17,-0.67,2.96,4784,41.1,-0.57,4.99,4776,40.72,-0.46,6.4,4700,40.72,-0.14,8.58,4618,43.42,1.43,12.56,4403,45.88,4.32,19.53
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol2_minvol1000,收盤突破前20日高點 2% + 量比 >= 2 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,3906,1154,D+10,44.13,1.76,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,3906,38.35,-0.65,2.97,3897,41.57,-0.48,5.05,3892,41.5,-0.3,6.53,3832,41.73,0.07,8.79,3764,44.13,1.76,12.89,3604,46.89,5.04,20.24
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol2_minvol2000,收盤突破前20日高點 2% + 量比 >= 2 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,3093,970,D+10,43.78,1.59,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,3093,37.8,-0.71,2.95,3085,42.01,-0.46,5.08,3081,41.8,-0.28,6.6,3035,41.32,0.02,8.84,2983,43.78,1.59,12.87,2857,47.32,5.04,20.28
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol3_minvol500,收盤突破前20日高點 2% + 量比 >= 3 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,3510,1216,D+10,42.18,1.28,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,3510,38.01,-0.7,3.0,3504,39.67,-0.66,4.95,3497,40.03,-0.51,6.33,3441,40.1,-0.08,8.55,3381,42.18,1.28,12.45,3233,44.32,3.89,19.11
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol3_minvol1000,收盤突破前20日高點 2% + 量比 >= 3 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,2804,1029,D+10,42.77,1.61,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,2804,38.27,-0.68,2.99,2799,40.01,-0.59,5.0,2795,40.86,-0.35,6.44,2754,40.99,0.17,8.76,2703,42.77,1.61,12.74,2597,45.24,4.62,19.86
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol3_minvol2000,收盤突破前20日高點 2% + 量比 >= 3 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,2177,857,D+10,42.35,1.4,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,2177,37.71,-0.75,2.96,2172,40.47,-0.56,5.04,2169,40.99,-0.33,6.52,2137,40.52,0.12,8.81,2097,42.35,1.4,12.71,2013,45.9,4.61,19.84
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol5_minvol500,收盤突破前20日高點 2% + 量比 >= 5 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1869,925,D+10,38.0,0.12,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1869,37.51,-0.72,3.06,1867,37.33,-0.9,4.97,1862,38.02,-0.89,6.24,1832,37.06,-0.72,8.23,1800,38.0,0.12,11.55,1727,39.9,2.13,17.33
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol5_minvol1000,收盤突破前20日高點 2% + 量比 >= 5 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1469,765,D+10,37.94,0.39,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1469,37.44,-0.72,3.02,1467,37.83,-0.8,5.01,1464,39.34,-0.67,6.36,1444,37.95,-0.48,8.43,1418,37.94,0.39,11.72,1365,40.66,2.5,17.65
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.02_vol5_minvol2000,收盤突破前20日高點 2% + 量比 >= 5 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1138,630,D+10,37.01,0.1,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1138,37.96,-0.66,3.01,1136,39.52,-0.6,5.15,1133,39.89,-0.47,6.59,1118,37.48,-0.43,8.67,1097,37.01,0.1,11.72,1055,41.42,2.55,17.69
2026-07-10 17:20:47 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol2_minvol500,收盤突破前20日高點 3% + 量比 >= 2 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,3842,1233,D+10,43.1,1.43,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,3842,38.68,-0.68,3.08,3836,41.16,-0.6,5.22,3829,40.61,-0.52,6.69,3766,40.41,-0.19,8.95,3696,43.1,1.43,13.03,3515,45.6,4.36,20.19
2026-07-10 17:20:48 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol2_minvol1000,收盤突破前20日高點 3% + 量比 >= 2 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,3160,1054,D+10,44.33,1.92,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,3160,38.89,-0.66,3.08,3155,42.09,-0.46,5.28,3150,41.65,-0.29,6.84,3101,41.7,0.13,9.18,3043,44.33,1.92,13.46,2907,47.06,5.31,21.08
2026-07-10 17:20:48 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol2_minvol2000,收盤突破前20日高點 3% + 量比 >= 2 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,2536,888,D+10,43.62,1.56,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,2536,38.17,-0.73,3.03,2531,42.55,-0.47,5.27,2527,41.63,-0.32,6.85,2487,41.13,0.0,9.16,2444,43.62,1.56,13.29,2336,47.09,5.09,20.88
2026-07-10 17:20:48 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol3_minvol500,收盤突破前20日高點 3% + 量比 >= 3 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,2906,1123,D+10,41.86,1.26,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,2906,38.2,-0.73,3.09,2901,39.43,-0.7,5.12,2895,39.76,-0.57,6.56,2846,39.81,-0.11,8.84,2795,41.86,1.26,12.82,2667,44.32,3.93,19.67
2026-07-10 17:20:48 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol3_minvol1000,收盤突破前20日高點 3% + 量比 >= 3 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,2352,950,D+10,43.05,1.74,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,2352,38.48,-0.71,3.07,2348,40.12,-0.59,5.17,2344,40.78,-0.34,6.69,2309,41.06,0.23,9.06,2265,43.05,1.74,13.21,2172,45.72,4.88,20.58
2026-07-10 17:20:48 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol3_minvol2000,收盤突破前20日高點 3% + 量比 >= 3 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1844,787,D+10,42.22,1.39,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1844,37.85,-0.78,3.03,1840,40.54,-0.58,5.18,1837,40.61,-0.36,6.72,1808,40.38,0.12,9.07,1774,42.22,1.39,13.07,1701,45.91,4.62,20.29
2026-07-10 17:20:48 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol5_minvol500,收盤突破前20日高點 3% + 量比 >= 5 + 20日均量 >= 500張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1614,852,D+10,38.18,0.1,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1614,37.61,-0.75,3.13,1612,36.91,-0.94,5.05,1607,37.71,-0.96,6.36,1580,36.9,-0.76,8.4,1553,38.18,0.1,11.72,1489,40.09,2.01,17.53
2026-07-10 17:20:48 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol5_minvol1000,收盤突破前20日高點 3% + 量比 >= 5 + 20日均量 >= 1000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1281,705,D+10,38.67,0.55,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1281,37.55,-0.72,3.09,1279,37.69,-0.79,5.12,1276,39.18,-0.65,6.52,1259,38.36,-0.4,8.64,1236,38.67,0.55,12.05,1190,41.51,2.65,18.04
2026-07-10 17:20:48 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol5_minvol2000,收盤突破前20日高點 3% + 量比 >= 5 + 20日均量 >= 2000張 + 實體紅K,parameter_variant,variant_not_baseline,,,deprecated_research_only_not_pdf_core,signal_date_next_open,1004,580,D+9,38.07,0.19,ok_first_pass,candidate_parameter_review,主條件是前20日高點突破、量能放大、流動性與實體紅K。漲幅、過熱、均線與60日高點不作為此模型否決條件。 Legacy v1 is isolated after the v2 split and must not be treated as a production PDF core model.,1004,38.05,-0.66,3.06,1002,39.32,-0.63,5.23,999,39.44,-0.5,6.7,985,37.77,-0.38,8.85,967,37.54,0.17,12.0,931,42.0,2.54,17.93
