rule_name,rule_family,source_type,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,top_theme_status_counts,sample_status
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+20,D+1_open,10.0,1158,703,60.71,0.91,179,149,13.73,21.94,0.86,19.0,strong_bull=1064; mild_bull=94,mainstream_overheated=1158,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+20,D+1_open,10.0,809,491,60.69,0.64,171,140,13.24,20.18,0.8,15.2,strong_bull=732; mild_bull=77,mainstream_overheated=809,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,96,58,60.42,0.08,32,23,12.64,17.36,0.97,100.0,strong_bull=70; range_or_unclear=21; mild_bull=5,mainstream_overheated=96,insufficient_sample
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,89,53,59.55,0.07,29,20,12.5,17.33,1.04,100.0,strong_bull=64; range_or_unclear=20; mild_bull=5,mainstream_overheated=89,insufficient_sample
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,89,53,59.55,0.07,29,20,12.5,17.33,1.04,100.0,strong_bull=64; range_or_unclear=20; mild_bull=5,mainstream_overheated=89,insufficient_sample
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,19,11,57.89,0.01,13,8,15.07,18.87,0.77,100.0,strong_bull=15; range_or_unclear=2; mild_bull=2,mainstream_overheated=19,insufficient_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+20,D+1_open,10.0,1601,810,50.59,1.05,189,137,10.18,14.53,0.61,18.05,strong_bull=1344; mild_bull=257,mainstream_supported=1601,provisional_latest_theme_label
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,41,18,43.9,0.02,14,3,5.84,12.22,0.81,100.0,strong_bull=31; range_or_unclear=7; mild_bull=2; weak_or_correction=1,non_mainstream=41,insufficient_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+20,D+1_open,10.0,14057,6154,43.78,8.01,1695,1066,8.04,15.3,0.63,15.17,strong_bull=11859; mild_bull=2198,unlabeled=9971; mainstream_overheated=1929; mainstream_supported=1601; non_mainstream=556,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+20,D+1_open,10.0,11859,5108,43.07,6.64,1648,998,7.88,14.97,0.7,16.93,strong_bull=11859,unlabeled=8395; mainstream_overheated=1627; mainstream_supported=1344; non_mainstream=493,ok_initial_sample
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+20,D+1_open,10.0,580,240,41.38,0.31,173,87,7.38,13.42,0.8,100.0,strong_bull=435; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=379; mainstream_supported=96; mainstream_overheated=66; non_mainstream=39,ok_initial_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+20,D+1_open,10.0,733,296,40.38,0.39,210,105,7.09,13.02,0.72,100.0,strong_bull=549; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=482; mainstream_supported=121; mainstream_overheated=89; non_mainstream=41,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+20,D+1_open,10.0,270,89,32.96,0.12,83,36,5.36,10.35,0.63,100.0,strong_bull=189; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=199; mainstream_supported=40; non_mainstream=18; mainstream_overheated=13,ok_initial_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,66,29,43.94,0.1,23,13,8.5,10.66,0.95,100.0,strong_bull=53; range_or_unclear=10; mild_bull=3,mainstream_overheated=66,insufficient_sample
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+5,D+1_open,10.0,56,23,41.07,0.08,23,13,8.11,9.59,0.89,100.0,strong_bull=53; mild_bull=3,mainstream_overheated=56,insufficient_sample
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,96,34,35.42,0.11,32,17,6.92,9.05,0.97,100.0,strong_bull=70; range_or_unclear=21; mild_bull=5,mainstream_overheated=96,insufficient_sample
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,89,31,34.83,0.1,29,15,6.67,8.9,1.04,100.0,strong_bull=64; range_or_unclear=20; mild_bull=5,mainstream_overheated=89,insufficient_sample
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,89,31,34.83,0.1,29,15,6.67,8.9,1.04,100.0,strong_bull=64; range_or_unclear=20; mild_bull=5,mainstream_overheated=89,insufficient_sample
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+5,D+1_open,10.0,69,24,34.78,0.08,29,14,7.06,8.64,1.11,100.0,strong_bull=64; mild_bull=5,mainstream_overheated=69,insufficient_sample
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,34,11,32.35,0.04,16,8,7.52,8.23,1.1,100.0,strong_bull=29; range_or_unclear=3; mild_bull=2,mainstream_overheated=34,insufficient_sample
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,19,6,31.58,0.02,13,6,7.32,8.85,0.77,100.0,strong_bull=15; range_or_unclear=2; mild_bull=2,mainstream_overheated=19,insufficient_sample
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,221,69,31.22,0.23,80,36,5.67,8.35,1.21,40.72,strong_bull=214; mild_bull=7,mainstream_overheated=221,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1061,326,30.73,1.09,182,115,5.61,8.72,0.67,13.29,strong_bull=944; mild_bull=117,mainstream_overheated=1061,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1929,576,29.86,1.92,207,146,5.45,8.45,0.79,12.7,strong_bull=1627; mild_bull=302,mainstream_overheated=1929,provisional_latest_theme_label
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,405,120,29.63,0.4,110,59,5.71,8.44,0.85,8.15,strong_bull=326; mild_bull=79,mainstream_overheated=405,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,809,239,29.54,0.8,171,101,5.32,8.29,0.8,15.2,strong_bull=732; mild_bull=77,mainstream_overheated=809,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1158,327,28.24,1.09,179,105,5.26,8.13,0.86,19.0,strong_bull=1064; mild_bull=94,mainstream_overheated=1158,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,580,157,27.07,0.52,173,68,4.51,7.93,0.8,100.0,strong_bull=435; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=379; mainstream_supported=96; mainstream_overheated=66; non_mainstream=39,ok_initial_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,733,179,24.42,0.6,210,79,4.25,7.33,0.72,100.0,strong_bull=549; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=482; mainstream_supported=121; mainstream_overheated=89; non_mainstream=41,ok_initial_sample
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,41,9,21.95,0.03,14,2,3.31,6.46,0.81,100.0,strong_bull=31; range_or_unclear=7; mild_bull=2; weak_or_correction=1,non_mainstream=41,insufficient_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1601,346,21.61,1.15,189,100,3.85,6.35,0.61,18.05,strong_bull=1344; mild_bull=257,mainstream_supported=1601,provisional_latest_theme_label
all_stock__vol2__market_bull,market_volume,strict_market,D+5,D+1_open,10.0,14057,3002,21.36,9.99,1695,809,3.6,6.57,0.63,15.17,strong_bull=11859; mild_bull=2198,unlabeled=9971; mainstream_overheated=1929; mainstream_supported=1601; non_mainstream=556,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+5,D+1_open,10.0,11859,2502,21.1,8.33,1648,731,3.55,6.5,0.7,16.93,strong_bull=11859,unlabeled=8395; mainstream_overheated=1627; mainstream_supported=1344; non_mainstream=493,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,270,53,19.63,0.18,83,26,3.72,6.51,0.63,100.0,strong_bull=189; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=199; mainstream_supported=40; non_mainstream=18; mainstream_overheated=13,ok_initial_sample
