rank,signal_date,stock_id,stock_name,theme,theme_mainstream_status,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_four_threshold_weekly_increase_sum,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,price_return_20d,distance_ma20_pct,relative_return_vs_benchmark,ranking_note_zh
309,20260807,2102,泰豐,橡膠工業,mainstream_leader,-0.41,-0.41,0.4099999999999966,0.39000000000000057,0.35999999999999943,0.5799999999999983,1.7399999999999949,4.59,1,0.0,5.0,291.87,10.0,0,0.0,6,True,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-1.5748031496063075,-1.4584154513204606,-1.0969977438777256,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 與股價背離
310,20260807,8068,全達,電子通路業,mainstream_leader,-0.57,-0.57,-0.03999999999999915,-0.05000000000000426,-0.05000000000000426,1.1799999999999997,1.1799999999999997,4.43,1,0.0,5.0,370.8,10.0,0,0.0,1,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
311,20260807,3388,崇越電,電子零組件業,mainstream_leader,-0.9,-0.9,1.519999999999996,0.269999999999996,0.27999999999999403,0.3000000000000007,2.369999999999987,4.1,1,0.0,5.0,487.8,10.0,0,0.0,2,True,True,tdcc_leading_price,TDCC 領先股價 / 潛伏吸籌,strong_but_pre_move,籌碼強但尚未發動,-7.904642409033869,-1.191357609207766,2.7562984300962823,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 領先股價 / 潛伏吸籌
312,20260807,3596,智易,低軌衛星,mainstream_leader,-1.09,-1.09,0.6200000000000045,0.9099999999999966,-0.269999999999996,-0.6799999999999997,1.5300000000000011,-1.09,2,5.0,5.0,872.26,10.0,0,0.0,1,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 2/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
313,20260807,2059,川湖,電子零組件業,mainstream_leader,-1.16,-1.16,0.20000000000000284,0.11999999999999744,0.9600000000000009,0.13000000000000256,1.4100000000000037,3.84,1,0.0,5.0,656.38,10.0,0,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,24.76837554045708,22.636068360501472,23.648537113045652,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 後股價過熱
314,20260807,6223,旺矽,半導體設備 / CoWoS,mainstream_leader,-1.23,-1.23,0.18999999999999773,0.21999999999999886,-0.6199999999999974,1.25,1.6599999999999966,3.77,1,0.0,5.0,750.25,10.0,0,0.0,3,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
315,20260807,8044,網家,數位雲端,mainstream_leader,-1.33,-1.33,-0.23000000000000398,0.21999999999999886,0.21999999999999886,0.7000000000000028,1.1400000000000006,3.67,1,0.0,5.0,400.65,10.0,0,0.0,5,False,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,1.2962962962963065,2.790566569576236,6.294999354700526,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
316,20260807,2069,運錩,鋼鐵工業,mainstream_leader,-1.42,-1.42,0.19999999999999574,0.11999999999999744,0.14000000000000057,0.6799999999999997,1.1399999999999935,3.58,1,0.0,5.0,302.45,10.0,0,0.0,2,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,7.182320441988943,5.348900352973107,4.49925312690821,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
317,20260807,3356,奇偶,光電業,mainstream_leader,-1.42,-1.42,0.23999999999999488,0.9800000000000004,0.17999999999999972,0.21000000000000085,1.6099999999999959,3.58,1,0.0,5.0,422.47,10.0,0,0.0,9,True,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-6.343906510851416,-2.6970774434134093,-2.7980566632369364,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 與股價背離
318,20260807,2414,精技,電子通路業,mainstream_leader,-1.44,-1.44,0.8299999999999983,0.28000000000000114,0.3100000000000023,0.30999999999999517,1.7299999999999969,3.56,1,0.0,5.0,656.48,10.0,0,0.0,2,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,-7.528641571194761,-3.517759562841538,4.147530176370784,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
319,20260807,4935,茂林-KY,光電業,mainstream_leader,-1.5,-1.5,0.04999999999999716,0.04999999999999716,0.05000000000000426,0.7999999999999972,0.9499999999999957,3.5,1,0.0,5.0,114.91,10.0,0,0.0,4,True,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-3.347280334728042,-1.8622105784889875,-3.272194594271427,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 與股價背離
320,20260807,2397,友通,電腦及週邊設備業,mainstream_leader,-1.66,-1.66,0.3299999999999983,0.789999999999992,0.20999999999999375,0.20000000000000284,1.529999999999987,3.34,1,0.0,5.0,573.96,10.0,0,0.0,1,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,3.8655462184873812,7.66550522648084,3.4778054057285845,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
321,20260807,6756,威鋒電子,半導體業,mainstream_leader,-1.67,-1.67,0.30000000000000426,1.1299999999999955,0.10999999999999943,0.10999999999999943,1.6499999999999986,3.33,1,0.0,5.0,187.86,10.0,0,0.0,5,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,0.9803921568627416,8.255820064112672,7.43523012016264,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
322,20260807,3011,今皓,電子零組件業,mainstream_leader,-1.77,-1.77,0.4799999999999969,1.0599999999999987,0.08999999999999986,0.08999999999999986,1.7199999999999953,3.23,1,0.0,5.0,602.92,10.0,0,0.0,2,True,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-13.805970149253731,-4.049844236760114,-3.67157218763241,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 與股價背離
323,20260807,3483,力致,電腦及週邊設備業,mainstream_leader,-1.78,-1.78,-0.25,-0.16000000000000014,-0.029999999999997584,0.9700000000000006,0.9700000000000006,3.22,1,0.0,5.0,391.85,10.0,0,0.0,3,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
