rule_name,rule_family,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,sample_status
vol5_avg_ge_2 + market_bull + tdcc_high_up + rsi_50_75 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,70,44,62.86,0.08,42,27,17.16,21.43,0.56,100.0,strong_bull=65; mild_bull=5,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_all_up + rsi_50_75 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,55,34,61.82,0.06,33,22,15.69,21.9,0.77,100.0,strong_bull=55,insufficient_sample
day_vol_ge_2 + tdcc_high_up + rsi_50_75 + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,88,54,61.36,0.1,63,41,14.81,20.66,1.15,100.0,strong_bull=79; range_or_unclear=8; mild_bull=1,insufficient_sample
day_vol_ge_2 + tdcc_all_up + bb_width_not_extreme + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,31,19,61.29,0.04,22,14,14.11,20.78,1.24,100.0,strong_bull=29; range_or_unclear=2,insufficient_sample
vol5_avg_ge_1_5 + market_strong_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,80,49,61.25,0.09,58,37,14.51,19.13,0.89,100.0,strong_bull=80,insufficient_sample
vol5_avg_ge_1_5 + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,85,52,61.18,0.1,55,36,15.07,19.59,1.3,100.0,strong_bull=64; range_or_unclear=15; mild_bull=5; weak_or_correction=1,insufficient_sample
vol5_avg_ge_1_5 + tdcc_all_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,85,52,61.18,0.1,55,36,15.07,19.59,1.3,100.0,strong_bull=64; range_or_unclear=15; mild_bull=5; weak_or_correction=1,insufficient_sample
vol5_avg_ge_1_5 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,86,52,60.47,0.1,61,39,14.15,18.6,0.93,100.0,strong_bull=80; mild_bull=6,insufficient_sample
vol5_avg_ge_3 + bb_width_not_extreme + return_10d_20_50,price_position+technical+volume,D+10,D+1_open,10.0,35,21,60.0,0.04,31,18,14.72,19.82,1.31,25.71,strong_bull=35,insufficient_sample
vol5_avg_ge_3 + market_bull + bb_width_not_extreme + return_10d_20_50,market+price_position+technical+volume,D+10,D+1_open,10.0,35,21,60.0,0.04,31,18,14.72,19.82,1.31,25.71,strong_bull=35,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + bb_width_not_extreme + return_10d_20_50,market+price_position+technical+volume,D+10,D+1_open,10.0,35,21,60.0,0.04,31,18,14.72,19.82,1.31,25.71,strong_bull=35,insufficient_sample
vol5_avg_ge_1_5 + market_bull + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,69,41,59.42,0.08,48,30,14.11,19.23,1.04,100.0,strong_bull=64; mild_bull=5,insufficient_sample
vol5_avg_ge_1_5 + market_strong_bull + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,64,38,59.38,0.07,46,28,14.15,19.79,1.0,100.0,strong_bull=64,insufficient_sample
day_vol_ge_2 + market_bull + tdcc_high_up + rsi_50_75 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,80,47,58.75,0.09,58,35,14.51,21.07,1.03,100.0,strong_bull=79; mild_bull=1,insufficient_sample
vol5_avg_ge_2 + market_bull + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,36,21,58.33,0.04,26,17,14.63,17.09,0.72,100.0,strong_bull=33; mild_bull=3,insufficient_sample
day_vol_ge_2 + market_strong_bull + tdcc_high_up + rsi_50_75 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,79,46,58.23,0.09,57,34,14.11,21.1,1.04,100.0,strong_bull=79,insufficient_sample
vol5_avg_ge_1_5 + tdcc_all_up + bb_width_not_extreme + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,31,18,58.06,0.03,19,11,14.91,21.84,1.17,100.0,strong_bull=29; range_or_unclear=2,insufficient_sample
day_vol_ge_2 + tdcc_all_up + rsi_50_75 + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,71,41,57.75,0.08,52,32,14.11,20.79,1.37,100.0,strong_bull=62; range_or_unclear=8; mild_bull=1,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,33,19,57.58,0.04,23,15,14.19,17.26,0.68,100.0,strong_bull=33,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,40,23,57.5,0.04,29,18,14.63,17.34,0.3,100.0,strong_bull=40,insufficient_sample
day_vol_ge_2 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,63,36,57.14,0.07,46,29,12.57,16.9,1.23,100.0,strong_bull=60; mild_bull=3,insufficient_sample
vol5_avg_ge_2 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,44,25,56.82,0.05,33,20,14.63,17.0,0.37,100.0,strong_bull=40; mild_bull=4,insufficient_sample
day_vol_ge_2 + market_strong_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,60,34,56.67,0.06,44,27,12.45,16.98,1.24,100.0,strong_bull=60,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_high_up + bb_width_not_extreme + return_10d_10_40,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,53,30,56.6,0.06,35,18,14.11,17.37,0.93,100.0,strong_bull=53,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_all_up + bb_width_not_extreme + return_10d_10_40,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,39,22,56.41,0.04,25,13,14.11,17.36,1.15,100.0,strong_bull=39,insufficient_sample
vol5_avg_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_10_40,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,57,32,56.14,0.06,39,20,14.11,17.62,0.95,100.0,strong_bull=53; mild_bull=4,insufficient_sample
day_vol_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,75,42,56.0,0.08,51,33,12.32,16.41,1.09,100.0,strong_bull=60; range_or_unclear=11; mild_bull=3; weak_or_correction=1,insufficient_sample
day_vol_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,75,42,56.0,0.08,51,33,12.32,16.41,1.09,100.0,strong_bull=60; range_or_unclear=11; mild_bull=3; weak_or_correction=1,insufficient_sample
vol5_avg_ge_2 + market_bull + tdcc_all_up + bb_width_not_extreme + return_10d_10_40,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,43,24,55.81,0.05,29,15,14.11,17.7,1.16,100.0,strong_bull=39; mild_bull=4,insufficient_sample
vol5_avg_ge_2 + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,45,25,55.56,0.05,30,20,14.19,17.07,0.85,100.0,strong_bull=33; range_or_unclear=8; mild_bull=3; weak_or_correction=1,insufficient_sample
vol5_avg_ge_2 + tdcc_all_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,45,25,55.56,0.05,30,20,14.19,17.07,0.85,100.0,strong_bull=33; range_or_unclear=8; mild_bull=3; weak_or_correction=1,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_all_up + bb_width_not_extreme + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,36,20,55.56,0.04,24,14,13.47,18.09,1.03,100.0,strong_bull=36,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_high_up + bb_width_not_extreme + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,47,26,55.32,0.05,32,17,13.71,18.57,0.88,100.0,strong_bull=47,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + macd_hist_pos + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,38,21,55.26,0.04,22,13,13.14,15.29,0.59,100.0,strong_bull=38,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + macd_hist_pos + near_60d_high_5pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,40,22,55.0,0.04,26,15,13.91,14.83,0.64,100.0,strong_bull=40,insufficient_sample
vol5_avg_ge_2 + tdcc_all_up + bb_width_not_extreme + return_10d_10_40,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,51,28,54.9,0.05,33,17,13.71,17.13,1.3,100.0,strong_bull=39; range_or_unclear=8; mild_bull=4,insufficient_sample
day_vol_ge_2 + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,62,34,54.84,0.06,42,27,12.45,16.72,1.29,100.0,strong_bull=49; range_or_unclear=9; mild_bull=3; weak_or_correction=1,insufficient_sample
day_vol_ge_2 + tdcc_all_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,62,34,54.84,0.06,42,27,12.45,16.72,1.29,100.0,strong_bull=49; range_or_unclear=9; mild_bull=3; weak_or_correction=1,insufficient_sample
vol5_avg_ge_2 + tdcc_high_streak2 + macd_hist_pos + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,53,29,54.72,0.06,25,14,12.78,14.82,0.68,100.0,strong_bull=39; range_or_unclear=11; mild_bull=2; weak_or_correction=1,insufficient_sample
vol5_avg_ge_2 + tdcc_high_streak2 + close_above_ema23 + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,53,29,54.72,0.06,25,14,12.78,14.82,0.68,100.0,strong_bull=39; range_or_unclear=11; mild_bull=2; weak_or_correction=1,insufficient_sample
vol5_avg_ge_2 + tdcc_high_up + bb_width_not_extreme + return_10d_10_40,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,66,36,54.55,0.07,44,22,13.47,17.01,1.11,100.0,strong_bull=53; range_or_unclear=9; mild_bull=4,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_high_up + return_10d_20_50,market+price_position+tdcc+volume,D+10,D+1_open,10.0,33,18,54.55,0.03,18,9,12.78,17.24,0.36,100.0,strong_bull=33,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_high_up + macd_hist_pos + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,33,18,54.55,0.03,18,9,12.78,17.24,0.36,100.0,strong_bull=33,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_high_up + close_above_ema23 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,33,18,54.55,0.03,18,9,12.78,17.24,0.36,100.0,strong_bull=33,insufficient_sample
vol5_avg_ge_3 + tdcc_all_up + macd_hist_pos + return_20d_10_60,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,61,33,54.1,0.06,29,17,12.57,14.67,0.29,100.0,strong_bull=50; range_or_unclear=8; weak_or_correction=2; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + macd_hist_pos + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,50,27,54.0,0.05,26,15,12.68,15.52,0.54,100.0,strong_bull=50,insufficient_sample
day_vol_ge_2 + market_bull + tdcc_all_up + rsi_50_75 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,63,34,53.97,0.06,47,26,12.8,21.33,1.25,100.0,strong_bull=62; mild_bull=1,insufficient_sample
day_vol_ge_2 + market_bull + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,52,28,53.85,0.05,38,23,12.45,17.02,1.47,100.0,strong_bull=49; mild_bull=3,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + macd_hist_pos + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,39,21,53.85,0.04,23,13,12.57,14.99,0.58,100.0,strong_bull=38; mild_bull=1,insufficient_sample
vol5_avg_ge_2 + tdcc_high_streak2 + return_10d_20_50,price_position+tdcc+volume,D+10,D+1_open,10.0,54,29,53.7,0.06,26,14,11.63,14.56,0.68,100.0,strong_bull=39; range_or_unclear=11; mild_bull=3; weak_or_correction=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + macd_hist_pos + near_60d_high_5pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,41,22,53.66,0.04,27,15,13.71,14.56,0.62,100.0,strong_bull=40; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + return_5d_10_30,market+price_position+tdcc+volume,D+10,D+1_open,10.0,41,22,53.66,0.04,24,14,12.5,14.75,0.58,100.0,strong_bull=41,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + close_above_ema23 + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,41,22,53.66,0.04,24,14,12.5,14.75,0.58,100.0,strong_bull=41,insufficient_sample
vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,56,30,53.57,0.06,38,23,14.15,16.67,0.52,100.0,strong_bull=40; range_or_unclear=11; mild_bull=4; weak_or_correction=1,insufficient_sample
vol5_avg_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,56,30,53.57,0.06,38,23,14.15,16.67,0.52,100.0,strong_bull=40; range_or_unclear=11; mild_bull=4; weak_or_correction=1,insufficient_sample
vol5_avg_ge_2 + tdcc_all_up + bb_width_not_extreme + return_20d_10_60,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,43,23,53.49,0.04,29,16,12.79,16.62,1.05,100.0,strong_bull=36; range_or_unclear=5; mild_bull=2,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_high_up + macd_hist_pos + near_60d_high_5pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,45,24,53.33,0.05,30,16,13.71,15.1,0.67,100.0,strong_bull=45,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_high_up + kd_bullish_not_overheated + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,30,16,53.33,0.03,19,12,10.43,11.99,0.55,100.0,strong_bull=30,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + return_10d_20_50,market+price_position+tdcc+volume,D+10,D+1_open,10.0,30,16,53.33,0.03,16,8,12.68,16.1,0.26,100.0,strong_bull=30,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + macd_hist_pos + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,30,16,53.33,0.03,16,8,12.68,16.1,0.26,100.0,strong_bull=30,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + close_above_ema23 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,30,16,53.33,0.03,16,8,12.68,16.1,0.26,100.0,strong_bull=30,insufficient_sample
day_vol_ge_2 + market_strong_bull + tdcc_all_up + rsi_50_75 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,62,33,53.23,0.06,46,25,12.56,21.38,1.27,100.0,strong_bull=62,insufficient_sample
vol5_avg_ge_3 + tdcc_all_up + return_20d_10_60,price_position+tdcc+volume,D+10,D+1_open,10.0,64,34,53.12,0.06,31,18,12.29,14.35,0.3,100.0,strong_bull=53; range_or_unclear=8; weak_or_correction=2; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + tdcc_all_up + close_above_ema23 + return_20d_10_60,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,64,34,53.12,0.06,31,18,12.29,14.35,0.3,100.0,strong_bull=53; range_or_unclear=8; weak_or_correction=2; mild_bull=1,insufficient_sample
vol5_avg_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,49,26,53.06,0.05,34,17,13.23,17.82,0.88,100.0,strong_bull=47; mild_bull=2,insufficient_sample
day_vol_ge_2 + market_strong_bull + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,49,26,53.06,0.05,36,21,12.32,17.13,1.49,100.0,strong_bull=49,insufficient_sample
vol5_avg_ge_3 + tdcc_all_up + macd_hist_pos + near_60d_high_5pct,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,51,27,52.94,0.05,30,17,12.57,13.6,0.47,100.0,strong_bull=40; range_or_unclear=8; weak_or_correction=2; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + macd_hist_pos + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,51,27,52.94,0.05,27,15,12.57,15.28,0.53,100.0,strong_bull=50; mild_bull=1,insufficient_sample
vol5_avg_ge_1_5 + tdcc_high_streak2 + rsi_50_75 + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,34,18,52.94,0.03,16,10,10.46,14.22,0.72,100.0,strong_bull=26; range_or_unclear=6; mild_bull=2,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + return_20d_10_60,market+price_position+tdcc+volume,D+10,D+1_open,10.0,53,28,52.83,0.05,28,16,12.5,15.08,0.54,100.0,strong_bull=53,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + close_above_ema23 + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,53,28,52.83,0.05,28,16,12.5,15.08,0.54,100.0,strong_bull=53,insufficient_sample
vol5_avg_ge_2 + tdcc_high_up + bb_width_not_extreme + return_20d_10_60,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,55,29,52.73,0.06,38,19,12.79,17.13,0.95,100.0,strong_bull=47; range_or_unclear=6; mild_bull=2,insufficient_sample
vol5_avg_ge_2 + market_bull + tdcc_all_up + bb_width_not_extreme + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,38,20,52.63,0.04,26,14,12.59,17.14,1.02,100.0,strong_bull=36; mild_bull=2,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + close_above_ema23 + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,42,22,52.38,0.04,25,14,12.27,14.48,0.57,100.0,strong_bull=41; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + tdcc_all_up + macd_hist_pos + near_60d_high_10pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,46,24,52.17,0.05,27,15,13.14,14.35,0.48,100.0,strong_bull=46,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + return_20d_10_60,market+price_position+tdcc+volume,D+10,D+1_open,10.0,54,28,51.85,0.05,29,16,12.27,14.87,0.53,100.0,strong_bull=53; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + close_above_ema23 + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,54,28,51.85,0.05,29,16,12.27,14.87,0.53,100.0,strong_bull=53; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,31,16,51.61,0.03,20,12,10.0,11.89,0.57,100.0,strong_bull=30; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + return_10d_20_50,market+price_position+tdcc+volume,D+10,D+1_open,10.0,31,16,51.61,0.03,17,8,12.57,15.7,0.25,100.0,strong_bull=30; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + macd_hist_pos + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,31,16,51.61,0.03,17,8,12.57,15.7,0.25,100.0,strong_bull=30; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + close_above_ema23 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,31,16,51.61,0.03,17,8,12.57,15.7,0.25,100.0,strong_bull=30; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_20d_10_60,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,33,17,51.52,0.03,19,13,10.0,13.46,0.75,100.0,strong_bull=28; range_or_unclear=4; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_high_up + return_10d_20_50,market+price_position+tdcc+volume,D+10,D+1_open,10.0,35,18,51.43,0.03,20,9,12.57,16.61,0.37,100.0,strong_bull=33; mild_bull=2,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_high_up + macd_hist_pos + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,35,18,51.43,0.03,20,9,12.57,16.61,0.37,100.0,strong_bull=33; mild_bull=2,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_high_up + close_above_ema23 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,35,18,51.43,0.03,20,9,12.57,16.61,0.37,100.0,strong_bull=33; mild_bull=2,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + return_5d_10_30,market+price_position+tdcc+volume,D+10,D+1_open,10.0,43,22,51.16,0.04,26,14,12.04,14.26,0.52,100.0,strong_bull=41; mild_bull=2,insufficient_sample
vol5_avg_ge_2 + market_bull + kd_bullish_not_overheated + bb_width_not_extreme + return_10d_20_50,market+price_position+technical+volume,D+10,D+1_open,10.0,88,45,51.14,0.09,61,35,10.28,14.16,1.51,31.82,strong_bull=87; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + bb_width_not_extreme + return_20d_10_60,price_position+technical+volume,D+10,D+1_open,10.0,88,45,51.14,0.09,65,32,10.91,15.51,1.29,34.09,strong_bull=85; range_or_unclear=2; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_high_up + macd_hist_pos + near_60d_high_5pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,47,24,51.06,0.05,32,16,12.57,14.72,0.67,100.0,strong_bull=45; mild_bull=2,insufficient_sample
vol5_avg_ge_3 + market_bull + tdcc_all_up + macd_hist_pos + near_60d_high_10pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,47,24,51.06,0.05,28,15,12.57,14.11,0.47,100.0,strong_bull=46; mild_bull=1,insufficient_sample
vol5_avg_ge_3 + market_strong_bull + bb_width_not_extreme + return_20d_10_60,market+price_position+technical+volume,D+10,D+1_open,10.0,85,43,50.59,0.08,62,30,10.78,15.7,1.32,32.94,strong_bull=85,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + kd_bullish_not_overheated + bb_width_not_extreme + return_10d_20_50,market+price_position+technical+volume,D+10,D+1_open,10.0,87,44,50.57,0.08,61,35,10.17,14.08,1.53,32.18,strong_bull=87,insufficient_sample
vol5_avg_ge_2 + kd_bullish_not_overheated + bb_width_not_extreme + return_10d_20_50,price_position+technical+volume,D+10,D+1_open,10.0,91,46,50.55,0.09,63,36,10.17,14.19,1.46,34.07,strong_bull=87; range_or_unclear=3; mild_bull=1,insufficient_sample
