migration_id,status,approval_reference,base_helper_sha256,current_helper_sha256,current_test_sha256,changed_paths
local-validation-replay-f-routing-hash-reconciliation-v2,preauthorized,user_authorized_local_validation_replay_hash_reconciliation_20260810,395680f68487f0836db8aac9662bf6bd6cd8d79b15e2271ef37ab28d210f544c,d415db1eb2433f2bda00d204ca55575a61aa57b326c8db6a938294611dd81ed0,ff09926d02a76e059e0ca79af9ef6a749207419ef1e0f01b09b6952ee7772c2a,config/daily_model_pr_safe_self_migration_authorizations.csv;scripts/validate_repo_production_inventory.py;tests/test_repo_production_inventory.py
local-validation-replay-f-routing-portable-test-v2,preauthorized,user_authorized_local_validation_replay_portable_ci_reconciliation_20260810,d415db1eb2433f2bda00d204ca55575a61aa57b326c8db6a938294611dd81ed0,20cfc385916432d0a4cf82094270a7bbd41d901aa07a7586bbf88894540bfe90,7ea9abd8f9c0d6b5907d9dd5109e36d1cddc86bc3ce6e4f270c51e952397890d,config/daily_model_pr_safe_self_migration_authorizations.csv;scripts/validate_repo_production_inventory.py;tests/test_repo_production_inventory.py
input_bound_in_process_independent_validator,preauthorized,user_authorized_input_bound_validator_pr_safe_stage_a_20260811,02f28d28e7214e1949b2e8fa4aa6ad9df3b39c90bbe11534e0c5c24f350a7b3a,480e53ef1f82bc931e79036521152ee9faa220e2a79ed2646df3016e488b2971,d2ce9565202835d11116408c8ec6b71e94525aa630b311533cdcb3395303098e,.github/workflows/research_backtest_pipeline.yml;config/apps_script_research_dispatch_inputs.csv;config/repo_file_lifecycle_inventory.csv;scripts/validate_apps_script_workflow_triggers.py;scripts/validate_repo_advanced_integrity_pr_safe.py;tests/test_daily_production_boundaries.py;tests/test_repo_advanced_integrity_pr_safe.py
input-bound-validator-pr-safe-control-plane-stage-a-v1,preauthorized,user_authorized_input_bound_validator_control_plane_stage_a_20260811,20cfc385916432d0a4cf82094270a7bbd41d901aa07a7586bbf88894540bfe90,763d4cdb1a9a7868fddb4eeb656304ca41c07d84a689c344dd2f5b0dc52e0a9d,c45b96ffbee587d9adf332f123ce0c5b990cca4c8893ceed7fd9e1e8f4238ab5,config/daily_model_pr_safe_self_migration_authorizations.csv;scripts/validate_repo_production_inventory.py;tests/test_repo_production_inventory.py
revenue-unreacted-range-forward-holdout-exact-target-v1,preauthorized,user_authorized_pr521_exact_target_preauthorization_20260811,912c59d6b0642f13b36480997af99c85ad51494e2dfcf6703225b159ae0278e6,c9f5b0a2491136c9c0b4201d48a16674076fb964f39103f553dfcb93d28f97b4,682d2083e8fb59c9e48f4e2778693305e4731a5d40b70688278804021bac7d9f,.github/workflows/daily_model_maintenance_pr_validation.yml;.github/workflows/research_backtest_pipeline.yml;config/daily_model_background_data_registry.csv;config/daily_model_data_sharing_migrations.csv;config/daily_model_data_sharing_registry.csv;config/daily_model_validator_independence.csv;config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv;config/report_artifact_lineage.csv;docs/latest/model_data_independence_audit_latest.csv;docs/latest/model_data_independence_audit_latest.md;docs/latest/revenue_unreacted_range_forward_holdout_anomaly_sensitivity_latest.csv;docs/latest/revenue_unreacted_range_forward_holdout_comparison_latest.csv;docs/latest/revenue_unreacted_range_forward_holdout_event_detail_latest.csv;docs/latest/revenue_unreacted_range_forward_holdout_manifest_latest.csv;docs/latest/revenue_unreacted_range_forward_holdout_maturity_status_latest.csv;docs/specs/revenue_unreacted_range_forward_holdout.md;output/history/research/revenue_unreacted_range_forward_holdout_anomaly_sensitivity.csv;output/history/research/revenue_unreacted_range_forward_holdout_comparison.csv;output/history/research/revenue_unreacted_range_forward_holdout_event_detail.csv;output/history/research/revenue_unreacted_range_forward_holdout_manifest.csv;output/history/research/revenue_unreacted_range_forward_holdout_maturity_status.csv;output/latest/model_data_independence_audit_latest.csv;output/latest/model_data_independence_audit_latest.md;output/latest/research_backtest/revenue_unreacted_range_forward_holdout_anomaly_sensitivity_latest.csv;output/latest/research_backtest/revenue_unreacted_range_forward_holdout_comparison_latest.csv;output/latest/research_backtest/revenue_unreacted_range_forward_holdout_event_detail_latest.csv;output/latest/research_backtest/revenue_unreacted_range_forward_holdout_manifest_latest.csv;output/latest/research_backtest/revenue_unreacted_range_forward_holdout_maturity_status_latest.csv;scripts/build_revenue_unreacted_range_research.py;scripts/model_data_independence.py;scripts/revenue_unreacted_range_forward_holdout.py;scripts/validate_model_research_workflow_isolation.py;scripts/validate_revenue_unreacted_range_forward_holdout.py;tests/test_daily_model_background_data_registry.py;tests/test_daily_model_maintenance_pr_validation_workflow.py;tests/test_model_data_independence.py;tests/test_model_research_artifact_ownership.py;tests/test_model_research_workflow_isolation.py;tests/test_revenue_unreacted_range_forward_holdout.py;tests/test_validate_revenue_unreacted_range_forward_holdout.py
revenue-unreacted-range-forward-holdout-replay-detail-exact-target-v1,preauthorized,user_authorized_pr524_exact_target_preauthorization_20260812,fcd8896fe633abc7a76e6bc2f7fee8ddfdc02a549538dba15a2524707135c5b5,11fb0878c6b9678c8321e7c6a460e5d06eb976a7f9dfd5d3dd3c9f851ea953c3,81b1dbfdedd95faf0f04058c0f7c78ae87cf291c1fc5653becafaa0ed9704e3c,config/daily_model_background_data_registry.csv;config/daily_model_data_sharing_migrations.csv;config/daily_model_data_sharing_registry.csv;config/repo_file_lifecycle_inventory.csv;config/report_artifact_lineage.csv;docs/latest/model_data_independence_audit_latest.csv;docs/latest/model_data_independence_audit_latest.md;docs/latest/revenue_unreacted_range_forward_holdout_replay_source_detail_latest.csv;docs/specs/revenue_unreacted_range_forward_holdout.md;output/latest/model_data_independence_audit_latest.csv;output/latest/model_data_independence_audit_latest.md;output/latest/research_backtest/revenue_unreacted_range_forward_holdout_replay_source_detail_latest.csv;scripts/build_revenue_unreacted_range_research.py;scripts/revenue_unreacted_range_forward_holdout.py;tests/test_daily_model_background_data_registry.py;tests/test_model_data_independence.py;tests/test_model_research_artifact_ownership.py;tests/test_revenue_unreacted_range_forward_holdout.py;tests/test_validate_revenue_unreacted_range_forward_holdout.py
daily-runtime-authority-containment-exact-target-v1,preauthorized,user_authorized_daily_runtime_authority_containment_20260812,70c56bd57cc273ee1a7caa7ffcb935793c967cd7b127698e48411acd3b035010,1df727afdf9a4579e0f908d1c886924d76699c2a0203249e6997d9c64610f60f,c6464e7afe88d9cbc786592bc4269415e9370774e111b55e0a226bb951453669,.github/workflows/daily_full_pipeline.yml;.github/workflows/debug_tpex_fetch.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/historical_structured_source_replay.yml;.github/workflows/official_price_backfill.yml;.github/workflows/official_price_fetch.yml;.github/workflows/repair_recent_daily_price_gaps.yml;.github/workflows/warrant_flow.yml;config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv;config/report_artifact_lineage.csv;config/runtime_file_lineage_contract.csv;scripts/daily_authority_release.py;scripts/market_session_calendar.py;scripts/repair_recent_daily_price_gaps.py;scripts/validate_daily_production_boundaries.py;scripts/validate_recent_daily_price_repair_staged_paths.py;scripts/validate_recent_structured_source_repair_workflow.py;tests/test_daily_authority_release.py;tests/test_daily_production_boundaries.py
daily-runtime-recovery-architecture-exact-target-v1,preauthorized,user_authorized_daily_runtime_recovery_architecture_20260812,5ff826ffd0ca207a686e0ed87ba710bd9315735a2c2dfb5d091a8dc9ed941676,149998534996ae05fff5de64a8e616ce0528017cf455f0189fbf1e807440356d,153549586fa43eeedf93fc93dba1c78f4e8345f0ae2fe1c08310fb89568364f1,.github/workflows/daily_full_pipeline.yml;.github/workflows/repair_recent_daily_price_gaps.yml;config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv;config/report_artifact_lineage.csv;scripts/daily_source_recovery_bundle.py;scripts/repair_recent_daily_price_gaps.py;scripts/validate_recent_daily_price_repair_staged_paths.py;scripts/validate_recent_structured_source_repair_workflow.py;tests/test_daily_price_history_continuity.py;tests/test_daily_production_boundaries.py;tests/test_daily_source_recovery_bundle.py;tests/test_validate_recent_daily_price_repair_staged_paths.py;tests/test_validate_recent_structured_source_repair_workflow.py
daily-runtime-recovery-architecture-exact-target-v2,preauthorized,user_authorized_daily_runtime_recovery_architecture_20260812,5ff826ffd0ca207a686e0ed87ba710bd9315735a2c2dfb5d091a8dc9ed941676,149998534996ae05fff5de64a8e616ce0528017cf455f0189fbf1e807440356d,153549586fa43eeedf93fc93dba1c78f4e8345f0ae2fe1c08310fb89568364f1,.github/workflows/daily_full_pipeline.yml;.github/workflows/repair_recent_daily_price_gaps.yml;config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv;config/report_artifact_lineage.csv;scripts/daily_source_recovery_bundle.py;scripts/repair_recent_daily_price_gaps.py;scripts/validate_daily_production_boundaries.py;scripts/validate_recent_daily_price_repair_staged_paths.py;scripts/validate_recent_structured_source_repair_workflow.py;tests/test_daily_price_history_continuity.py;tests/test_daily_production_boundaries.py;tests/test_daily_source_recovery_bundle.py;tests/test_validate_recent_daily_price_repair_staged_paths.py;tests/test_validate_recent_structured_source_repair_workflow.py
daily-runtime-recovery-architecture-exact-target-v3,preauthorized,user_authorized_daily_runtime_recovery_architecture_20260812,5ff826ffd0ca207a686e0ed87ba710bd9315735a2c2dfb5d091a8dc9ed941676,aecb4ba2aa06e24c2b8d7c5bd097c489f2eaa89957233e6ccd571dc1dc20605b,5ba11898291dcbec297c7b4ea971ee713fb2a565ddf98e8f7bc5a5d61460bbce,.github/workflows/daily_full_pipeline.yml;.github/workflows/repair_recent_daily_price_gaps.yml;config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv;config/report_artifact_lineage.csv;scripts/daily_source_recovery_bundle.py;scripts/repair_recent_daily_price_gaps.py;scripts/validate_daily_production_boundaries.py;scripts/validate_recent_daily_price_repair_staged_paths.py;scripts/validate_recent_structured_source_repair_workflow.py;tests/test_daily_price_history_continuity.py;tests/test_daily_production_boundaries.py;tests/test_daily_source_recovery_bundle.py;tests/test_validate_recent_daily_price_repair_staged_paths.py;tests/test_validate_recent_structured_source_repair_workflow.py
daily-runtime-recovery-architecture-exact-target-v4,preauthorized,user_authorized_daily_runtime_recovery_architecture_20260812,5ff826ffd0ca207a686e0ed87ba710bd9315735a2c2dfb5d091a8dc9ed941676,aecb4ba2aa06e24c2b8d7c5bd097c489f2eaa89957233e6ccd571dc1dc20605b,55d2a01aa8c0cabc847658e8d12a951a6bcc7c7da1bbfdd64e551595ad46fad1,.github/workflows/daily_full_pipeline.yml;.github/workflows/repair_recent_daily_price_gaps.yml;config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv;config/report_artifact_lineage.csv;scripts/daily_source_recovery_bundle.py;scripts/repair_recent_daily_price_gaps.py;scripts/validate_daily_production_boundaries.py;scripts/validate_recent_daily_price_repair_staged_paths.py;scripts/validate_recent_structured_source_repair_workflow.py;tests/test_daily_price_history_continuity.py;tests/test_daily_production_boundaries.py;tests/test_daily_source_recovery_bundle.py;tests/test_validate_recent_daily_price_repair_staged_paths.py;tests/test_validate_recent_structured_source_repair_workflow.py
revenue-unreacted-range-promotion-preparation-exact-target-v1,preauthorized,user_authorized_pr536_exact_target_preauthorization_20260812,c9f5b0a2491136c9c0b4201d48a16674076fb964f39103f553dfcb93d28f97b4,9a75b27d0b061061ba946e697a666ebd7177ecd328f325413088e4d32713f8b8,07f55055d31505ef7e5e0c5d6ade4dbe28b16db1d3e307576e33f8d4dc06f543,.github/workflows/daily_model_maintenance_pr_validation.yml;.github/workflows/research_backtest_pipeline.yml;config/daily_model_validator_independence.csv;config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv;config/revenue_unreacted_range_anomaly_disposition_registry.csv;config/revenue_unreacted_range_promotion_preparation_registry.csv;docs/latest/model_data_independence_audit_latest.csv;docs/latest/model_data_independence_audit_latest.md;docs/specs/revenue_unreacted_range_promotion_preparation_20260812.md;output/latest/model_data_independence_audit_latest.csv;output/latest/model_data_independence_audit_latest.md;scripts/model_data_independence.py;scripts/validate_model_research_workflow_isolation.py;scripts/validate_revenue_unreacted_range_promotion_preparation.py;tests/test_daily_model_maintenance_pr_validation_workflow.py;tests/test_daily_model_parameter_research.py;tests/test_daily_published_model_snapshots_pr_safe.py;tests/test_model_data_independence.py;tests/test_model_research_workflow_isolation.py;tests/test_validate_revenue_unreacted_range_promotion_preparation.py
revenue-unreacted-range-promotion-preparation-exact-target-v2,preauthorized,user_authorized_pr536_exact_target_preauthorization_v2_20260812,c9f5b0a2491136c9c0b4201d48a16674076fb964f39103f553dfcb93d28f97b4,9a75b27d0b061061ba946e697a666ebd7177ecd328f325413088e4d32713f8b8,07f55055d31505ef7e5e0c5d6ade4dbe28b16db1d3e307576e33f8d4dc06f543,.github/workflows/daily_model_maintenance_pr_validation.yml;.github/workflows/research_backtest_pipeline.yml;config/daily_model_validator_independence.csv;config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv;config/revenue_unreacted_range_anomaly_disposition_registry.csv;config/revenue_unreacted_range_promotion_preparation_registry.csv;docs/latest/model_data_independence_audit_latest.csv;docs/latest/model_data_independence_audit_latest.md;docs/specs/revenue_unreacted_range_promotion_preparation_20260812.md;output/latest/model_data_independence_audit_latest.csv;output/latest/model_data_independence_audit_latest.md;scripts/model_data_independence.py;scripts/validate_model_research_workflow_isolation.py;scripts/validate_revenue_unreacted_range_promotion_preparation.py;tests/test_daily_model_maintenance_pr_validation_workflow.py;tests/test_daily_model_parameter_research.py;tests/test_daily_published_model_snapshots_pr_safe.py;tests/test_model_data_independence.py;tests/test_model_research_workflow_isolation.py;tests/test_validate_revenue_unreacted_range_promotion_preparation.py
daily-runtime-integration-regressions-exact-target-v1,preauthorized,current_user_explicit_first_stage_trust_root_bootstrap_authorization_20260813,aecb4ba2aa06e24c2b8d7c5bd097c489f2eaa89957233e6ccd571dc1dc20605b,b7bc22b49f552ab957cfcac73eeaf3974a00aeb6fb8037b3797c6c0e2b50cf4b,5f1635e79b0ab4c1ad2c1314b8c72b7f273dbd23e51398a24444f5ec3999b0a1,.github/workflows/daily_full_pipeline.yml;.github/workflows/repair_recent_daily_price_gaps.yml;config/repo_file_lifecycle_inventory.csv;fetch_official_daily_price.py;scripts/daily_source_recovery_bundle.py;scripts/market_session_calendar.py;scripts/repair_recent_daily_price_gaps.py;scripts/run_daily_full_validation_replay.py;scripts/validate_daily_full_validation_replay.py;scripts/validate_recent_daily_price_repair_staged_paths.py;scripts/validate_recent_structured_source_repair_workflow.py;tests/test_daily_full_validation_replay.py;tests/test_daily_production_boundaries.py;tests/test_daily_source_recovery_bundle.py;tests/test_market_session_calendar.py;tests/test_validate_recent_daily_price_repair_staged_paths.py;tests/test_validate_recent_structured_source_repair_workflow.py
