date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source,source_file,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,return_60d,return_120d,volume_ma20,volume_ratio,high_20,high_60,high_120,low_20,low_60,low_120,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ma120_pct,distance_to_ema23_pct,distance_to_high_20_pct,distance_to_high_60_pct,distance_to_high_120_pct,distance_to_low_60_pct,distance_to_low_120_pct
20260226,5210,寶碩,TPEX,21.7,22.0,21.6,21.75,152000.0,,,data/daily_price/20260226.csv,21.84,21.4225,22.2183,22.3145,21.6578,-1.1364,3.5714,-0.2294,2.8369,,164700.0,0.9229,22.4,25.65,30.85,20.5,20.5,20.5,1.5288,-2.1079,-2.5296,0.4255,-2.9018,-15.2047,-29.4976,6.0976,6.0976
20260302,5210,寶碩,TPEX,21.75,21.95,21.55,21.95,102000.0,,,data/daily_price/20260302.csv,21.94,21.4475,22.2342,22.3097,21.6822,0.9195,2.331,2.331,4.5238,,160950.0,0.6337,22.4,25.65,30.85,20.5,20.5,20.5,2.3429,-1.2781,-1.6125,1.2352,-2.0089,-14.425,-28.8493,7.0732,7.0732
20260303,5210,寶碩,TPEX,21.75,21.85,21.45,21.85,164000.0,,,data/daily_price/20260303.csv,21.93,21.4675,22.2458,22.3038,21.6962,-0.4556,-0.2283,1.8648,3.3097,,159750.0,1.0266,22.4,25.65,30.85,20.5,20.5,20.5,1.7818,-1.7794,-2.0348,0.709,-2.4554,-14.8148,-29.1734,6.5854,6.5854
20260304,5210,寶碩,TPEX,21.5,21.5,20.8,21.15,188000.0,,,data/daily_price/20260304.csv,21.74,21.45,22.2467,22.2892,21.6507,-3.2037,-4.2986,-1.6279,0.237,,166500.0,1.1291,22.4,25.65,30.85,20.5,20.5,20.5,-1.3986,-4.9296,-5.1112,-2.3124,-5.5804,-17.5439,-31.4425,3.1707,3.1707
20260305,5210,寶碩,TPEX,21.0,21.75,20.9,21.05,96000.0,,,data/daily_price/20260305.csv,21.55,21.4125,22.245,22.2738,21.6006,-0.4728,-4.3182,-3.4404,-0.4728,,166600.0,0.5762,22.4,25.65,30.85,20.5,20.5,20.5,-1.6929,-5.372,-5.4941,-2.549,-6.0268,-17.9337,-31.7666,2.6829,2.6829
20260306,5210,寶碩,TPEX,21.0,21.2,20.8,21.2,78000.0,,,data/daily_price/20260306.csv,21.44,21.3825,22.2442,22.2605,21.5672,0.7126,-2.5287,-2.7523,-0.2353,,165250.0,0.472,22.4,25.65,30.85,20.5,20.5,20.5,-0.8535,-4.6941,-4.764,-1.7027,-5.3571,-17.3489,-31.2804,3.4146,3.4146
20260309,5210,寶碩,TPEX,20.75,21.25,20.0,21.25,245000.0,,,data/daily_price/20260309.csv,21.3,21.3725,22.2358,22.2482,21.5408,0.2358,-3.1891,-0.9324,-2.2989,,164450.0,1.4898,22.4,25.65,30.85,20.0,20.0,20.0,-0.5732,-4.4335,-4.4865,-1.3499,-5.1339,-17.154,-31.1183,6.25,6.25
20260310,5210,寶碩,TPEX,20.7,21.45,20.7,21.3,120000.0,,,data/daily_price/20260310.csv,21.19,21.3875,22.2267,22.2367,21.5207,0.2353,-2.5172,1.4286,-2.5172,,143250.0,0.8377,22.4,25.65,30.85,20.0,20.0,20.0,-0.4091,-4.1692,-4.2126,-1.0256,-4.9107,-16.9591,-30.9562,6.5,6.5
20260311,5210,寶碩,TPEX,21.2,21.55,21.1,21.35,39000.0,,,data/daily_price/20260311.csv,21.23,21.415,22.1825,22.2262,21.5065,0.2347,0.9456,2.6442,-11.0417,,130150.0,0.2997,22.4,25.65,30.85,20.0,20.0,20.0,-0.3035,-3.753,-3.9422,-0.7276,-4.6875,-16.7641,-30.7942,6.75,6.75
20260312,5210,寶碩,TPEX,21.2,21.35,20.85,20.9,75000.0,,,data/daily_price/20260312.csv,21.2,21.4175,22.1417,22.2106,21.4559,-2.1077,-0.7126,0.2398,-10.4925,,127450.0,0.5885,22.4,24.95,30.85,20.0,20.0,20.0,-2.4162,-5.6078,-5.9007,-2.5911,-6.6964,-16.2325,-32.2528,4.5,4.5
20260313,5210,寶碩,TPEX,20.85,20.95,20.75,20.9,132000.0,,,data/daily_price/20260313.csv,21.14,21.39,22.105,22.1953,21.4096,0.0,-1.4151,-2.5641,-9.5238,,129200.0,1.0217,22.4,24.95,30.85,20.0,20.0,20.0,-2.2908,-5.4513,-5.8361,-2.3803,-6.6964,-16.2325,-32.2528,4.5,4.5
