date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20251117,13.9,14.7,13.85,14.1,3571641.0,12.93,13.0298,13.0075,13.5992,14.0092,3.6765,15.102,5.618,6.5908,8.2132,8.399,-6.6225
20251118,13.9,14.35,13.6,13.9,1071358.0,13.27,13.1023,13.0325,13.605,14.0012,-1.4184,13.9344,3.7313,1.816,6.0879,6.6564,-7.947
20251119,13.9,14.1,13.15,13.3,722914.0,13.46,13.1188,13.005,13.6033,13.9904,-4.3165,7.6923,-3.9711,1.2125,1.3811,2.2684,-11.9205
20251120,13.5,13.65,13.2,13.4,325995.0,13.66,13.1423,12.9775,13.6025,13.98,0.7519,8.0645,-3.9427,0.5398,1.9612,3.2556,-11.2583
20251121,13.15,13.35,12.85,12.9,407059.0,13.52,13.1221,12.9325,13.5917,13.965,-3.7313,-5.1471,-6.5217,0.6584,-1.6923,-0.2513,-14.5695
20251124,12.95,13.1,12.9,12.9,216033.0,13.28,13.1036,12.89,13.5767,13.9475,0.0,-8.5106,-6.1818,0.3482,-1.5535,0.0776,-14.5695
20251125,12.9,13.4,12.9,13.35,261104.0,13.17,13.1241,12.8825,13.5475,13.9342,3.4884,-3.9568,-1.1111,0.4169,1.7213,3.629,-11.5894
20251126,13.45,13.6,13.4,13.45,358565.0,13.2,13.1513,12.8875,13.5283,13.9238,0.7491,1.1278,0.7491,0.5718,2.2716,4.3647,-10.6312
20251127,13.5,13.65,13.3,13.55,205145.0,13.23,13.1845,12.905,13.5083,13.9146,0.7435,1.1194,2.6515,0.3319,2.7723,4.9981,-9.9668
20251128,13.45,13.9,13.15,13.9,349089.0,13.43,13.2441,12.955,13.5,13.9096,2.583,7.7519,7.7519,0.5648,4.9523,7.2945,-7.6412
20251201,13.7,14.05,13.65,13.7,274292.0,13.59,13.2821,13.015,13.485,13.9067,-1.4388,6.2016,9.6,0.4566,3.1463,5.2632,-8.9701
20251202,13.85,13.85,13.6,13.6,130438.0,13.64,13.3086,13.08,13.4708,13.9033,-0.7299,1.8727,10.5691,0.2299,2.1896,3.9755,-9.6346
20251203,13.8,14.45,13.65,14.1,1234328.0,13.77,13.3745,13.185,13.4617,13.9025,3.6765,4.8327,17.5,2.0356,5.4242,6.9397,-6.3123
20251204,14.1,14.35,13.9,14.0,390962.0,13.86,13.4267,13.27,13.45,13.9017,-0.7092,3.321,13.8211,0.639,4.2701,5.5011,-6.9767
20251205,14.25,14.25,13.85,13.85,236542.0,13.85,13.4619,13.34,13.4375,13.8996,-1.0714,-0.3597,11.245,0.3869,2.8826,3.8231,-5.7823
20251208,13.85,14.05,13.75,13.85,154304.0,13.88,13.4943,13.42,13.4308,13.8992,0.0,1.0949,13.0612,0.2521,2.6361,3.2042,-5.7823
20251209,13.85,13.95,13.75,13.8,149940.0,13.92,13.5198,13.5,13.4317,13.8917,-0.361,1.4706,13.1148,0.2464,2.0728,2.2222,-6.1224
20251210,13.9,14.25,13.85,13.9,491464.0,13.88,13.5514,13.5775,13.4333,13.885,0.7246,-1.4184,12.5506,0.7956,2.5721,2.3753,-5.4422
20251211,14.0,14.15,13.7,13.8,259379.0,13.84,13.5722,13.6475,13.4308,13.8771,-0.7194,-1.4286,11.2903,0.4181,1.6788,1.1174,-6.1224
20251212,13.8,14.15,13.75,13.95,229355.0,13.86,13.6036,13.665,13.4242,13.8725,1.087,0.722,2.5735,0.4155,2.5461,2.0856,-5.102
20251215,13.95,14.25,13.8,14.1,305820.0,13.91,13.645,13.665,13.4233,13.8679,1.0753,1.8051,0.0,0.7868,3.3345,3.1833,-4.0816
20251216,14.0,14.65,14.0,14.4,1432693.0,14.03,13.7079,13.69,13.4283,13.8675,2.1277,4.3478,3.5971,3.5221,5.0487,5.1863,-2.0408
20251217,14.4,14.85,14.3,14.35,1147583.0,14.12,13.7614,13.7425,13.4417,13.8667,-0.3472,3.2374,7.8947,2.6812,4.277,4.4206,-3.367
20251218,14.45,14.45,14.15,14.15,349287.0,14.19,13.7938,13.78,13.445,13.8646,-1.3937,2.5362,5.597,0.8139,2.5822,2.6851,-4.7138
20251219,14.4,14.45,14.2,14.35,203110.0,14.27,13.8402,13.8525,13.4517,13.8612,1.4134,2.8674,11.2403,0.4848,3.6838,3.5914,-3.367
20251222,14.5,14.8,14.35,14.5,638056.0,14.35,13.8951,13.9325,13.4633,13.8608,1.0453,2.8369,12.4031,1.4499,4.353,4.0732,-2.3569
20251223,14.7,14.75,14.25,14.3,358649.0,14.33,13.9289,13.98,13.4708,13.8554,-1.3793,-0.6944,7.1161,0.806,2.6644,2.289,-3.7037
20251224,14.35,14.7,14.25,14.4,396080.0,14.34,13.9681,14.0275,13.485,13.85,0.6993,0.3484,7.0632,0.8864,3.0917,2.6555,-3.0303
20251226,14.5,15.35,14.5,14.9,1778074.0,14.49,14.0458,14.095,13.5025,13.8462,3.4722,5.3004,9.9631,3.3838,6.0815,5.7112,-2.9316
20251229,15.15,15.15,14.8,14.8,623443.0,14.58,14.1086,14.14,13.5208,13.8429,-0.6711,3.1359,6.4748,1.1563,4.9002,4.6676,-3.5831
20251230,14.9,14.9,14.15,14.6,718045.0,14.6,14.1496,14.185,13.5417,13.8383,-1.3514,0.6897,6.5693,1.2791,3.1832,2.9256,-4.886
20251231,14.6,14.9,14.45,14.75,578817.0,14.69,14.1996,14.2425,13.5658,13.8346,1.0274,3.1469,8.4559,0.9915,3.876,3.5633,-3.9088
20260102,14.85,15.2,14.7,14.7,603541.0,14.75,14.2413,14.2725,13.5875,13.8304,-0.339,2.0833,4.2553,1.0929,3.2207,2.9953,-4.2345
20260105,14.85,14.85,13.9,13.9,589480.0,14.55,14.2129,14.2675,13.5925,13.8192,-5.4422,-6.7114,-0.7143,1.0486,-2.2014,-2.5758,-9.4463
20260106,14.05,14.25,13.9,14.15,276228.0,14.42,14.2076,14.2825,13.6033,13.8121,1.7986,-4.3919,2.1661,0.4896,-0.4057,-0.9277,-7.8176
20260107,14.15,14.55,14.15,14.5,387800.0,14.4,14.232,14.315,13.6208,13.8083,2.4735,-0.6849,4.6931,0.6734,1.883,1.2924,-5.5375
20260108,14.45,14.55,14.15,14.25,269138.0,14.3,14.2335,14.3375,13.635,13.8025,-1.7241,-3.3898,3.2609,0.4626,0.1159,-0.6103,-7.1661
20260109,14.25,14.45,14.0,14.2,307610.0,14.2,14.2307,14.3525,13.6458,13.7958,-0.3509,-3.4014,2.1583,0.5372,-0.2158,-1.0625,-7.4919
20260112,14.3,14.7,14.3,14.5,373216.0,14.32,14.2532,14.3875,13.6642,13.7938,2.1127,4.3165,5.0725,0.6454,1.7319,0.7819,-5.5375
20260113,14.55,14.55,14.1,14.15,396095.0,14.32,14.2446,14.3975,13.6775,13.7879,-2.4138,0.0,1.4337,0.6752,-0.6638,-1.719,-7.8176
20260114,14.2,15.2,14.2,15.1,1481171.0,14.44,14.3158,14.4475,13.7067,13.7958,6.7138,4.1379,7.0922,2.2949,5.4775,4.5164,-1.6287
20260115,15.1,15.1,14.5,14.65,581293.0,14.52,14.3437,14.46,13.7275,13.7992,-2.9801,2.807,1.7361,0.9643,2.1355,1.314,-4.5603
20260116,14.75,15.2,14.65,14.85,462282.0,14.65,14.3859,14.485,13.7442,13.805,1.3652,4.5775,3.4843,0.8131,3.2262,2.5198,-3.2573
20260119,14.85,15.7,14.7,15.6,1015822.0,14.87,14.4871,14.5575,13.7717,13.8167,5.0505,7.5862,10.2473,1.6877,7.6823,7.1613,-0.6369
20260120,15.5,15.65,15.25,15.6,783802.0,15.16,14.5798,14.62,13.8017,13.83,0.0,10.2473,8.7108,1.2423,6.9973,6.7031,-0.6369
20260121,15.5,15.55,15.2,15.2,494164.0,15.18,14.6315,14.655,13.8258,13.8404,-2.5641,0.6623,4.8276,0.7923,3.8855,3.7189,-3.1847
20260122,15.4,15.45,14.95,15.0,468823.0,15.25,14.6622,14.69,13.8508,13.8521,-1.3158,2.3891,4.8951,0.7451,2.3039,2.1103,-4.4586
20260123,14.95,15.15,14.8,15.1,210140.0,15.3,14.6987,14.725,13.88,13.8633,0.6667,1.6835,4.8611,0.339,2.7303,2.5467,-3.8217
