date,ticker,name,market,open,high,low,close,volume,turnover
20250924,2063,世鎧,otc,24.9,25.55,24.8,25.2,49304.0,1231029.0
20250924,2064,晉椿,otc,13.75,14.05,13.75,13.8,12130.0,167855.0
20250924,2065,世豐,otc,35.55,36.5,35.55,36.2,97343.0,3489384.0
20250924,2066,世德,otc,59.3,59.6,57.1,58.3,191568.0,11259764.0
20250924,2067,嘉鋼,otc,6.6,6.6,6.55,6.56,35573.0,233307.0
20250924,2070,精湛,otc,76.6,81.5,75.0,77.6,2959495.0,232273697.0
20250924,2073,雄順,otc,26.0,26.0,26.0,26.0,1090.0,28304.0
20250924,2221,大甲,otc,42.0,43.15,41.95,42.5,427152.0,18206034.0
20250924,2230,泰茂,otc,28.15,28.6,28.15,28.25,198382.0,5619949.0
20250924,2235,謚源,otc,32.0,32.6,31.8,32.3,12123.0,388586.0
20250924,2596,綠意,otc,27.25,27.35,26.55,27.25,118840.0,3188209.0
20250924,2640,大車隊,otc,162.0,162.0,160.5,160.5,26513.0,4264596.0
20250924,2641,正德,otc,17.75,17.85,17.5,17.7,1828921.0,32243783.0
20250924,2643,捷迅,otc,66.1,66.4,65.5,66.4,19393.0,1279928.0
20250924,2718,全心投控,otc,45.6,46.75,45.4,46.45,92400.0,4268789.0
20250924,2719,燦星旅,otc,24.9,25.6,24.9,25.4,21728.0,550048.0
20250924,2724,藝舍-KY,otc,13.1,13.1,13.1,13.1,1001.0,13114.0
20250924,2726,雅茗-KY,otc,9.75,10.4,9.72,10.4,49556.0,490656.0
20250924,2729,瓦城,otc,159.0,160.0,159.0,159.0,36042.0,5742495.0
20250924,2732,六角,otc,64.9,65.4,63.5,64.2,82585.0,5316899.0
20250924,2734,易飛網,otc,14.85,14.95,14.8,14.9,117665.0,1746956.0
20250924,2736,富野,otc,12.0,12.05,11.95,12.0,84118.0,1009502.0
20250924,2740,華軒,otc,35.45,35.85,34.95,34.95,3637.0,126914.0
20250924,2743,山富,otc,67.6,68.0,67.0,67.9,131306.0,8848341.0
20250924,2745,五福,otc,102.0,103.0,101.5,102.5,130597.0,13385199.0
20250924,2751,王座,otc,52.0,53.9,51.8,52.8,22126.0,1163207.0
20250924,2752,豆府,otc,172.5,173.0,172.0,172.5,10597.0,1828291.0
20250924,2754,亞洲藏壽司,otc,68.1,68.3,67.6,67.7,45215.0,3075073.0
20250924,2755,揚秦,otc,132.0,135.5,132.0,135.0,44087.0,5936116.0
20250924,2756,聯發國際,otc,61.0,61.0,59.6,60.1,16030.0,962917.0
20250924,2916,滿心,otc,43.65,43.7,43.3,43.5,210650.0,9158322.0
20250924,2924,宏太-KY,otc,15.75,15.75,15.7,15.7,3056.0,48043.0
20250924,2926,誠品生活,otc,35.85,35.9,34.75,34.95,36489.0,1276997.0
20250924,2937,集雅社,otc,48.55,48.95,48.3,48.65,8191.0,397256.0
20250924,2941,米斯特,otc,32.0,32.0,32.0,32.0,1088.0,34816.0
20250924,2947,振宇五金,otc,77.7,77.7,77.4,77.4,43384.0,3367468.0
20250924,2948,寶陞,otc,38.0,38.0,38.0,38.0,3101.0,117788.0
20250924,2949,欣新網,otc,63.0,63.5,63.0,63.5,8301.0,526270.0
20250924,3064,泰偉,otc,19.15,19.2,19.15,19.2,2631.0,50727.0
20250924,3066,李洲,otc,21.55,22.4,21.15,21.45,1005119.0,21883576.0
20250924,3067,全域,otc,18.8,19.5,18.8,19.5,13001.0,250520.0
20250924,3071,協禧,otc,32.5,32.5,31.55,32.2,697212.0,22278358.0
20250924,3073,天方能源,otc,20.5,20.5,20.2,20.25,92363.0,1874242.0
20250924,3078,僑威,otc,56.3,58.4,56.3,57.6,1511402.0,87186892.0
20250924,3081,聯亞,otc,2680.0,2715.0,2590.0,2615.0,2143717.0,5657532205.0
20250924,3083,網龍,otc,26.9,28.0,26.9,27.75,245334.0,6760741.0
20250924,3085,新零售,otc,12.85,12.85,12.0,12.45,29330.0,363715.0
20250924,3086,華義*,otc,31.7,32.0,30.55,30.75,405340.0,12621731.0
20250924,3088,艾訊,otc,142.5,142.5,138.0,141.0,1362155.0,190479502.0
20250924,3093,港建*,otc,52.7,53.8,51.8,52.4,788808.0,41301770.0
20250924,3095,及成,otc,45.9,45.9,42.9,43.2,56043.0,2440202.0
20250924,3105,穩懋,otc,542.0,544.0,516.0,527.0,26012181.0,13779999089.0
20250924,3114,好德,otc,28.5,31.25,28.5,31.25,1463670.0,45484651.0
20250924,3115,富榮綱,otc,7.75,8.29,7.75,8.29,30497.0,245841.0
20250924,3118,進階,otc,33.3,33.7,33.25,33.65,21882.0,732903.0
20250924,3122,笙泉,otc,32.9,33.0,32.0,32.75,341189.0,11172828.0
20250924,3128,昇銳,otc,22.8,23.2,22.8,22.95,335195.0,7704332.0
20250924,3131,弘塑,otc,3820.0,3865.0,3450.0,3450.0,1283639.0,4726401360.0
20250924,3141,晶宏,otc,82.0,82.8,79.7,80.7,5018143.0,405959215.0
20250924,3147,大綜,otc,181.5,182.5,179.0,182.5,207540.0,37668211.0
20250924,3152,璟德,otc,204.5,204.5,195.5,200.0,1205384.0,240306996.0
20250924,3158,嘉實,otc,85.3,85.5,85.2,85.5,26919.0,2296891.0
20250924,3162,精確,otc,83.0,84.7,81.0,84.7,2618898.0,216049334.0
20250924,3163,波若威,otc,1050.0,1080.0,1015.0,1030.0,3335102.0,3455997600.0
