date,ticker,name,market,open,high,low,close,volume
20260309,1598,岱宇,TWSE,19.4,19.4,18.65,18.8,525181
20260309,1603,華電,TWSE,36.55,36.95,35.85,36.2,694306
20260309,1604,聲寶,TWSE,23.6,23.8,23.5,23.7,334695
20260309,1605,華新,TWSE,30.0,30.5,29.55,30.5,46066732
20260309,1608,華榮,TWSE,32.7,34.45,32.05,34.4,4596268
20260309,1609,大亞,TWSE,35.45,36.05,34.5,35.65,5989664
20260309,1611,中電,TWSE,12.4,12.4,12.1,12.2,903097
20260309,1612,宏泰,TWSE,33.3,33.95,33.15,33.5,1183922
20260309,1614,三洋電,TWSE,32.6,33.2,32.0,32.05,139485
20260309,1615,大山,TWSE,44.1,44.5,42.75,43.7,425073
20260309,1616,億泰,TWSE,26.75,27.0,26.2,26.7,966053
20260309,1617,榮星,TWSE,14.85,15.05,14.55,14.6,153177
20260309,1618,合機,TWSE,41.7,42.2,41.0,41.8,1194894
20260309,1623,大東電,TWSE,190.0,194.5,190.0,193.5,178010
20260309,1626,艾美特-KY,TWSE,10.6,10.7,10.3,10.6,276820
20260309,1702,南僑,TWSE,36.9,36.9,36.0,36.35,812297
20260309,1707,葡萄王,TWSE,119.5,119.5,117.5,118.5,327121
20260309,1708,東鹼,TWSE,37.0,39.0,35.95,36.5,9693366
20260309,1709,和益,TWSE,17.25,17.95,16.8,17.0,1007536
20260309,1710,東聯,TWSE,14.3,14.8,13.25,13.45,13021512
20260309,1711,永光,TWSE,24.85,25.6,24.75,25.25,17463146
20260309,1712,興農,TWSE,46.6,48.2,46.45,46.85,1577116
20260309,1713,國化,TWSE,43.65,44.8,43.65,44.55,187018
20260309,1714,和桐,TWSE,10.0,10.5,9.73,9.76,12112014
20260309,1717,長興,TWSE,57.9,58.5,56.6,57.6,19043011
20260309,1718,中纖,TWSE,7.98,8.29,7.36,7.56,34899666
20260309,1720,生達,TWSE,63.3,64.4,62.6,64.2,545589
20260309,1721,三晃,TWSE,16.1,17.0,15.6,16.15,1372643
20260309,1722,台肥,TWSE,49.0,52.0,46.95,47.45,12373032
20260309,1723,中碳,TWSE,68.5,71.5,67.6,67.7,866370
20260309,1725,元禎,TWSE,27.05,27.2,26.5,26.75,97150
20260309,1726,永記,TWSE,74.6,76.4,74.6,75.0,75780
20260309,1727,中華化,TWSE,44.0,45.75,43.6,45.45,4024999
20260309,1730,花仙子,TWSE,53.0,53.2,52.3,53.1,94724
20260309,1731,美吾華,TWSE,22.2,22.2,21.65,21.8,332908
20260309,1732,毛寶,TWSE,26.05,26.1,25.65,26.0,187111
20260309,1733,五鼎,TWSE,29.1,29.1,28.3,28.5,262433
20260309,1734,杏輝,TWSE,30.2,30.6,30.05,30.6,436975
20260309,1735,日勝化,TWSE,22.85,22.85,18.75,19.2,3441359
20260309,1736,喬山,TWSE,134.0,141.0,133.0,137.0,1033651
20260309,1737,臺鹽,TWSE,31.45,31.6,31.4,31.4,150053
20260309,1752,南光,TWSE,36.5,36.65,36.3,36.4,133929
20260309,1760,寶齡富錦,TWSE,59.5,60.0,58.6,59.4,180350
20260309,1762,中化生,TWSE,27.95,29.55,27.5,29.55,1994226
20260309,1773,勝一,TWSE,142.0,143.0,138.0,140.0,1222471
20260309,1776,展宇,TWSE,15.15,15.15,14.7,14.75,41876
20260309,1783,和康生,TWSE,41.35,42.0,41.3,41.5,176412
20260309,1786,科妍,TWSE,65.0,67.3,65.0,66.0,532802
20260309,1789,神隆,TWSE,20.6,21.0,20.4,20.6,1708715
20260309,1795,美時,TWSE,255.0,260.0,250.5,253.5,4443253
20260309,1802,台玻,TWSE,53.2,53.2,53.2,53.2,7129947
20260309,1805,寶徠,TWSE,10.5,10.55,10.0,10.45,285497
20260309,1806,冠軍,TWSE,8.82,8.88,8.68,8.73,592317
20260309,1808,潤隆,TWSE,29.05,29.1,28.1,28.5,1848020
20260309,1809,中釉,TWSE,23.25,23.85,22.9,23.7,2568094
20260309,1810,和成,TWSE,18.05,18.05,17.2,17.3,1256887
20260309,1817,凱撒衛,TWSE,38.5,38.6,38.0,38.2,175768
20260309,1903,士紙,TWSE,50.9,51.6,49.8,50.1,499861
20260309,1904,正隆,TWSE,17.6,18.2,17.6,17.65,3185179
20260309,1905,華紙,TWSE,11.95,12.0,11.75,11.8,1828137
20260309,1906,寶隆,TWSE,11.5,11.5,11.15,11.15,164604
20260309,1907,永豐餘,TWSE,23.9,24.35,23.85,24.15,1203958
20260309,1909,榮成,TWSE,9.36,9.36,9.12,9.17,3223181
20260309,2002,中鋼,TWSE,19.15,19.3,18.8,19.15,63581338
20260309,2006,東和鋼鐵,TWSE,78.0,81.1,77.8,80.9,4829920
20260309,2007,燁興,TWSE,7.53,7.91,7.53,7.87,435299
20260309,2008,高興昌,TWSE,29.0,29.0,28.0,28.0,88637
20260309,2009,第一銅,TWSE,41.3,41.5,39.9,41.4,2398154
20260309,2010,春源,TWSE,22.4,22.6,22.15,22.2,1883574
20260309,2012,春雨,TWSE,15.55,16.25,15.15,15.5,144078
20260309,2013,中鋼構,TWSE,43.35,44.0,42.9,43.8,625185
20260309,2014,中鴻,TWSE,17.4,17.7,17.05,17.3,7416171
20260309,2015,豐興,TWSE,65.5,67.3,65.4,67.0,454534
20260309,2017,官田鋼,TWSE,9.79,9.79,9.54,9.6,1573593
20260309,2020,美亞,TWSE,23.7,23.85,23.65,23.8,477388
20260309,2022,聚亨,TWSE,9.02,9.05,8.56,8.84,851502
20260309,2023,燁輝,TWSE,14.4,14.85,14.3,14.8,3037498
20260309,2024,志聯,TWSE,15.05,15.3,14.85,15.0,29131
20260309,2025,千興,TWSE,11.0,11.0,10.35,10.7,203610
20260309,2027,大成鋼,TWSE,36.2,36.9,35.75,36.9,26928256
20260309,2028,威致,TWSE,17.1,17.7,17.1,17.4,170418
20260309,2029,盛餘,TWSE,20.9,21.0,20.65,20.8,384074
20260309,2030,彰源,TWSE,15.5,15.65,15.35,15.5,537175
20260309,2031,新光鋼,TWSE,37.95,38.6,37.5,37.9,886686
20260309,2032,新鋼,TWSE,15.2,15.25,14.9,15.05,444485
20260309,2033,佳大,TWSE,16.25,16.3,15.8,15.95,111406
