population,feature_name,outcome_group,samples,valid_samples,missing_samples,mean,median,q25,q75,minimum,maximum
immutable_prior_candidate_exclusion_sensitivity,history_gap_count,high,692,692,0,0.053468208092485549132947976878612716763005780346821,0.0,0.00,0.00,0,7
immutable_prior_candidate_exclusion_sensitivity,price_state_falling,high,692,692,0,0.29768786127167630057803468208092485549132947976879,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_short_rebound_in_decline,high,692,692,0,0.18352601156069364161849710982658959537572254335260,0.0,0.00,0.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_nonnegative_short_and_medium,high,692,692,0,0.32080924855491329479768786127167630057803468208092,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_short_pullback,high,692,692,0,0.19797687861271676300578034682080924855491329479769,0.0,0.00,0.00,0,1
immutable_prior_candidate_exclusion_sensitivity,tdcc_400_change_sum,low,943,943,0,0.60237539766702014846235418875927889713679745493107,0.260,0.0200,0.800,-5.09,35.84
immutable_prior_candidate_exclusion_sensitivity,tdcc_1000_change_sum,low,943,943,0,0.53441145281018027571580063626723223753976670201485,0.050,0.000,0.6500,-4.31,41.88
immutable_prior_candidate_exclusion_sensitivity,tdcc_400_up_weeks,low,943,943,0,1.7762460233297985153764581124072110286320254506893,2.0,1.00,2.00,0,3
immutable_prior_candidate_exclusion_sensitivity,tdcc_1000_up_weeks,low,943,943,0,1.2831389183457051961823966065747613997879109225875,1.0,0.00,2.00,0,3
immutable_prior_candidate_exclusion_sensitivity,tdcc_both_net_positive,low,943,943,0,0.41039236479321314952279957582184517497348886532344,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,tdcc_both_up_count_ge2,low,943,943,0,0.32131495227995758218451749734888653234358430540827,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,return_5d,low,943,943,0,-0.40402110286320254506892895015906680805938494167550,-0.18870,-3.109400,2.494800,-17.7832,7.9558
immutable_prior_candidate_exclusion_sensitivity,return_20d,low,943,943,0,0.14191930010604453870625662778366914103923647932131,0.55250,-5.687350,8.396600,-84.7536,19.9495
immutable_prior_candidate_exclusion_sensitivity,range_20obs_pct,low,943,943,0,24.686035139730956343896217285933951811780850629067,18.921775898520084566596194503171247357293868921780,13.115761254049223666083330230479949361432773578585,26.276706618030224075039082855653986451276706618030,4.2253521126760563380281690140845070422535211267600,877.09923664122137404580152671755725190839694656489
immutable_prior_candidate_exclusion_sensitivity,no_new_low_previous20obs,low,943,943,0,0.92895015906680805938494167550371155885471898197243,1.0,1.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,history_gap_count,low,943,943,0,0.13149522799575821845174973488865323435843054082715,0.0,0.00,0.00,0,76
immutable_prior_candidate_exclusion_sensitivity,price_state_falling,low,943,943,0,0.28207847295864262990455991516436903499469777306469,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_short_rebound_in_decline,low,943,943,0,0.18239660657476139978791092258748674443266171792153,0.0,0.00,0.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_nonnegative_short_and_medium,low,943,943,0,0.31177094379639448568398727465535524920466595970308,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_short_pullback,low,943,943,0,0.22375397667020148462354188759278897136797454931071,0.0,0.00,0.00,0,1
immutable_prior_candidate_exclusion_sensitivity,tdcc_400_change_sum,middle,5459,5459,0,0.35953837699212309946876717347499542040666788789156,0.120,0.0100,0.4500,-6.5,33.27
immutable_prior_candidate_exclusion_sensitivity,tdcc_1000_change_sum,middle,5459,5459,0,0.31728338523539109727056237406118336691701776882213,0.040,0.000,0.300,-7.26,35.9
immutable_prior_candidate_exclusion_sensitivity,tdcc_400_up_weeks,middle,5459,5459,0,1.7710203333943945777614947792636013921963729620810,2.0,1.00,2.00,0,3
immutable_prior_candidate_exclusion_sensitivity,tdcc_1000_up_weeks,middle,5459,5459,0,1.3174574097820113573914636380289430298589485253709,1.0,0.00,2.00,0,3
immutable_prior_candidate_exclusion_sensitivity,tdcc_both_net_positive,middle,5459,5459,0,0.42864993588569335043048177321853819380838981498443,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,tdcc_both_up_count_ge2,middle,5459,5459,0,0.32679978017952005861879465103498809305733650851804,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,return_5d,middle,5459,5459,0,-0.60779884594248030774867191793368748855101666971973,-0.40360,-2.333850,1.399850,-25.7251,7.9855
immutable_prior_candidate_exclusion_sensitivity,return_20d,middle,5459,5459,0,-1.2258225865543139769188496061549734383586737497710,-0.67110,-4.673700,3.400000,-88.6003,19.9377
immutable_prior_candidate_exclusion_sensitivity,range_20obs_pct,middle,5459,5459,0,16.554093372784634756924192704829849627667796367956,12.097669256381798002219755826859045504994450610430,7.5192929553435038784295831928105223480865752772450,18.847670552243744474036787320253638321300520186380,0.6079027355623100303951367781155015197568389057800,847.61904761904761904761904761904761904761904761905
immutable_prior_candidate_exclusion_sensitivity,no_new_low_previous20obs,middle,5459,5459,0,0.89192159736215424070342553581241985711668803810222,1.0,1.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,history_gap_count,middle,5459,5459,0,0.21066129327715698845942480307748671917933687488551,0.0,0.00,0.00,0,105
immutable_prior_candidate_exclusion_sensitivity,price_state_falling,middle,5459,5459,0,0.35940648470415827074555779446785125480857299871771,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_short_rebound_in_decline,middle,5459,5459,0,0.18409965195090675947975819747206448067411613848690,0.0,0.00,0.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_nonnegative_short_and_medium,middle,5459,5459,0,0.26598278072907125847224766440740062282469316724675,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_short_pullback,middle,5459,5459,0,0.19051108261586371130243634365268364169261769554864,0.0,0.00,0.00,0,1
