variant,horizon,slippage_bps,partition,population,samples,stocks,signal_dates,entry_dates,total_input_signals,condition_passed_signals,unsupported_signals,filter_rejected_signals,overlap_blocked_signals,missing_entry_signals,entry_after_as_of_signals,immature_positions,missing_exit_positions,purged_positions,anomaly_candidate_positions,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,mean_net_return_pct,median_net_return_pct,high_return_ge10_rate_pct,loss_le_minus10_rate_pct,min_net_return_pct,max_net_return_pct,formal_use,promotion_evidence_allowed
tdcc_both_net_positive,20,20,purged_cross_split,primary,852,852,20,20,20286,10875,0,9411,10014,5,0,0,4,852,49,415,0,437,48.708920187793424,0.0,51.291079812206576,3.517186187044788,-0.25159342874164126,19.483568075117372,9.389671361502346,-37.16574456299357,146.9826601841054,False,False
tdcc_both_net_positive,20,20,purged_cross_split,sensitivity_excluding_candidates,803,803,20,20,20286,10875,0,9411,10014,5,0,0,4,803,0,367,0,436,45.70361145703611,0.0,54.29638854296388,0.6284190414066947,-0.6162294011129393,14.694894146948942,9.838107098381071,-34.96588410905041,34.43910059199281,False,False
tdcc_both_net_positive,20,0,validation,primary,3130,1443,90,90,90098,46610,0,43488,42652,15,13,783,17,0,148,1397,0,1733,44.63258785942492,0.0,55.36741214057508,1.5935384414338014,-1.079730701600286,16.709265175718848,16.00638977635783,-88.49746694801371,248.10314685314685,False,False
tdcc_both_net_positive,20,0,validation,sensitivity_excluding_candidates,2982,1403,90,90,90098,46610,0,43488,42652,15,13,783,17,0,0,1259,0,1723,42.21998658618377,0.0,57.780013413816235,-0.9563508316803319,-1.4480004510111835,12.910798122065728,16.465459423205903,-36.61698019187287,35.43248637441026,False,False
tdcc_both_net_positive,20,10,validation,primary,3130,1443,90,90,90098,46610,0,43488,42652,15,13,783,17,0,148,1369,0,1761,43.73801916932907,0.0,56.26198083067092,1.3905545313496221,-1.277373597301384,16.23003194888179,16.517571884984026,-88.52044903203367,247.40884957297797,False,False
tdcc_both_net_positive,20,10,validation,sensitivity_excluding_candidates,2982,1403,90,90,90098,46610,0,43488,42652,15,13,783,17,0,0,1231,0,1751,41.28101945003353,0.0,58.718980549966474,-1.1542408529007857,-1.6449102471542838,12.407780013413817,17.002012072434606,-36.743619592088905,35.16189199603981,False,False
tdcc_both_net_positive,20,20,validation,primary,3130,1443,90,90,90098,46610,0,43488,42652,15,13,783,17,0,148,1336,0,1794,42.68370607028754,0.0,57.31629392971246,1.1879756302563862,-1.4746219962046758,15.782747603833865,17.06070287539936,-88.54338524363042,246.7159332798269,False,False
tdcc_both_net_positive,20,20,validation,sensitivity_excluding_candidates,2982,1403,90,90,90098,46610,0,43488,42652,15,13,783,17,0,0,1198,0,1784,40.17437961099933,0.0,59.82562038900067,-1.3517360361371762,-1.841427654926118,11.938296445338699,17.57209926224011,-36.87000621905102,34.891837726209026,False,False
tdcc_both_net_positive,60,0,all,primary,3746,1669,175,175,210140,106055,0,104085,101044,38,2,1206,19,1177,160,1708,0,2038,45.59530165509877,0.0,54.40469834490123,6.6896026082501105,-1.3215069495245062,26.08115323011212,22.584089695675388,-85.98825377540709,349.8881024919237,False,False
tdcc_both_net_positive,60,0,all,sensitivity_excluding_candidates,3586,1644,174,174,210140,106055,0,104085,101044,38,2,1206,19,1084,0,1552,0,2034,43.27941996653653,0.0,56.72058003346346,1.6620266368927257,-1.835066610677208,22.894590072504183,23.48020078081428,-67.36567239509786,70.99523179469256,False,False
tdcc_both_net_positive,60,10,all,primary,3746,1669,175,175,210140,106055,0,104085,101044,38,2,1206,19,1177,160,1690,0,2056,45.114789108382276,0.0,54.88521089161773,6.4764377954147285,-1.5186689954800072,25.814201815269623,23.198077949813133,-86.01629545659303,348.9892251642675,False,False
