signal_id,signal_date,code,name,primary_theme,signal_family,threshold_count,has_400,has_600,has_800,has_1000,is_all_thresholds,is_consecutive_2w,is_consecutive_3w,pre_5d_return,overheat_bucket,price_confirm_bucket,theme_breadth_score,created_at,updated_at,priority_group,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_2w_change_400,tdcc_2w_change_600,tdcc_2w_change_800,tdcc_2w_change_1000,tdcc_3w_change_400,tdcc_3w_change_600,tdcc_3w_change_800,tdcc_3w_change_1000,price_ret_1w,price_ret_2w,price_ret_3w,price_ret_4w,relative_ret_1w,relative_ret_2w,relative_ret_3w,relative_ret_4w,volume_ratio_1w,volume_ratio_2w,distance_from_20d_high,distance_from_60d_high,distance_from_ma20,distance_from_ma60,tdcc_price_phase,benchmark_index,market_regime,theme_breadth_level,theme_sync_status
20260522_4503_normalized,20260522,4503,金雨,other,tdcc_normalized_accumulation,3,False,True,True,True,False,False,False,-0.4608294930875445,normal,weak,10,2026-05-25 01:30:35 Asia/Taipei,2026-05-25 01:30:35 Asia/Taipei,Avoid/low priority,1,False,True,-0.5100000000000051,0.01999999999999602,0.01999999999999602,0.01999999999999602,-0.37000000000000455,0.01999999999999602,0.01999999999999602,0.01999999999999602,-0.45000000000000284,0.030000000000001137,0.030000000000001137,0.030000000000001137,-0.4608294930875445,-4.318936877076407,-2.7027027027026973,-1.0309278350515316,-3.3962835521371026,-7.691836447221001,-12.757827774209286,-12.026941681689529,0.5108655204577609,1.1145050942210277,-11.019567456230684,-11.019567456230684,-1.79028132992326,6.2620836223563625,insufficient_price_context,TPEX,strong_bull,A,synchronized_accumulation
20260522_4513_normalized,20260522,4513,福裕,other,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,4.513888888888884,normal,confirmed,10,2026-05-25 01:30:35 Asia/Taipei,2026-05-25 01:30:35 Asia/Taipei,A,1,True,True,0.36999999999999744,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.21000000000000085,-0.1700000000000017,-0.1700000000000017,-0.1600000000000037,0.22999999999999687,-0.1700000000000017,-0.1700000000000017,-0.1600000000000037,4.513888888888884,2.3809523809523947,-0.9868421052631526,-3.2154340836012874,1.5784348298393258,-0.9919471891921994,-11.04196717676974,-14.211447930239284,0.7943831406345768,0.9118360167632906,-4.746835443037978,-26.585365853658537,1.3638659707021494,-8.464453189147104,insufficient_price_context,TPEX,strong_bull,A,synchronized_accumulation
20260522_4526_normalized,20260522,4526,東台,other,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,6.477732793522284,normal,confirmed,10,2026-05-25 01:30:35 Asia/Taipei,2026-05-25 01:30:35 Asia/Taipei,A,1,True,True,2.039999999999999,2.710000000000001,3.25,3.1899999999999977,0.730000000000004,1.8399999999999963,2.460000000000001,1.740000000000002,2.5,3.030000000000001,2.8200000000000003,2.8100000000000023,6.477732793522284,14.347826086956527,7.346938775510203,23.281250000000007,3.8167000035632004,12.751751292117385,-1.236748021934119,11.20668382258385,0.8475360040069875,0.7560146122412189,-3.308823529411753,-3.308823529411753,8.416351769151497,14.383633137329976,price_leading_tdcc,TWSE,strong_bull,A,synchronized_accumulation
20260522_4527_normalized,20260522,4527,方土霖,other,tdcc_normalized_accumulation,4,True,True,True,True,True,True,True,1.5028901734104094,normal,confirmed,10,2026-05-25 01:30:35 Asia/Taipei,2026-05-25 01:30:35 Asia/Taipei,A,3,True,True,0.009999999999990905,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.05999999999998806,0.04999999999999716,0.04999999999999716,0.04999999999999716,0.09999999999999432,0.09000000000000341,0.0799999999999983,0.0799999999999983,1.5028901734104094,2.211874272409764,2.6900584795321647,2.211874272409764,-1.4325638856391487,-1.16102529773483,-7.365066591974423,-8.784139574228233,0.5132641531668295,0.9636838785257277,-0.2272727272727315,-0.2272727272727315,1.885697708152012,3.0436609370635637,tdcc_leading_price,TPEX,strong_bull,A,synchronized_accumulation
20260522_4530_normalized,20260522,4530,宏易,other,tdcc_normalized_accumulation,1,True,False,False,False,False,False,False,2.3668639053254337,normal,weak,10,2026-05-25 01:30:36 Asia/Taipei,2026-05-25 01:30:36 Asia/Taipei,Avoid/low priority,2,False,False,0.0799999999999983,0.0,0.0,0.0,0.09000000000000341,0.0,0.0,0.0,-0.1599999999999966,0.0,0.0,0.0,2.3668639053254337,2.1653543307086576,-5.978260869565222,-8.626760563380277,-0.5685901537241245,-1.2075452394359365,-16.03338594107181,-19.622774410018273,0.41170644888117014,0.459425968719649,-7.321428571428578,-17.879746835443044,-0.09624639076035724,-6.612685560053988,tdcc_leading_price,TPEX,strong_bull,A,synchronized_accumulation
20260522_4532_normalized,20260522,4532,瑞智,other,tdcc_normalized_accumulation,3,True,False,True,True,False,False,False,1.7391304347825987,normal,confirmed,10,2026-05-25 01:30:36 Asia/Taipei,2026-05-25 01:30:36 Asia/Taipei,B,1,False,True,0.0799999999999983,-0.01999999999999602,0.13000000000000966,0.3400000000000034,-0.18000000000000682,-0.29999999999999716,-0.5799999999999983,-0.00999999999999801,-0.29000000000000625,-0.39000000000000057,-0.6700000000000017,-0.269999999999996,1.7391304347825987,1.9607843137254832,2.183406113537112,-0.8474576271186529,-0.9219023551764849,0.3647095188863414,-6.40028068390721,-12.92202380453481,0.7626082949021932,0.9745737257840908,-1.8867924528301994,-14.754098360655743,1.10174983797795,-5.790653949746972,insufficient_price_context,TWSE,strong_bull,A,synchronized_accumulation
20260522_4533_normalized,20260522,4533,協易機,other,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,3.7267080745341463,normal,confirmed,10,2026-05-25 01:30:36 Asia/Taipei,2026-05-25 01:30:36 Asia/Taipei,A,3,True,True,0.5500000000000007,0.1999999999999993,0.7000000000000028,0.1700000000000017,1.0199999999999996,0.129999999999999,0.6000000000000014,0.07000000000000028,1.610000000000003,0.9800000000000004,1.3800000000000026,1.4000000000000021,3.7267080745341463,9.508196721311467,7.395498392282951,10.413223140495864,0.7912540154845882,6.135297151166873,-2.6596266792236367,-0.5827907061421325,0.9610660386664271,0.9522096831749255,-2.3391812865497186,-18.337408312958438,6.683701988341451,4.35869395406967,insufficient_price_context,TPEX,strong_bull,A,synchronized_accumulation
20260522_4535_normalized,20260522,4535,至興,other,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,-0.3629764065335772,normal,weak,10,2026-05-25 01:30:36 Asia/Taipei,2026-05-25 01:30:36 Asia/Taipei,Avoid/low priority,3,True,True,0.01999999999999602,0.01999999999999602,0.009999999999990905,0.010000000000005116,0.01999999999999602,0.01999999999999602,0.01999999999999602,0.01999999999999602,0.06999999999999318,0.06999999999999318,0.06999999999999318,0.06999999999999318,-0.3629764065335772,0.9191176470588314,-0.9025270758122761,-1.9642857142857184,-3.2984304655831354,-2.4537819230857627,-10.957652147318864,-12.960299560923715,0.5853344793512135,0.6201009197378191,-3.003533568904604,-10.440456769983687,-0.42622653486895645,-1.9467762100375152,tdcc_leading_price,TPEX,strong_bull,A,synchronized_accumulation
20260522_4538_normalized,20260522,4538,大詠城,other,tdcc_normalized_accumulation,4,True,True,True,True,True,True,True,0.2732240437158584,normal,weak,10,2026-05-25 01:30:36 Asia/Taipei,2026-05-25 01:30:36 Asia/Taipei,Avoid/low priority,3,True,True,0.020000000000010232,0.010000000000005116,0.010000000000005116,0.009999999999990905,0.0799999999999983,0.07000000000000739,0.06999999999999318,0.06999999999999318,0.15000000000000568,0.12000000000000455,0.12000000000000455,0.11999999999999034,0.2732240437158584,-0.27173913043476716,0.2732240437158584,-1.6085790884718398,-2.6622300153336997,-3.6446387005793612,-9.78190102779073,-12.604592935109837,0.6957697157018129,0.9723685718689848,-2.910052910052896,-6.13810741687979,-0.25818725370294615,-1.9241047568145375,tdcc_price_divergence,TPEX,strong_bull,A,synchronized_accumulation
20260522_4540_normalized,20260522,4540,全球傳動,other,tdcc_normalized_accumulation,2,True,True,False,False,False,False,False,2.3977433004231052,overheated,confirmed,10,2026-05-25 01:30:36 Asia/Taipei,2026-05-25 01:30:36 Asia/Taipei,B,1,False,False,0.8599999999999994,0.8999999999999986,-1.1599999999999966,-1.2500000000000036,-3.3200000000000003,-2.719999999999999,-5.259999999999998,-5.430000000000003,-4.560000000000002,-5.32,-6.839999999999996,-6.099999999999998,2.3977433004231052,5.8309037900874605,5.985401459854001,32.24043715846994,-0.2632894895359783,4.234828995248319,-2.5982853375903217,20.16587098105378,1.0723000303906347,0.8448425866847217,-4.347826086956541,-4.347826086956541,7.923294187602203,33.45171198694157,insufficient_price_context,TWSE,strong_bull,A,synchronized_accumulation
